n_Vac;n_He;n_H;E_H;E_He;E_V
0;0;0;None;None;None
0;1;0;None;None;None
0;2;0;None;1;None
0;3;0;None;1.1;None
0;4;0;None;1.2;None
0;5;0;None;1.3;None
1;0;0;None;None;None
1;1;0;None;4.5;4.45
1;2;0;None;3;6.46
1;3;0;None;3.1;7.9
1;4;0;None;3;9
1;5;0;None;2;10
1;6;0;None;2.5;10.7
0;0;1;None;None;None
0;1;1;0.2;0.2;None
0;2;1;0.2;0.2;None
0;3;1;0.2;0.2;None
0;4;1;0.2;0.2;None
0;5;1;0.2;0.2;None
1;0;1;1.1;None;4.45
1;1;1;1.0;4.4;6.46
1;2;1;1.2;3.1;7.9
1;3;1;0.85;3.1;9
1;4;1;0.4;2.5;10
1;5;1;0.85;2.5;10.7
0;0;2;;None;None
0;1;2;;;None
0;2;2;;;None
0;3;2;;;None
0;4;2;;;None
0;5;2;;;None
1;0;2;1.15;None;4.45
1;1;2;1.1;4.2;6.46
1;2;2;0.85;3;7.9
1;3;2;0.6;2.8;9
1;4;2;0.85;3;10
1;5;2;None;None;10.7
0;0;3;;None;None
0;1;3;;;None
0;2;3;;;None
0;3;3;;;None
0;4;3;;;None
0;5;3;;;None
1;0;3;1.1;None;4.45
1;1;3;0.8;4.1;6.46
1;2;3;0.7;3;7.9
1;3;3;0.9;3;9
1;4;3;None;None;10
1;5;3;None;None;10.7
0;0;4;;None;None
0;1;4;;;None
0;2;4;;;None
0;3;4;;;None
0;4;4;;;None
0;5;4;;;None
1;0;4;1;None;4.45
1;1;4;0.75;3.9;6.46
1;2;4;1.0;3.1;7.9
1;3;4;None;None;9
1;4;4;None;None;10
1;5;4;None;None;10.7
0;0;5;;None;None
0;1;5;;;None
0;2;5;;;None
0;3;5;;;None
0;4;5;;;None
0;5;5;;;None
1;0;5;0.9;None;4.45
1;1;5;0.8;3.8;6.46
1;2;5;None;None;7.9
1;3;5;None;None;9
1;4;5;None;None;10
1;5;5;None;None;10.7
0;0;6;;None;None
0;1;6;;;None
0;2;6;;;None
0;3;6;;;None
0;4;6;;;None
0;5;6;;;None
1;0;6;0.3;None;4.45
1;1;6;None;None;6.46
1;2;6;None;None;7.9
1;3;6;None;None;9
1;4;6;None;None;10
1;5;6;None;None;10.7
