Depth_nm,Diameter_nm,errDiameter_nm
31.675,1.276,0.278
36.895,2.467,0.433
14.129,3.584,0.271
8.596,3.881,0.394
23.800,3.203,0.638
30.873,1.820,0.305
11.550,9.677,1.269
8.574,7.469,0.867
89.834,2.223,0.295
37.328,3.206,0.627
69.725,1.893,0.429
26.113,3.984,0.585
35.302,3.003,0.438
59.241,2.230,0.205
14.504,7.200,2.204
31.402,3.189,0.149
26.346,3.802,0.905
75.704,3.125,0.659
11.026,4.785,0.679
58.360,2.991,0.267
84.817,2.590,0.346
33.595,1.575,0.476
74.726,1.938,0.319
83.136,2.609,1.013
15.747,1.642,0.295
68.135,2.382,0.416
8.980,6.321,0.270
63.685,1.852,0.217
23.412,2.638,0.464
45.246,2.640,0.283
40.224,1.951,0.097
102.399,2.085,0.801
12.421,9.613,2.111
99.684,4.281,0.324
11.159,5.309,0.807
9.485,4.361,0.985
14.058,3.383,0.248
31.779,1.968,0.175
8.327,4.862,0.914
23.481,3.235,0.744
11.611,9.925,1.319
8.726,7.240,0.803
89.733,1.398,0.095
13.761,1.255,0.407
15.496,2.981,0.630
37.690,2.088,0.253
102.466,1.565,0.348
12.142,9.679,2.279
25.783,1.901,0.240
76.275,1.619,0.415
112.462,2.700,0.720
34.225,1.602,0.156
99.670,3.524,0.459
10.953,5.243,0.868
9.417,4.545,1.158
73.927,1.790,0.150
32.883,1.065,0.098
18.220,2.947,0.442
36.655,1.636,0.299
11.201,1.622,0.464
9.499,1.756,0.293
13.993,3.566,0.283
31.505,2.418,0.184
8.449,5.289,1.197
23.568,3.263,0.772
11.532,9.841,1.195
112.963,0.804,0.123
124.706,0.689,0.102
35.015,1.738,0.058
113.436,1.592,0.137
89.760,1.306,0.246
17.639,1.246,0.113
8.582,7.613,3.527
51.185,4.149,0.766
10.798,7.632,2.922
32.274,1.180,0.155
18.096,4.840,1.405
10.153,3.490,0.608
40.308,2.189,0.478
37.185,2.208,0.876
9.088,2.941,0.478
15.428,3.813,0.668
12.222,4.519,1.438
92.523,1.398,0.242
50.477,2.069,0.348
12.013,9.432,2.117
51.590,2.438,0.441
27.897,2.854,0.534
53.895,3.593,0.440
50.682,3.725,0.092
16.198,3.867,0.367
12.542,6.807,3.038
15.824,3.771,0.101
13.890,4.873,1.407
9.751,8.594,2.660
56.085,2.684,0.469
36.301,1.691,0.197
27.367,3.164,0.786
9.791,4.060,0.820
18.454,3.069,0.958
60.949,2.241,0.486
18.585,3.514,0.316
15.306,6.495,1.014
55.572,3.637,1.005
44.333,2.429,0.678
12.908,4.413,0.560
77.416,1.251,0.184
87.370,1.570,0.315
78.621,3.544,0.990
38.023,1.289,0.213
12.050,3.573,0.698
56.752,1.374,0.292
9.959,2.450,0.860
73.004,3.072,0.630
61.110,2.427,0.440
92.954,3.604,0.214
8.043,3.890,0.158
8.344,2.936,0.217
19.364,4.764,0.698
10.175,2.017,0.406
9.401,4.404,1.323
23.914,2.621,0.699
35.507,3.623,0.736
44.354,3.994,0.562
15.353,5.255,0.822
68.412,3.356,0.406
38.915,3.152,0.552
69.026,3.211,0.625
13.370,11.791,0.494
56.055,6.126,0.823
58.624,2.921,0.158
18.268,6.323,0.617
21.114,4.247,1.197
16.072,3.140,0.266
27.002,3.906,0.739
16.511,3.993,0.275
37.232,2.829,0.492
20.107,5.959,1.275
47.037,1.157,0.317
10.255,2.886,0.111
39.173,4.651,1.007
17.254,8.147,1.975
67.316,5.543,1.449
64.398,3.525,0.799
70.242,3.401,0.999
13.821,6.407,1.173
15.216,5.941,0.531
15.069,6.204,1.239
48.719,1.582,0.092
12.909,2.407,0.567
54.599,1.193,0.416
10.756,9.004,2.602
24.939,1.946,0.611
12.506,5.147,1.198
68.468,2.760,0.546
63.521,3.442,0.583
6.317,5.772,0.104
47.080,2.950,0.237
8.589,3.304,0.276
27.775,2.146,0.249
13.482,6.367,0.240
32.136,2.720,0.738
12.413,6.314,1.259
32.352,1.826,0.139
63.019,3.037,0.457
11.295,6.797,0.326
13.241,4.874,0.282
13.421,5.462,0.458
60.772,1.820,0.405
11.751,5.987,0.821
13.492,6.784,0.912
60.288,3.720,0.432
12.950,2.590,0.731
45.664,3.145,0.731
11.007,4.412,0.398
44.573,3.759,0.478
15.547,6.960,1.551
43.361,4.984,1.210
35.882,3.491,1.241
27.614,5.523,0.000
38.944,4.324,0.968
23.339,1.551,0.241
9.159,5.256,0.000
31.816,1.599,0.204
45.559,4.660,0.535
31.400,4.609,1.681
12.505,4.438,0.377
57.261,3.885,0.422
11.503,3.901,0.967
20.898,5.999,0.743
23.465,3.898,0.591
8.227,3.377,0.640
12.481,4.926,1.834
57.253,3.818,0.512
15.065,5.200,0.098
48.975,3.401,0.784
34.639,4.833,0.735
33.473,4.639,0.718
32.178,6.061,0.516
36.711,5.119,1.085
18.586,9.644,0.528
35.617,4.723,1.029
45.224,1.180,0.279
33.837,2.981,0.102
13.895,6.151,0.536
42.605,3.055,0.610
55.603,1.458,0.213
11.620,8.708,2.466
41.504,3.577,0.727
34.386,2.062,0.162
10.545,5.036,0.694
37.775,2.662,0.401
12.212,6.734,1.066
