"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
3.2412e+16,1,1e-10,1e-10,0,0
1.3652e+17,1,2e-10,2e-10,0,0
3.0322e+17,1,3e-10,3e-10,0,0
5.2912e+17,1,4e-10,4e-10,0,0
8.1397e+17,1,5e-10,5e-10,0,0
1.1619e+18,1,6e-10,6e-10,0,0
1.5696e+18,1,7e-10,7e-10,0,0
2.0253e+18,1,8e-10,8e-10,0,0
2.5254e+18,1,9e-10,9e-10,0,0
3.0657e+18,1,1e-09,1e-09,0,0
3.642e+18,1,1.1e-09,1.1e-09,0,0
4.2559e+18,1,1.2e-09,1.2e-09,0,0
4.8933e+18,1,1.3e-09,1.3e-09,0,0
5.5488e+18,1,1.4e-09,1.4e-09,0,0
6.2177e+18,1,1.5e-09,1.5e-09,0,0
6.8956e+18,1,1.6e-09,1.6e-09,0,0
7.5778e+18,1,1.7e-09,1.7e-09,0,0
8.2586e+18,1,1.8e-09,1.8e-09,0,0
8.9343e+18,1,1.9e-09,1.9e-09,0,0
9.6024e+18,1,2e-09,2e-09,0,0
1.0261e+19,1,2.1e-09,2.1e-09,0,0
1.0908e+19,1,2.2e-09,2.2e-09,0,0
1.154e+19,1,2.3e-09,2.3e-09,0,0
1.2158e+19,1,2.4e-09,2.4e-09,0,0
1.2763e+19,1,2.5e-09,2.5e-09,0,0
1.3356e+19,1,2.6e-09,2.6e-09,0,0
1.3937e+19,1,2.7e-09,2.7e-09,0,0
1.4507e+19,1,2.8e-09,2.8e-09,0,0
1.5065e+19,1,2.9e-09,2.9e-09,0,0
1.5616e+19,1,3e-09,3e-09,0,0
1.6159e+19,1,3.1e-09,3.1e-09,0,0
1.6697e+19,1,3.2e-09,3.2e-09,0,0
1.7229e+19,1,3.3e-09,3.3e-09,0,0
1.7757e+19,1,3.4e-09,3.4e-09,0,0
1.8281e+19,1,3.5e-09,3.5e-09,0,0
1.8802e+19,1,3.6e-09,3.6e-09,0,0
1.9322e+19,1,3.7e-09,3.7e-09,0,0
1.984e+19,1,3.8e-09,3.8e-09,0,0
2.0356e+19,1,3.9e-09,3.9e-09,0,0
2.0871e+19,1,4e-09,4e-09,0,0
2.1385e+19,1,4.1e-09,4.1e-09,0,0
2.1899e+19,1,4.2e-09,4.2e-09,0,0
2.2411e+19,1,4.3e-09,4.3e-09,0,0
2.2924e+19,1,4.4e-09,4.4e-09,0,0
2.3435e+19,1,4.5e-09,4.5e-09,0,0
2.3946e+19,1,4.6e-09,4.6e-09,0,0
2.4457e+19,1,4.7e-09,4.7e-09,0,0
2.4967e+19,1,4.8e-09,4.8e-09,0,0
2.5477e+19,1,4.9e-09,4.9e-09,0,0
2.5986e+19,1,5e-09,5e-09,0,0
2.6495e+19,1,5.1e-09,5.1e-09,0,0
2.7003e+19,1,5.2e-09,5.2e-09,0,0
2.7511e+19,1,5.3e-09,5.3e-09,0,0
2.8019e+19,1,5.4e-09,5.4e-09,0,0
2.8526e+19,1,5.5e-09,5.5e-09,0,0
2.9032e+19,1,5.6e-09,5.6e-09,0,0
2.9538e+19,1,5.7e-09,5.7e-09,0,0
3.0044e+19,1,5.8e-09,5.8e-09,0,0
3.0549e+19,1,5.9e-09,5.9e-09,0,0
3.1054e+19,1,6e-09,6e-09,0,0
3.1559e+19,1,6.1e-09,6.1e-09,0,0
3.2062e+19,1,6.2e-09,6.2e-09,0,0
3.2566e+19,1,6.3e-09,6.3e-09,0,0
3.3069e+19,1,6.4e-09,6.4e-09,0,0
3.3571e+19,1,6.5e-09,6.5e-09,0,0
3.4073e+19,1,6.6e-09,6.6e-09,0,0
3.4575e+19,1,6.7e-09,6.7e-09,0,0
3.5076e+19,1,6.8e-09,6.8e-09,0,0
3.5576e+19,1,6.9e-09,6.9e-09,0,0
3.6077e+19,1,7e-09,7e-09,0,0
3.6576e+19,1,7.1e-09,7.1e-09,0,0
3.7076e+19,1,7.2e-09,7.2e-09,0,0
3.7574e+19,1,7.3e-09,7.3e-09,0,0
3.8073e+19,1,7.4e-09,7.4e-09,0,0
3.8571e+19,1,7.5e-09,7.5e-09,0,0
3.9068e+19,1,7.6e-09,7.6e-09,0,0
3.9564e+19,1,7.7e-09,7.7e-09,0,0
4.0064e+19,1,7.8e-09,7.8e-09,0,0
4.0558e+19,1,7.9e-09,7.9e-09,0,0
4.1052e+19,1,8e-09,8e-09,0,0
4.1546e+19,1,8.1e-09,8.1e-09,0,0
4.204e+19,1,8.2e-09,8.2e-09,0,0
4.2534e+19,1,8.3e-09,8.3e-09,0,0
4.3028e+19,1,8.4e-09,8.4e-09,0,0
4.3521e+19,1,8.5e-09,8.5e-09,0,0
4.4015e+19,1,8.6e-09,8.6e-09,0,0
4.4509e+19,1,8.7e-09,8.7e-09,0,0
4.5002e+19,1,8.8e-09,8.8e-09,0,0
4.5492e+19,1,8.9e-09,8.9e-09,0,0
4.5981e+19,1,9e-09,9e-09,0,0
4.647e+19,1,9.1e-09,9.1e-09,0,0
4.6959e+19,1,9.2e-09,9.2e-09,0,0
4.7448e+19,1,9.3e-09,9.3e-09,0,0
4.7937e+19,1,9.4e-09,9.4e-09,0,0
4.8426e+19,1,9.5e-09,9.5e-09,0,0
4.8916e+19,1,9.6e-09,9.6e-09,0,0
4.9405e+19,1,9.7e-09,9.7e-09,0,0
4.9892e+19,1,9.8e-09,9.8e-09,0,0
5.0377e+19,1,9.9e-09,9.9e-09,0,0
5.0861e+19,1,1e-08,1e-08,0,0
5.1345e+19,1,1.01e-08,1.01e-08,0,0
5.183e+19,1,1.02e-08,1.02e-08,0,0
5.2314e+19,1,1.03e-08,1.03e-08,0,0
5.2798e+19,1,1.04e-08,1.04e-08,0,0
5.3283e+19,1,1.05e-08,1.05e-08,0,0
5.3767e+19,1,1.06e-08,1.06e-08,0,0
5.4252e+19,1,1.07e-08,1.07e-08,0,0
5.4733e+19,1,1.08e-08,1.08e-08,0,0
5.5213e+19,1,1.09e-08,1.09e-08,0,0
5.5692e+19,1,1.1e-08,1.1e-08,0,0
5.6172e+19,1,1.11e-08,1.11e-08,0,0
5.6651e+19,1,1.12e-08,1.12e-08,0,0
5.7131e+19,1,1.13e-08,1.13e-08,0,0
5.761e+19,1,1.14e-08,1.14e-08,0,0
5.809e+19,1,1.15e-08,1.15e-08,0,0
5.8569e+19,1,1.16e-08,1.16e-08,0,0
5.9049e+19,1,1.17e-08,1.17e-08,0,0
5.9524e+19,1,1.18e-08,1.18e-08,0,0
5.9999e+19,1,1.19e-08,1.19e-08,0,0
6.0474e+19,1,1.2e-08,1.2e-08,0,0
6.0948e+19,1,1.21e-08,1.21e-08,0,0
6.1423e+19,1,1.22e-08,1.22e-08,0,0
6.1897e+19,1,1.23e-08,1.23e-08,0,0
6.2372e+19,1,1.24e-08,1.24e-08,0,0
6.2847e+19,1,1.25e-08,1.25e-08,0,0
6.3321e+19,1,1.26e-08,1.26e-08,0,0
6.3796e+19,1,1.27e-08,1.27e-08,0,0
6.4265e+19,1,1.28e-08,1.28e-08,0,0
6.4735e+19,1,1.29e-08,1.29e-08,0,0
6.5204e+19,1,1.3e-08,1.3e-08,0,0
6.5674e+19,1,1.31e-08,1.31e-08,0,0
6.6144e+19,1,1.32e-08,1.32e-08,0,0
6.6613e+19,1,1.33e-08,1.33e-08,0,0
6.7083e+19,1,1.34e-08,1.34e-08,0,0
6.7553e+19,1,1.35e-08,1.35e-08,0,0
6.8022e+19,1,1.36e-08,1.36e-08,0,0
6.849e+19,1,1.37e-08,1.37e-08,0,0
6.8955e+19,1,1.38e-08,1.38e-08,0,0
6.9419e+19,1,1.39e-08,1.39e-08,0,0
6.9884e+19,1,1.4e-08,1.4e-08,0,0
7.0348e+19,1,1.41e-08,1.41e-08,0,0
7.0813e+19,1,1.42e-08,1.42e-08,0,0
7.1278e+19,1,1.43e-08,1.43e-08,0,0
7.1742e+19,1,1.44e-08,1.44e-08,0,0
7.2207e+19,1,1.45e-08,1.45e-08,0,0
7.2671e+19,1,1.46e-08,1.46e-08,0,0
7.3133e+19,1,1.47e-08,1.47e-08,0,0
7.3592e+19,1,1.48e-08,1.48e-08,0,0
7.4052e+19,1,1.49e-08,1.49e-08,0,0
7.4511e+19,1,1.5e-08,1.5e-08,0,0
7.4971e+19,1,1.51e-08,1.51e-08,0,0
7.543e+19,1,1.52e-08,1.52e-08,0,0
7.589e+19,1,1.53e-08,1.53e-08,0,0
7.6349e+19,1,1.54e-08,1.54e-08,0,0
7.6808e+19,1,1.55e-08,1.55e-08,0,0
7.7268e+19,1,1.56e-08,1.56e-08,0,0
7.7723e+19,1,1.57e-08,1.57e-08,0,0
7.8178e+19,1,1.58e-08,1.58e-08,0,0
7.8632e+19,1,1.59e-08,1.59e-08,0,0
7.9086e+19,1,1.6e-08,1.6e-08,0,0
7.954e+19,1,1.61e-08,1.61e-08,0,0
7.9994e+19,1,1.62e-08,1.62e-08,0,0
8.0449e+19,1,1.63e-08,1.63e-08,0,0
8.0903e+19,1,1.64e-08,1.64e-08,0,0
8.1357e+19,1,1.65e-08,1.65e-08,0,0
8.1811e+19,1,1.66e-08,1.66e-08,0,0
8.226e+19,1,1.67e-08,1.67e-08,0,0
8.2709e+19,1,1.68e-08,1.68e-08,0,0
8.3158e+19,1,1.69e-08,1.69e-08,0,0
8.3607e+19,1,1.7e-08,1.7e-08,0,0
8.4056e+19,1,1.71e-08,1.71e-08,0,0
8.4505e+19,1,1.72e-08,1.72e-08,0,0
8.4954e+19,1,1.73e-08,1.73e-08,0,0
8.5403e+19,1,1.74e-08,1.74e-08,0,0
8.5852e+19,1,1.75e-08,1.75e-08,0,0
8.63e+19,1,1.76e-08,1.76e-08,0,0
8.6744e+19,1,1.77e-08,1.77e-08,0,0
8.7187e+19,1,1.78e-08,1.78e-08,0,0
8.7631e+19,1,1.79e-08,1.79e-08,0,0
8.8075e+19,1,1.8e-08,1.8e-08,0,0
8.8518e+19,1,1.81e-08,1.81e-08,0,0
8.8962e+19,1,1.82e-08,1.82e-08,0,0
8.9406e+19,1,1.83e-08,1.83e-08,0,0
8.9849e+19,1,1.84e-08,1.84e-08,0,0
9.0293e+19,1,1.85e-08,1.85e-08,0,0
9.0734e+19,1,1.86e-08,1.86e-08,0,0
9.1173e+19,1,1.87e-08,1.87e-08,0,0
9.1611e+19,1,1.88e-08,1.88e-08,0,0
9.2049e+19,1,1.89e-08,1.89e-08,0,0
9.2487e+19,1,1.9e-08,1.9e-08,0,0
9.2926e+19,1,1.91e-08,1.91e-08,0,0
9.3364e+19,1,1.92e-08,1.92e-08,0,0
9.3802e+19,1,1.93e-08,1.93e-08,0,0
9.4241e+19,1,1.94e-08,1.94e-08,0,0
9.4679e+19,1,1.95e-08,1.95e-08,0,0
9.5114e+19,1,1.96e-08,1.96e-08,0,0
9.5547e+19,1,1.97e-08,1.97e-08,0,0
9.5979e+19,1,1.98e-08,1.98e-08,0,0
9.6412e+19,1,1.99e-08,1.99e-08,0,0
9.6845e+19,1,2e-08,2e-08,0,0
9.7278e+19,1,2.01e-08,2.01e-08,0,0
9.7711e+19,1,2.02e-08,2.02e-08,0,0
9.8144e+19,1,2.03e-08,2.03e-08,0,0
9.8577e+19,1,2.04e-08,2.04e-08,0,0
9.901e+19,1,2.05e-08,2.05e-08,0,0
9.9438e+19,1,2.06e-08,2.06e-08,0,0
9.9865e+19,1,2.07e-08,2.07e-08,0,0
1.0029e+20,1,2.08e-08,2.08e-08,0,0
1.0072e+20,1,2.09e-08,2.09e-08,0,0
1.0115e+20,1,2.1e-08,2.1e-08,0,0
1.0158e+20,1,2.11e-08,2.11e-08,0,0
1.02e+20,1,2.12e-08,2.12e-08,0,0
1.0243e+20,1,2.13e-08,2.13e-08,0,0
1.0286e+20,1,2.14e-08,2.14e-08,0,0
1.0328e+20,1,2.15e-08,2.15e-08,0,0
1.0371e+20,1,2.16e-08,2.16e-08,0,0
1.0413e+20,1,2.17e-08,2.17e-08,0,0
1.0455e+20,1,2.18e-08,2.18e-08,0,0
1.0497e+20,1,2.19e-08,2.19e-08,0,0
1.0539e+20,1,2.2e-08,2.2e-08,0,0
1.0582e+20,1,2.21e-08,2.21e-08,0,0
1.0624e+20,1,2.22e-08,2.22e-08,0,0
1.0666e+20,1,2.23e-08,2.23e-08,0,0
1.0708e+20,1,2.24e-08,2.24e-08,0,0
1.075e+20,1,2.25e-08,2.25e-08,0,0
1.0792e+20,1,2.26e-08,2.26e-08,0,0
1.0833e+20,1,2.27e-08,2.27e-08,0,0
1.0875e+20,1,2.28e-08,2.28e-08,0,0
1.0917e+20,1,2.29e-08,2.29e-08,0,0
1.0958e+20,1,2.3e-08,2.3e-08,0,0
1.1e+20,1,2.31e-08,2.31e-08,0,0
1.1042e+20,1,2.32e-08,2.32e-08,0,0
1.1083e+20,1,2.33e-08,2.33e-08,0,0
1.1125e+20,1,2.34e-08,2.34e-08,0,0
1.1166e+20,1,2.35e-08,2.35e-08,0,0
1.1207e+20,1,2.36e-08,2.36e-08,0,0
1.1249e+20,1,2.37e-08,2.37e-08,0,0
1.129e+20,1,2.38e-08,2.38e-08,0,0
1.1331e+20,1,2.39e-08,2.39e-08,0,0
1.1372e+20,1,2.4e-08,2.4e-08,0,0
1.1413e+20,1,2.41e-08,2.41e-08,0,0
1.1454e+20,1,2.42e-08,2.42e-08,0,0
1.1495e+20,1,2.43e-08,2.43e-08,0,0
1.1536e+20,1,2.44e-08,2.44e-08,0,0
1.1577e+20,1,2.45e-08,2.45e-08,0,0
1.1617e+20,1,2.46e-08,2.46e-08,0,0
1.1658e+20,1,2.47e-08,2.47e-08,0,0
1.1698e+20,1,2.48e-08,2.48e-08,0,0
1.1739e+20,1,2.49e-08,2.49e-08,0,0
1.1779e+20,1,2.5e-08,2.5e-08,0,0
1.182e+20,1,2.51e-08,2.51e-08,0,0
1.1861e+20,1,2.52e-08,2.52e-08,0,0
1.1901e+20,1,2.53e-08,2.53e-08,0,0
1.1942e+20,1,2.54e-08,2.54e-08,0,0
1.1982e+20,1,2.55e-08,2.55e-08,0,0
1.2021e+20,1,2.56e-08,2.56e-08,0,0
1.2061e+20,1,2.57e-08,2.57e-08,0,0
1.2101e+20,1,2.58e-08,2.58e-08,0,0
1.2141e+20,1,2.59e-08,2.59e-08,0,0
1.2181e+20,1,2.6e-08,2.6e-08,0,0
1.2221e+20,1,2.61e-08,2.61e-08,0,0
1.2261e+20,1,2.62e-08,2.62e-08,0,0
1.2301e+20,1,2.63e-08,2.63e-08,0,0
1.2341e+20,1,2.64e-08,2.64e-08,0,0
1.2381e+20,1,2.65e-08,2.65e-08,0,0
1.242e+20,1,2.66e-08,2.66e-08,0,0
1.2459e+20,1,2.67e-08,2.67e-08,0,0
1.2499e+20,1,2.68e-08,2.68e-08,0,0
1.2538e+20,1,2.69e-08,2.69e-08,0,0
1.2578e+20,1,2.7e-08,2.7e-08,0,0
1.2617e+20,1,2.71e-08,2.71e-08,0,0
1.2656e+20,1,2.72e-08,2.72e-08,0,0
1.2696e+20,1,2.73e-08,2.73e-08,0,0
1.2735e+20,1,2.74e-08,2.74e-08,0,0
1.2774e+20,1,2.75e-08,2.75e-08,0,0
1.2813e+20,1,2.76e-08,2.76e-08,0,0
1.2851e+20,1,2.77e-08,2.77e-08,0,0
1.289e+20,1,2.78e-08,2.78e-08,0,0
1.2929e+20,1,2.79e-08,2.79e-08,0,0
1.2968e+20,1,2.8e-08,2.8e-08,0,0
1.3007e+20,1,2.81e-08,2.81e-08,0,0
1.3046e+20,1,2.82e-08,2.82e-08,0,0
1.3085e+20,1,2.83e-08,2.83e-08,0,0
1.3123e+20,1,2.84e-08,2.84e-08,0,0
1.3161e+20,1,2.85e-08,2.85e-08,0,0
1.32e+20,1,2.86e-08,2.86e-08,0,0
1.3238e+20,1,2.87e-08,2.87e-08,0,0
1.3276e+20,1,2.88e-08,2.88e-08,0,0
1.3314e+20,1,2.89e-08,2.89e-08,0,0
1.3353e+20,1,2.9e-08,2.9e-08,0,0
1.3391e+20,1,2.91e-08,2.91e-08,0,0
1.3429e+20,1,2.92e-08,2.92e-08,0,0
1.3467e+20,1,2.93e-08,2.93e-08,0,0
1.3505e+20,1,2.94e-08,2.94e-08,0,0
1.3543e+20,1,2.95e-08,2.95e-08,0,0
1.3581e+20,1,2.96e-08,2.96e-08,0,0
1.3618e+20,1,2.97e-08,2.97e-08,0,0
1.3656e+20,1,2.98e-08,2.98e-08,0,0
1.3694e+20,1,2.99e-08,2.99e-08,0,0
1.3732e+20,1,3e-08,3e-08,0,0
1.3769e+20,1,3.01e-08,3.01e-08,0,0
1.3807e+20,1,3.02e-08,3.02e-08,0,0
1.3845e+20,1,3.03e-08,3.03e-08,0,0
1.3882e+20,1,3.04e-08,3.04e-08,0,0
1.3919e+20,1,3.05e-08,3.05e-08,0,0
1.3956e+20,1,3.06e-08,3.06e-08,0,0
1.3993e+20,1,3.07e-08,3.07e-08,0,0
1.403e+20,1,3.08e-08,3.08e-08,0,0
1.4067e+20,1,3.09e-08,3.09e-08,0,0
1.4105e+20,1,3.1e-08,3.1e-08,0,0
1.4142e+20,1,3.11e-08,3.11e-08,0,0
1.4179e+20,1,3.12e-08,3.12e-08,0,0
1.4216e+20,1,3.13e-08,3.13e-08,0,0
1.4252e+20,1,3.14e-08,3.14e-08,0,0
1.4289e+20,1,3.15e-08,3.15e-08,0,0
1.4325e+20,1,3.16e-08,3.16e-08,0,0
1.4362e+20,1,3.17e-08,3.17e-08,0,0
1.4399e+20,1,3.18e-08,3.18e-08,0,0
1.4435e+20,1,3.19e-08,3.19e-08,0,0
1.4472e+20,1,3.2e-08,3.2e-08,0,0
1.4508e+20,1,3.21e-08,3.21e-08,0,0
1.4545e+20,1,3.22e-08,3.22e-08,0,0
1.4581e+20,1,3.23e-08,3.23e-08,0,0
1.4617e+20,1,3.24e-08,3.24e-08,0,0
1.4653e+20,1,3.25e-08,3.25e-08,0,0
1.4689e+20,1,3.26e-08,3.26e-08,0,0
1.4725e+20,1,3.27e-08,3.27e-08,0,0
1.4761e+20,1,3.28e-08,3.28e-08,0,0
1.4797e+20,1,3.29e-08,3.29e-08,0,0
1.4833e+20,1,3.3e-08,3.3e-08,0,0
1.4869e+20,1,3.31e-08,3.31e-08,0,0
1.4905e+20,1,3.32e-08,3.32e-08,0,0
1.4941e+20,1,3.33e-08,3.33e-08,0,0
1.4976e+20,1,3.34e-08,3.34e-08,0,0
1.5012e+20,1,3.35e-08,3.35e-08,0,0
1.5047e+20,1,3.36e-08,3.36e-08,0,0
1.5082e+20,1,3.37e-08,3.37e-08,0,0
1.5118e+20,1,3.38e-08,3.38e-08,0,0
1.5153e+20,1,3.39e-08,3.39e-08,0,0
1.5189e+20,1,3.4e-08,3.4e-08,0,0
1.5224e+20,1,3.41e-08,3.41e-08,0,0
1.526e+20,1,3.42e-08,3.42e-08,0,0
1.5294e+20,1,3.43e-08,3.43e-08,0,0
1.5329e+20,1,3.44e-08,3.44e-08,0,0
1.5364e+20,1,3.45e-08,3.45e-08,0,0
1.5399e+20,1,3.46e-08,3.46e-08,0,0
1.5434e+20,1,3.47e-08,3.47e-08,0,0
1.5469e+20,1,3.48e-08,3.48e-08,0,0
1.5504e+20,1,3.49e-08,3.49e-08,0,0
1.5539e+20,1,3.5e-08,3.5e-08,0,0
1.5573e+20,1,3.51e-08,3.51e-08,0,0
1.5608e+20,1,3.52e-08,3.52e-08,0,0
1.5642e+20,1,3.53e-08,3.53e-08,0,0
1.5677e+20,1,3.54e-08,3.54e-08,0,0
1.5711e+20,1,3.55e-08,3.55e-08,0,0
1.5745e+20,1,3.56e-08,3.56e-08,0,0
1.578e+20,1,3.57e-08,3.57e-08,0,0
1.5814e+20,1,3.58e-08,3.58e-08,0,0
1.5848e+20,1,3.59e-08,3.59e-08,0,0
1.5882e+20,1,3.6e-08,3.6e-08,0,0
1.5917e+20,1,3.61e-08,3.61e-08,0,0
1.5951e+20,1,3.62e-08,3.62e-08,0,0
1.5984e+20,1,3.63e-08,3.63e-08,0,0
1.6018e+20,1,3.64e-08,3.64e-08,0,0
1.6052e+20,1,3.65e-08,3.65e-08,0,0
1.6086e+20,1,3.66e-08,3.66e-08,0,0
1.6119e+20,1,3.67e-08,3.67e-08,0,0
1.6153e+20,1,3.68e-08,3.68e-08,0,0
1.6187e+20,1,3.69e-08,3.69e-08,0,0
1.6221e+20,1,3.7e-08,3.7e-08,0,0
1.6254e+20,1,3.71e-08,3.71e-08,0,0
1.6288e+20,1,3.72e-08,3.72e-08,0,0
1.6321e+20,1,3.73e-08,3.73e-08,0,0
1.6354e+20,1,3.74e-08,3.74e-08,0,0
1.6387e+20,1,3.75e-08,3.75e-08,0,0
1.642e+20,1,3.76e-08,3.76e-08,0,0
1.6453e+20,1,3.77e-08,3.77e-08,0,0
1.6487e+20,1,3.78e-08,3.78e-08,0,0
1.652e+20,1,3.79e-08,3.79e-08,0,0
1.6553e+20,1,3.8e-08,3.8e-08,0,0
1.6586e+20,1,3.81e-08,3.81e-08,0,0
1.6619e+20,1,3.82e-08,3.82e-08,0,0
1.6651e+20,1,3.83e-08,3.83e-08,0,0
1.6684e+20,1,3.84e-08,3.84e-08,0,0
1.6716e+20,1,3.85e-08,3.85e-08,0,0
1.6749e+20,1,3.86e-08,3.86e-08,0,0
1.6782e+20,1,3.87e-08,3.87e-08,0,0
1.6814e+20,1,3.88e-08,3.88e-08,0,0
1.6847e+20,1,3.89e-08,3.89e-08,0,0
1.688e+20,1,3.9e-08,3.9e-08,0,0
1.6912e+20,1,3.91e-08,3.91e-08,0,0
1.6944e+20,1,3.92e-08,3.92e-08,0,0
1.6976e+20,1,3.93e-08,3.93e-08,0,0
1.7008e+20,1,3.94e-08,3.94e-08,0,0
1.704e+20,1,3.95e-08,3.95e-08,0,0
1.7072e+20,1,3.96e-08,3.96e-08,0,0
1.7104e+20,1,3.97e-08,3.97e-08,0,0
1.7136e+20,1,3.98e-08,3.98e-08,0,0
1.7168e+20,1,3.99e-08,3.99e-08,0,0
1.72e+20,1,4e-08,4e-08,0,0
1.7232e+20,1,4.01e-08,4.01e-08,0,0
1.7263e+20,1,4.02e-08,4.02e-08,0,0
1.7295e+20,1,4.03e-08,4.03e-08,0,0
1.7326e+20,1,4.04e-08,4.04e-08,0,0
1.7358e+20,1,4.05e-08,4.05e-08,0,0
1.7389e+20,1,4.06e-08,4.06e-08,0,0
1.7421e+20,1,4.07e-08,4.07e-08,0,0
1.7452e+20,1,4.08e-08,4.08e-08,0,0
1.7484e+20,1,4.09e-08,4.09e-08,0,0
1.7515e+20,1,4.1e-08,4.1e-08,0,0
1.7546e+20,1,4.11e-08,4.11e-08,0,0
1.7577e+20,1,4.12e-08,4.12e-08,0,0
1.7608e+20,1,4.13e-08,4.13e-08,0,0
1.7639e+20,1,4.14e-08,4.14e-08,0,0
1.767e+20,1,4.15e-08,4.15e-08,0,0
1.7701e+20,1,4.16e-08,4.16e-08,0,0
1.7732e+20,1,4.17e-08,4.17e-08,0,0
