"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-52398,1,0,0,0,0
7.0695e+05,1,2e-10,2e-10,0,0
1.9026e+06,1,4e-10,4e-10,0,0
3.3617e+06,1,6e-10,6e-10,0,0
4.9669e+06,1,8e-10,8e-10,0,0
6.6078e+06,1,1e-09,1e-09,0,0
8.2003e+06,1,1.2e-09,1.2e-09,0,0
9.6613e+06,1,1.4e-09,1.4e-09,0,0
1.0948e+07,1,1.6e-09,1.6e-09,0,0
1.2007e+07,1,1.8e-09,1.8e-09,0,0
1.2842e+07,1,2e-09,2e-09,0,0
1.3472e+07,1,2.2e-09,2.2e-09,0,0
1.3902e+07,1,2.4e-09,2.4e-09,0,0
1.419e+07,1,2.6e-09,2.6e-09,0,0
1.4369e+07,1,2.8e-09,2.8e-09,0,0
1.4465e+07,1,3e-09,3e-09,0,0
1.4513e+07,1,3.2e-09,3.2e-09,0,0
1.4529e+07,1,3.4e-09,3.4e-09,0,0
1.4527e+07,1,3.6e-09,3.6e-09,0,0
1.4515e+07,1,3.8e-09,3.8e-09,0,0
1.4498e+07,1,4e-09,4e-09,0,0
1.4479e+07,1,4.2e-09,4.2e-09,0,0
1.4459e+07,1,4.4e-09,4.4e-09,0,0
1.4439e+07,1,4.6e-09,4.6e-09,0,0
1.4418e+07,1,4.8e-09,4.8e-09,0,0
1.4397e+07,1,5e-09,5e-09,0,0
1.4377e+07,1,5.2e-09,5.2e-09,0,0
1.4356e+07,1,5.4e-09,5.4e-09,0,0
1.4336e+07,1,5.6e-09,5.6e-09,0,0
1.4315e+07,1,5.8e-09,5.8e-09,0,0
1.4294e+07,1,6e-09,6e-09,0,0
1.4274e+07,1,6.2e-09,6.2e-09,0,0
1.4253e+07,1,6.4e-09,6.4e-09,0,0
1.4233e+07,1,6.6e-09,6.6e-09,0,0
1.4212e+07,1,6.8e-09,6.8e-09,0,0
1.4192e+07,1,7e-09,7e-09,0,0
1.4172e+07,1,7.2e-09,7.2e-09,0,0
1.4151e+07,1,7.4e-09,7.4e-09,0,0
1.4131e+07,1,7.6e-09,7.6e-09,0,0
1.4111e+07,1,7.8e-09,7.8e-09,0,0
1.4091e+07,1,8e-09,8e-09,0,0
1.407e+07,1,8.2e-09,8.2e-09,0,0
1.405e+07,1,8.4e-09,8.4e-09,0,0
1.403e+07,1,8.6e-09,8.6e-09,0,0
1.401e+07,1,8.8e-09,8.8e-09,0,0
1.399e+07,1,9e-09,9e-09,0,0
1.3969e+07,1,9.2e-09,9.2e-09,0,0
1.3949e+07,1,9.4e-09,9.4e-09,0,0
1.3929e+07,1,9.6e-09,9.6e-09,0,0
1.3909e+07,1,9.8e-09,9.8e-09,0,0
1.3889e+07,1,1e-08,1e-08,0,0
1.3869e+07,1,1.02e-08,1.02e-08,0,0
1.3849e+07,1,1.04e-08,1.04e-08,0,0
1.3829e+07,1,1.06e-08,1.06e-08,0,0
1.3809e+07,1,1.08e-08,1.08e-08,0,0
1.379e+07,1,1.1e-08,1.1e-08,0,0
1.377e+07,1,1.12e-08,1.12e-08,0,0
1.375e+07,1,1.14e-08,1.14e-08,0,0
1.373e+07,1,1.16e-08,1.16e-08,0,0
1.371e+07,1,1.18e-08,1.18e-08,0,0
1.3691e+07,1,1.2e-08,1.2e-08,0,0
1.3671e+07,1,1.22e-08,1.22e-08,0,0
1.3651e+07,1,1.24e-08,1.24e-08,0,0
1.3631e+07,1,1.26e-08,1.26e-08,0,0
1.3612e+07,1,1.28e-08,1.28e-08,0,0
1.3592e+07,1,1.3e-08,1.3e-08,0,0
1.3573e+07,1,1.32e-08,1.32e-08,0,0
1.3553e+07,1,1.34e-08,1.34e-08,0,0
1.3533e+07,1,1.36e-08,1.36e-08,0,0
1.3514e+07,1,1.38e-08,1.38e-08,0,0
1.3494e+07,1,1.4e-08,1.4e-08,0,0
1.3475e+07,1,1.42e-08,1.42e-08,0,0
1.3456e+07,1,1.44e-08,1.44e-08,0,0
1.3436e+07,1,1.46e-08,1.46e-08,0,0
1.3417e+07,1,1.48e-08,1.48e-08,0,0
1.3397e+07,1,1.5e-08,1.5e-08,0,0
1.3378e+07,1,1.52e-08,1.52e-08,0,0
1.3359e+07,1,1.54e-08,1.54e-08,0,0
1.3339e+07,1,1.56e-08,1.56e-08,0,0
1.332e+07,1,1.58e-08,1.58e-08,0,0
1.3301e+07,1,1.6e-08,1.6e-08,0,0
1.3281e+07,1,1.62e-08,1.62e-08,0,0
1.3262e+07,1,1.64e-08,1.64e-08,0,0
1.3243e+07,1,1.66e-08,1.66e-08,0,0
1.3224e+07,1,1.68e-08,1.68e-08,0,0
1.3205e+07,1,1.7e-08,1.7e-08,0,0
1.3186e+07,1,1.72e-08,1.72e-08,0,0
1.3166e+07,1,1.74e-08,1.74e-08,0,0
1.3147e+07,1,1.76e-08,1.76e-08,0,0
1.3128e+07,1,1.78e-08,1.78e-08,0,0
1.3109e+07,1,1.8e-08,1.8e-08,0,0
1.309e+07,1,1.82e-08,1.82e-08,0,0
1.3071e+07,1,1.84e-08,1.84e-08,0,0
1.3052e+07,1,1.86e-08,1.86e-08,0,0
1.3033e+07,1,1.88e-08,1.88e-08,0,0
1.3015e+07,1,1.9e-08,1.9e-08,0,0
1.2996e+07,1,1.92e-08,1.92e-08,0,0
1.2977e+07,1,1.94e-08,1.94e-08,0,0
1.2958e+07,1,1.96e-08,1.96e-08,0,0
1.2939e+07,1,1.98e-08,1.98e-08,0,0
1.292e+07,1,2e-08,2e-08,0,0
1.2902e+07,1,2.02e-08,2.02e-08,0,0
1.2883e+07,1,2.04e-08,2.04e-08,0,0
1.2864e+07,1,2.06e-08,2.06e-08,0,0
1.2845e+07,1,2.08e-08,2.08e-08,0,0
1.2827e+07,1,2.1e-08,2.1e-08,0,0
1.2808e+07,1,2.12e-08,2.12e-08,0,0
1.2789e+07,1,2.14e-08,2.14e-08,0,0
1.2771e+07,1,2.16e-08,2.16e-08,0,0
1.2752e+07,1,2.18e-08,2.18e-08,0,0
1.2734e+07,1,2.2e-08,2.2e-08,0,0
1.2715e+07,1,2.22e-08,2.22e-08,0,0
1.2697e+07,1,2.24e-08,2.24e-08,0,0
1.2678e+07,1,2.26e-08,2.26e-08,0,0
1.266e+07,1,2.28e-08,2.28e-08,0,0
1.2641e+07,1,2.3e-08,2.3e-08,0,0
1.2623e+07,1,2.32e-08,2.32e-08,0,0
1.2605e+07,1,2.34e-08,2.34e-08,0,0
1.2586e+07,1,2.36e-08,2.36e-08,0,0
1.2568e+07,1,2.38e-08,2.38e-08,0,0
1.255e+07,1,2.4e-08,2.4e-08,0,0
1.2531e+07,1,2.42e-08,2.42e-08,0,0
1.2513e+07,1,2.44e-08,2.44e-08,0,0
1.2495e+07,1,2.46e-08,2.46e-08,0,0
1.2477e+07,1,2.48e-08,2.48e-08,0,0
