Averaged: 12 UF and 12 OF tif files, label= He: (100)
Total particles with d=[0,20] nm: 37701.8 per mum3 (Integrated density)

Depth	Density2D	errDensity2D
nm	1/mum2	1/mum2

0.500	0.000	0.000
1.500	12.630	4.916
2.500	12.630	4.916
3.500	0.000	0.000
4.500	0.000	0.000
5.500	12.630	6.219
6.500	12.630	6.219
7.500	37.891	13.007
8.500	197.674	50.740
9.500	165.146	52.921
10.500	164.829	52.892
11.500	267.140	67.739
12.500	266.823	81.945
13.500	177.459	56.882
14.500	107.675	38.977
15.500	170.509	52.247
16.500	69.467	26.566
17.500	44.206	14.121
18.500	94.727	38.539
19.500	18.945	9.756
20.500	25.261	11.211
21.500	31.576	7.039
22.500	89.682	22.078
23.500	126.938	28.918
24.500	6.315	3.252
25.500	31.576	11.891
26.500	44.841	3.829
27.500	56.836	21.897
28.500	25.261	10.771
29.500	0.000	0.000
30.500	63.151	8.444
31.500	89.364	16.894
32.500	94.727	30.086
33.500	75.782	14.376
34.500	95.362	21.033
35.500	82.097	19.872
36.500	75.782	23.060
37.500	126.303	33.615
38.500	56.836	23.699
39.500	18.945	3.298
40.500	37.891	10.120
41.500	31.576	9.115
42.500	6.315	1.823
43.500	31.576	13.818
44.500	31.576	11.840
45.500	82.097	18.064
46.500	0.000	0.000
47.500	37.891	17.929
48.500	12.630	5.008
49.500	12.630	4.916
50.500	56.836	25.332
51.500	37.891	16.888
52.500	0.000	0.000
53.500	44.206	18.914
54.500	44.206	16.843
55.500	12.630	4.113
56.500	44.206	22.368
57.500	50.521	18.656
58.500	25.261	3.298
59.500	44.206	13.007
60.500	31.576	13.042
61.500	31.576	13.498
62.500	0.000	0.000
63.500	69.467	23.027
64.500	6.315	3.252
65.500	37.891	18.914
66.500	12.630	6.596
67.500	31.576	9.894
68.500	31.576	12.666
69.500	25.261	8.863
70.500	18.945	9.505
71.500	12.630	6.504
72.500	12.630	6.504
73.500	50.521	14.861
74.500	12.630	0.000
75.500	44.841	8.014
76.500	18.945	8.078
77.500	18.945	9.756
78.500	6.315	3.252
79.500	0.000	0.000
80.500	12.630	0.000
81.500	0.000	0.000
82.500	0.000	0.000
83.500	18.945	0.000
84.500	6.315	0.000
85.500	0.000	0.000
86.500	0.000	0.000
87.500	12.630	6.504
88.500	38.526	8.014
89.500	31.893	8.780
90.500	0.000	0.000
91.500	12.630	5.712
92.500	25.261	11.891
93.500	0.000	0.000
94.500	0.000	0.000
95.500	12.630	0.000
96.500	0.000	0.000
97.500	0.000	0.000
98.500	13.265	3.829
99.500	0	0
