Averaged: 12 UF and 12 OF tif files, label= He: (100)
Total particles with d=[0,20] nm: 37701.8 per mum3 (Integrated density)

Diameter of bubbles	Density3D	errDensity3D
nm	1/mum3	1/mum3

0.500	252.931	98.453
1.500	5521.944	1329.411
2.500	5999.050	1596.100
3.500	9819.511	2911.393
4.500	6070.193	1872.952
5.500	3839.078	1236.588
6.500	2889.353	957.399
7.500	1223.217	333.108
8.500	866.771	333.269
9.500	861.905	203.274
10.500	179.891	34.879
11.500	177.919	92.915
12.500	0.000	0.000
13.500	0.000	0.000
14.500	0.000	0.000
15.500	0.000	0.000
16.500	0.000	0.000
17.500	0.000	0.000
18.500	0.000	0.000
19.500	0.000	0.000
20.500	0.000	0.000
