t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1e-05,107962150.51685475,-4.4069260049368985e+21,1.0861613178e+13,1.8837890625e-06,14.267403252565884,7567049.771123458
1.9090909090909094e-05,708039713.633555,-4.419597759547658e+21,5.45090615631e+12,1.8837890625e-06,16.179147123088743,43762486.875660725
2.9090909090909093e-05,3561817785.19458,-4.4230245980994845e+21,2.73942775852e+12,1.8837890625e-06,22.78799637155413,156302367.5763235
4.0090909090909096e-05,32831944872.644215,-4.4248196317250936e+21,1.38370924195e+12,1.8837890625e-06,80.05740087792532,410105056.0298311
5.21909090909091e-05,339539487822.85034,-4.4259822573178506e+21,704461888702.0,1.8837890625e-06,384.25449101325984,883631800.7045324
6.55009090909091e-05,2513935227165.581,-4.4268204675296075e+21,362765479347.0,1.8837890625e-06,1509.6110692283414,1665286694.3077025
8.014190909090911e-05,13113450656206.479,-4.42746531592411e+21,189688950538.0,1.8837890625e-06,4598.194307892096,2851869620.581116
9.624700909090911e-05,50976875749258.88,-4.4279834674480504e+21,101081473873.0,1.8837890625e-06,11206.283883975448,4548954522.038643
0.00011396261909090913,156063324141224.8,-4.4284129743724625e+21,55052695117.2,1.8837890625e-06,22707.39900775235,6872796135.213219
0.00013344979009090915,393850147194255.5,-4.4287773904535473e+21,30709948568.2,1.8837890625e-06,39569.61622100009,9953347664.393932
0.00015488567819090917,849817409703831.6,-4.4290922011731333e+21,17569745343.5,1.8837890625e-06,60971.034064167936,13938051449.307152
0.0001784651551009092,1614006081208305.8,-4.4293680737948334e+21,10317039687.5,1.8837890625e-06,84964.77718606472,18996178589.085064
0.0002044025797019092,2761543529747055.5,-4.429612634956288e+21,6219267567.73,1.8837890625e-06,109050.14960888638,25323610647.49993
0.00023293374676300923,4336923192166533.0,-4.429831505346773e+21,3847898845.27,1.8837890625e-06,130834.90324284477,33148059765.95328
0.00026431803053021923,6347196179373030.0,-4.4300289330491173e+21,2442084518.5,1.8837890625e-06,148525.22274611375,42734803301.54299
0.0002988407426741503,8764694490880189.0,-4.4302081975935104e+21,1588458927.16,1.8837890625e-06,161136.2560876598,54393062763.678116
0.00033681572603247445,1.1536338385149246e+16,-4.4303718767449714e+21,1057774401.14,1.8837890625e-06,168455.04475655043,68483187320.51895
0.000378588207726631,1.459530960161309e+16,-4.430522027799497e+21,720208561.136,1.8837890625e-06,170855.6167644534,85424815865.05063
0.00042453793759020323,1.7871590833689598e+16,-4.430660313814427e+21,500687628.82,1.8837890625e-06,169068.5275790518,105706195526.74187
0.00047508264044013266,2.1299499841150936e+16,-4.430788093325143e+21,354885714.949,1.8837890625e-06,163974.95756056142,129894833686.93248
0.0005306818135750551,2.4821887984218268e+16,-4.430906485241953e+21,256089153.552,1.8837890625e-06,156457.2428403771,158649657462.9171
0.0005918409040234697,2.8391623564442964e+16,-4.431016416499664e+21,187871437.898,1.8837890625e-06,147309.2372408876,192734848786.2681
0.0006591159035167259,3.1971301072485668e+16,-4.431118657253959e+21,139931621.452,1.8837890625e-06,137194.97821782998,233035505291.77206
0.0007331184029593077,3.553203999776848e+16,-4.4312138473340236e+21,105685970.095,1.8837890625e-06,126639.96209587339,280575257681.05316
0.0008145211523461475,3.905197341317458e+16,-4.4313025162657283e+21,80848708.6497,1.8837890625e-06,116041.02099729619,336535934254.5297
0.0009040641766716714,4.251477338125591e+16,-4.4313850991256226e+21,62580553.3502,1.8837890625e-06,105684.70870412618,402279325955.08997
0.0010025615034297477,4.59083620050814e+16,-4.4314619477677604e+21,48968845.0309,1.8837890625e-06,95767.92351057057,479370966000.053
0.0011109085628636316,4.92238551911299e+16,-4.4315333395715116e+21,38704626.3661,1.8837890625e-06,86417.41555957204,569605731349.3405
0.001230090328240904,5.2454731209065736e+16,-4.431599484375698e+21,30878661.88,1.8837890625e-06,77706.69477841926,675034903474.4106
0.0013611902701559035,5.5596194989319064e+16,-4.4316605300507175e+21,24850482.0337,1.8837890625e-06,69669.93201737467,797994104191.9517
0.001505400206262403,5.864470701247168e+16,-4.4317165668477483e+21,20162983.6928,1.8837890625e-06,62312.995045510674,941131251509.2584
0.0016640311359795525,6.159757171374995e+16,-4.4317676261794497e+21,16485942.9407,1.8837890625e-06,55621.96883655144,1107432422875.1807
0.001838525158668417,6.4452767576608376e+16,-4.4318136905091714e+21,13577997.2048,1.8837890625e-06,49569.68566335262,1300245638318.8037
0.002030468583626168,6.720867462801824e+16,-4.4318546837126717e+21,11260878.1537,1.8837890625e-06,44120.53997078178,1523296738265.8115
0.002241606351079694,6.986416339538649e+16,-4.4318904928998706e+21,9401519.78063,1.8837890625e-06,39234.080071823744,1780700943350.5227
0.002473857895278573,7.241857147740933e+16,-4.431920965159744e+21,7899670.03783,1.8837890625e-06,34867.54488495575,2076962163993.8193
0.0027293345938973397,7.487175466017206e+16,-4.4319459088390706e+21,6679130.33203,1.8837890625e-06,30977.684552166058,2416957746925.4976
0.003010358962377983,7.722424932676426e+16,-4.4319651042663145e+21,5681491.03651,1.8837890625e-06,27522.019113200848,2805907844520.168
0.003319485767706691,7.947710875748635e+16,-4.4319782619293056e+21,4861690.74831,1.8837890625e-06,24459.742759870263,3249302723161.9136
0.003659525253568269,8.163231949432562e+16,-4.4319850676762103e+21,4184664.96966,1.8837890625e-06,21752.281791186524,3752816383952.923
0.004033568688016006,8.369317527609013e+16,-4.4319851983273486e+21,3622928.09305,1.8837890625e-06,19363.6129653059,4322187983515.5015
0.004445016465908515,8.566461487509005e+16,-4.4319783447849374e+21,3154787.75353,1.8837890625e-06,17260.353410519627,4963085797703.321
0.004897609021590276,8.755351094772642e+16,-4.4319641904316e+21,2763029.46585,1.8837890625e-06,15411.839603280172,5680925392520.437
0.005395460832840214,8.936899413510762e+16,-4.431942417065871e+21,2433918.48353,1.8837890625e-06,13790.119233938458,6480654200230.858
0.005943097825215145,9.112315762398576e+16,-4.4319127800392004e+21,2156401.20347,1.8837890625e-06,12369.798966701066,7366583553159.201
0.006545498516827569,9.283112221534275e+16,-4.4318749711714086e+21,1921584.35735,1.8837890625e-06,11128.099130079301,8342046663155.599
0.007208139277601236,9.451163345584552e+16,-4.4318287776052806e+21,1722244.17754,1.8837890625e-06,10044.54294914219,9409251763308.64
0.00793704411445227,9.618756317549242e+16,-4.431774022679781e+21,1552492.56741,1.8837890625e-06,9100.871470918473,10569049731430.283
0.008738839434988406,9.788626062396699e+16,-4.431710539905931e+21,1407518.54306,1.8837890625e-06,8280.915308290072,11820705438923.217
0.009620814287578158,9.964011658852341e+16,-4.4316383104113663e+21,1283348.41291,1.8837890625e-06,7570.292593607347,13161990155131.314
0.010590986625426884,1.0148692569993798e+17,-4.431556999932405e+21,1176767.95426,1.8837890625e-06,6956.688325085156,14588396224966.094
0.011658176197060482,1.0347049691453829e+17,-4.431466824652001e+21,1085056.32393,1.8837890625e-06,6429.049265729454,16094214344583.7
