"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
7.555e+16,1,3e-11,3e-11,0,0
1.511e+17,1,6e-11,6e-11,0,0
2.2665e+17,1,9e-11,9e-11,0,0
3.022e+17,1,1.2e-10,1.2e-10,0,0
3.7775e+17,1,1.5e-10,1.5e-10,0,0
4.533e+17,1,1.8e-10,1.8e-10,0,0
5.2885e+17,1,2.1e-10,2.1e-10,0,0
6.044e+17,1,2.4e-10,2.4e-10,0,0
6.7995e+17,1,2.7e-10,2.7e-10,0,0
7.555e+17,1,3e-10,3e-10,0,0
8.3106e+17,1,3.3e-10,3.3e-10,0,0
9.0661e+17,1,3.6e-10,3.6e-10,0,0
9.8216e+17,1,3.9e-10,3.9e-10,0,0
1.0577e+18,1,4.2e-10,4.2e-10,0,0
1.1333e+18,1,4.5e-10,4.5e-10,0,0
1.2088e+18,1,4.8e-10,4.8e-10,0,0
1.2844e+18,1,5.1e-10,5.1e-10,0,0
1.3599e+18,1,5.4e-10,5.4e-10,0,0
1.4355e+18,1,5.7e-10,5.7e-10,0,0
1.511e+18,1,6e-10,6e-10,0,0
1.7673e+18,1,6.3e-10,6.3e-10,0,0
2.0237e+18,1,6.6e-10,6.6e-10,0,0
2.28e+18,1,6.9e-10,6.9e-10,0,0
2.5363e+18,1,7.2e-10,7.2e-10,0,0
2.7926e+18,1,7.5e-10,7.5e-10,0,0
3.049e+18,1,7.8e-10,7.8e-10,0,0
3.3053e+18,1,8.1e-10,8.1e-10,0,0
3.5616e+18,1,8.4e-10,8.4e-10,0,0
3.818e+18,1,8.7e-10,8.7e-10,0,0
4.0743e+18,1,9e-10,9e-10,0,0
4.3306e+18,1,9.3e-10,9.3e-10,0,0
4.5869e+18,1,9.6e-10,9.6e-10,0,0
4.8433e+18,1,9.9e-10,9.9e-10,0,0
5.0996e+18,1,1.02e-09,1.02e-09,0,0
5.3559e+18,1,1.05e-09,1.05e-09,0,0
5.6123e+18,1,1.08e-09,1.08e-09,0,0
5.8686e+18,1,1.11e-09,1.11e-09,0,0
6.1249e+18,1,1.14e-09,1.14e-09,0,0
6.3812e+18,1,1.17e-09,1.17e-09,0,0
6.6376e+18,1,1.2e-09,1.2e-09,0,0
6.9629e+18,1,1.23e-09,1.23e-09,0,0
7.2883e+18,1,1.26e-09,1.26e-09,0,0
7.6136e+18,1,1.29e-09,1.29e-09,0,0
7.9389e+18,1,1.32e-09,1.32e-09,0,0
8.2643e+18,1,1.35e-09,1.35e-09,0,0
8.5896e+18,1,1.38e-09,1.38e-09,0,0
8.915e+18,1,1.41e-09,1.41e-09,0,0
9.2403e+18,1,1.44e-09,1.44e-09,0,0
9.5657e+18,1,1.47e-09,1.47e-09,0,0
9.891e+18,1,1.5e-09,1.5e-09,0,0
1.0216e+19,1,1.53e-09,1.53e-09,0,0
1.0542e+19,1,1.56e-09,1.56e-09,0,0
1.0867e+19,1,1.59e-09,1.59e-09,0,0
1.1192e+19,1,1.62e-09,1.62e-09,0,0
1.1518e+19,1,1.65e-09,1.65e-09,0,0
1.1843e+19,1,1.68e-09,1.68e-09,0,0
1.2168e+19,1,1.71e-09,1.71e-09,0,0
1.2494e+19,1,1.74e-09,1.74e-09,0,0
1.2819e+19,1,1.77e-09,1.77e-09,0,0
1.3144e+19,1,1.8e-09,1.8e-09,0,0
1.3469e+19,1,1.83e-09,1.83e-09,0,0
1.3794e+19,1,1.86e-09,1.86e-09,0,0
1.4118e+19,1,1.89e-09,1.89e-09,0,0
1.4443e+19,1,1.92e-09,1.92e-09,0,0
1.4768e+19,1,1.95e-09,1.95e-09,0,0
1.5092e+19,1,1.98e-09,1.98e-09,0,0
1.5417e+19,1,2.01e-09,2.01e-09,0,0
1.5741e+19,1,2.04e-09,2.04e-09,0,0
1.6066e+19,1,2.07e-09,2.07e-09,0,0
1.6391e+19,1,2.1e-09,2.1e-09,0,0
1.6715e+19,1,2.13e-09,2.13e-09,0,0
1.704e+19,1,2.16e-09,2.16e-09,0,0
1.7365e+19,1,2.19e-09,2.19e-09,0,0
1.7689e+19,1,2.22e-09,2.22e-09,0,0
1.8014e+19,1,2.25e-09,2.25e-09,0,0
1.8339e+19,1,2.28e-09,2.28e-09,0,0
1.8663e+19,1,2.31e-09,2.31e-09,0,0
1.8988e+19,1,2.34e-09,2.34e-09,0,0
1.9312e+19,1,2.37e-09,2.37e-09,0,0
1.9637e+19,1,2.4e-09,2.4e-09,0,0
1.9915e+19,1,2.43e-09,2.43e-09,0,0
2.0193e+19,1,2.46e-09,2.46e-09,0,0
2.0472e+19,1,2.49e-09,2.49e-09,0,0
2.075e+19,1,2.52e-09,2.52e-09,0,0
2.1028e+19,1,2.55e-09,2.55e-09,0,0
2.1306e+19,1,2.58e-09,2.58e-09,0,0
2.1584e+19,1,2.61e-09,2.61e-09,0,0
2.1862e+19,1,2.64e-09,2.64e-09,0,0
2.2141e+19,1,2.67e-09,2.67e-09,0,0
