"arc_length","1","2","6","3","4","5","cb"
0,0,0,0,0,0,0,0
3e-11,4.08308e+19,2.01338e+16,4.05875e+08,9.23239e+13,3.75489e+11,2.26579e+09,1.46994e+13
6e-11,8.16615e+19,4.02676e+16,8.1175e+08,1.84648e+14,7.50978e+11,4.53158e+09,2.93987e+13
9e-11,1.22492e+20,6.04014e+16,1.21762e+09,2.76972e+14,1.12647e+12,6.79738e+09,4.40981e+13
1.2e-10,1.63323e+20,8.05352e+16,1.6235e+09,3.69296e+14,1.50196e+12,9.06317e+09,5.87975e+13
1.5e-10,2.04154e+20,1.00669e+17,2.02937e+09,4.6162e+14,1.87745e+12,1.1329e+10,7.34969e+13
1.8e-10,2.44985e+20,1.20803e+17,2.43525e+09,5.53944e+14,2.25293e+12,1.35948e+10,8.81962e+13
2.1e-10,2.85815e+20,1.40937e+17,2.84112e+09,6.46268e+14,2.62842e+12,1.58605e+10,1.02896e+14
2.4e-10,3.26646e+20,1.6107e+17,3.247e+09,7.38592e+14,3.00391e+12,1.81263e+10,1.17595e+14
2.7e-10,3.67477e+20,1.81204e+17,3.65287e+09,8.30916e+14,3.3794e+12,2.03921e+10,1.32294e+14
3e-10,4.08308e+20,2.01338e+17,4.05875e+09,9.23239e+14,3.75489e+12,2.26579e+10,1.46994e+14
3.3e-10,4.49138e+20,2.21472e+17,4.46462e+09,1.01556e+15,4.13038e+12,2.49237e+10,1.61693e+14
3.6e-10,4.89969e+20,2.41606e+17,4.8705e+09,1.10789e+15,4.50587e+12,2.71895e+10,1.76392e+14
3.9e-10,5.308e+20,2.6174e+17,5.27637e+09,1.20021e+15,4.88136e+12,2.94553e+10,1.91092e+14
4.2e-10,5.71631e+20,2.81873e+17,5.68225e+09,1.29254e+15,5.25685e+12,3.17211e+10,2.05791e+14
4.5e-10,6.12461e+20,3.02007e+17,6.08812e+09,1.38486e+15,5.63234e+12,3.39869e+10,2.20491e+14
4.8e-10,6.53292e+20,3.22141e+17,6.494e+09,1.47718e+15,6.00782e+12,3.62527e+10,2.3519e+14
5.1e-10,6.94123e+20,3.42275e+17,6.89987e+09,1.56951e+15,6.38331e+12,3.85185e+10,2.49889e+14
5.4e-10,7.34954e+20,3.62409e+17,7.30575e+09,1.66183e+15,6.7588e+12,4.07843e+10,2.64589e+14
5.7e-10,7.75784e+20,3.82542e+17,7.71162e+09,1.75415e+15,7.13429e+12,4.30501e+10,2.79288e+14
6e-10,8.16615e+20,4.02676e+17,8.1175e+09,1.84648e+15,7.50978e+12,4.53158e+10,2.93987e+14
6.3e-10,8.49634e+20,4.22537e+17,8.52225e+09,1.9384e+15,7.88413e+12,4.75753e+10,3.43871e+14
6.6e-10,8.82653e+20,4.42397e+17,8.92701e+09,2.03033e+15,8.25848e+12,4.98347e+10,3.93754e+14
6.9e-10,9.15672e+20,4.62257e+17,9.33176e+09,2.12225e+15,8.63283e+12,5.20942e+10,4.43637e+14
7.2e-10,9.48691e+20,4.82117e+17,9.73652e+09,2.21417e+15,9.00719e+12,5.43536e+10,4.9352e+14
7.5e-10,9.8171e+20,5.01978e+17,1.01413e+10,2.3061e+15,9.38154e+12,5.6613e+10,5.43403e+14
7.8e-10,1.01473e+21,5.21838e+17,1.0546e+10,2.39802e+15,9.75589e+12,5.88725e+10,5.93287e+14
8.1e-10,1.04775e+21,5.41698e+17,1.09508e+10,2.48994e+15,1.01302e+13,6.11319e+10,6.4317e+14
8.4e-10,1.08077e+21,5.61559e+17,1.13555e+10,2.58187e+15,1.05046e+13,6.33914e+10,6.93053e+14
8.7e-10,1.11379e+21,5.81419e+17,1.17603e+10,2.67379e+15,1.08789e+13,6.56508e+10,7.42936e+14
9e-10,1.1468e+21,6.01279e+17,1.2165e+10,2.76571e+15,1.12533e+13,6.79102e+10,7.92819e+14
9.3e-10,1.17982e+21,6.2114e+17,1.25698e+10,2.85764e+15,1.16276e+13,7.01697e+10,8.42702e+14
9.6e-10,1.21284e+21,6.41e+17,1.29746e+10,2.94956e+15,1.2002e+13,7.24291e+10,8.92586e+14
9.9e-10,1.24586e+21,6.6086e+17,1.33793e+10,3.04148e+15,1.23763e+13,7.46885e+10,9.42469e+14
1.02e-09,1.27888e+21,6.80721e+17,1.37841e+10,3.13341e+15,1.27507e+13,7.6948e+10,9.92352e+14
1.05e-09,1.3119e+21,7.00581e+17,1.41888e+10,3.22533e+15,1.3125e+13,7.92074e+10,1.04224e+15
1.08e-09,1.34492e+21,7.20441e+17,1.45936e+10,3.31725e+15,1.34994e+13,8.14669e+10,1.09212e+15
1.11e-09,1.37794e+21,7.40302e+17,1.49983e+10,3.40918e+15,1.38738e+13,8.37263e+10,1.142e+15
1.14e-09,1.41096e+21,7.60162e+17,1.54031e+10,3.5011e+15,1.42481e+13,8.59857e+10,1.19188e+15
1.17e-09,1.44398e+21,7.80022e+17,1.58078e+10,3.59302e+15,1.46225e+13,8.82452e+10,1.24177e+15
1.2e-09,1.47699e+21,7.99883e+17,1.62126e+10,3.68495e+15,1.49968e+13,9.05046e+10,1.29165e+15
1.23e-09,1.49924e+21,8.18806e+17,1.66137e+10,3.77557e+15,1.53675e+13,9.27434e+10,1.355e+15
1.26e-09,1.52148e+21,8.37729e+17,1.70148e+10,3.8662e+15,1.57381e+13,9.49822e+10,1.41834e+15
1.29e-09,1.54372e+21,8.56653e+17,1.74159e+10,3.95683e+15,1.61087e+13,9.72209e+10,1.48169e+15
1.32e-09,1.56597e+21,8.75576e+17,1.7817e+10,4.04745e+15,1.64794e+13,9.94597e+10,1.54504e+15
1.35e-09,1.58821e+21,8.945e+17,1.82182e+10,4.13808e+15,1.685e+13,1.01698e+11,1.60838e+15
1.38e-09,1.61045e+21,9.13423e+17,1.86193e+10,4.22871e+15,1.72207e+13,1.03937e+11,1.67173e+15
1.41e-09,1.6327e+21,9.32346e+17,1.90204e+10,4.31933e+15,1.75913e+13,1.06176e+11,1.73508e+15
1.44e-09,1.65494e+21,9.5127e+17,1.94215e+10,4.40996e+15,1.7962e+13,1.08415e+11,1.79842e+15
1.47e-09,1.67718e+21,9.70193e+17,1.98226e+10,4.50059e+15,1.83326e+13,1.10654e+11,1.86177e+15
1.5e-09,1.69943e+21,9.89116e+17,2.02237e+10,4.59121e+15,1.87033e+13,1.12892e+11,1.92512e+15
1.53e-09,1.72167e+21,1.00804e+18,2.06248e+10,4.68184e+15,1.90739e+13,1.15131e+11,1.98846e+15
1.56e-09,1.74391e+21,1.02696e+18,2.10259e+10,4.77247e+15,1.94446e+13,1.1737e+11,2.05181e+15
1.59e-09,1.76616e+21,1.04589e+18,2.14271e+10,4.86309e+15,1.98152e+13,1.19609e+11,2.11516e+15
1.62e-09,1.7884e+21,1.06481e+18,2.18282e+10,4.95372e+15,2.01859e+13,1.21847e+11,2.1785e+15
1.65e-09,1.81064e+21,1.08373e+18,2.22293e+10,5.04435e+15,2.05565e+13,1.24086e+11,2.24185e+15
1.68e-09,1.83289e+21,1.10266e+18,2.26304e+10,5.13497e+15,2.09272e+13,1.26325e+11,2.3052e+15
1.71e-09,1.85513e+21,1.12158e+18,2.30315e+10,5.2256e+15,2.12978e+13,1.28564e+11,2.36854e+15
1.74e-09,1.87737e+21,1.1405e+18,2.34326e+10,5.31623e+15,2.16684e+13,1.30802e+11,2.43189e+15
1.77e-09,1.89962e+21,1.15943e+18,2.38337e+10,5.40685e+15,2.20391e+13,1.33041e+11,2.49524e+15
1.8e-09,1.92186e+21,1.17835e+18,2.42349e+10,5.49748e+15,2.24097e+13,1.3528e+11,2.55858e+15
1.83e-09,1.93333e+21,1.19565e+18,2.4629e+10,5.58566e+15,2.27733e+13,1.37479e+11,2.62185e+15
1.86e-09,1.9448e+21,1.21294e+18,2.50231e+10,5.67384e+15,2.31369e+13,1.39678e+11,2.68511e+15
1.89e-09,1.95626e+21,1.23024e+18,2.54173e+10,5.76202e+15,2.35004e+13,1.41878e+11,2.74838e+15
1.92e-09,1.96773e+21,1.24754e+18,2.58114e+10,5.8502e+15,2.3864e+13,1.44077e+11,2.81164e+15
1.95e-09,1.9792e+21,1.26484e+18,2.62056e+10,5.93837e+15,2.42276e+13,1.46276e+11,2.87491e+15
1.98e-09,1.99067e+21,1.28213e+18,2.65997e+10,6.02655e+15,2.45911e+13,1.48475e+11,2.93817e+15
2.01e-09,2.00214e+21,1.29943e+18,2.69938e+10,6.11473e+15,2.49547e+13,1.50674e+11,3.00144e+15
2.04e-09,2.0136e+21,1.31673e+18,2.7388e+10,6.20291e+15,2.53182e+13,1.52873e+11,3.0647e+15
2.07e-09,2.02507e+21,1.33402e+18,2.77821e+10,6.29109e+15,2.56818e+13,1.55073e+11,3.12797e+15
2.1e-09,2.03654e+21,1.35132e+18,2.81763e+10,6.37927e+15,2.60454e+13,1.57272e+11,3.19123e+15
2.13e-09,2.04801e+21,1.36862e+18,2.85704e+10,6.46745e+15,2.64089e+13,1.59471e+11,3.2545e+15
