X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,Xcb,Ycb
9.906003156825176e-10,1.2469398396317052e+21,8.345555255532753e-10,302416665778153100,7.408929464000839e-10,838126425484553.2,8.894400709248689e-10,3888822534957.656,8.883124790179878e-10,23675642273.55861,8.825964646657559e-10,524222448.31516725,6.818694942776453e-10,12250484078266989000
1.7090008477921533e-9,1.8800298045419482e+21,1.5989675715116784e-9,569782000240202300,1.4597638088223158e-9,1728977703679899.5,1.5818043177725315e-9,6122753398107.922,1.6069571826090565e-9,42005740657.24142,1.6012531766903376e-9,937559704.0061718,1.4416891149795245e-9,28220065456911610000
2.427133191553329e-9,2.370519001469869e+21,2.3334418922299843e-9,732307556307455900,2.2106275398101286e-9,2337826138373500,2.33284297160852e-9,9302715723023.756,2.3252776584952708e-9,60041509667.16329,2.319573652576552e-9,1340114449.8549626,1.996853006128927e-9,39703806861453290000
3.1449373047984798e-9,2.4015930221046273e+21,3.2078323330685567e-9,998025287338238200,2.9615118185619555e-9,3204672140703343,3.075456508491722e-9,11818149964127.408,3.043418007878789e-9,76111089323.38235,3.037774044127636e-9,1768155400.2284274,2.878268423459919e-9,55334781230265750000
3.8627414180436305e-9,2.4330743774866755e+21,3.851149276892324e-9,1072088214753073900,3.712143653355928e-9,3712551390334776,3.736409094955836e-9,14096955399827.121,3.761534340395281e-9,94949217283.3969,3.7559023850776404e-9,2223516335.9364924,3.816728102929836e-9,74480275449409130000
4.580521514421755e-9,2.425819453053074e+21,4.471181725176665e-9,1167258277469325000,4.506300055418106e-9,4365830916337654,4.578302355908536e-9,15349636372827.182,4.479542597010154e-9,110216563724.04501,4.473910641692513e-9,2581046341.8538775,4.510248161503134e-9,85409816225565180000
5.298301610799882e-9,2.418586161303217e+21,5.221567720651215e-9,1147850554846563700,5.213351550441557e-9,4800694532933661,5.32633615658145e-9,20298369477451.72,5.1975508536250284e-9,127938821052.932,5.1918708645733355e-9,2901653258.653234,5.228256418118009e-9,99143275974429620000
5.885598068624734e-9,2.4480554885675284e+21,6.1026264875068705e-9,1261249722164263400,6.009553922720289e-9,5179812694821786,5.951153822663212e-9,24009126602805.457,5.915523084939363e-9,144986811003.14798,5.90980707058713e-9,3210275782.9874163,5.946096556663699e-9,102884170824906920000
7.059914790303642e-9,2.08632753903442e+21,6.689910936898211e-9,1266439174352872200,6.714462579496847e-9,5819589837142581,6.720600490146506e-9,22073199648867.01,6.6334232656526194e-9,156601530365.44662,6.627707251300387e-9,3467447121.7940397,6.500754092199966e-9,103283927608209850000
7.77770689511528e-9,2.0968242052610405e+21,7.440250699903738e-9,1207586981146023400,7.497552542941516e-9,6025831714312974,7.4404125135453265e-9,25472245149387.008,7.351311437932364e-9,167798109880.91754,7.345619440447157e-9,3775320206.735053,7.773467918085157e-9,124273397358321340000
8.267131617700043e-9,2.1336925343047649e+21,8.223243795318067e-9,1172194689496115200,8.215265392091968e-9,5744497113757253,8.106004124659349e-9,32642290302138.887,8.069223627079133e-9,182696829290.82822,8.063411545258795e-9,3794314480.3413067,8.491260022896796e-9,124898637810029180000
8.9848246529352e-9,2.0073852372580203e+21,9.165711022618901e-9,1112673782774638800,8.998443417382401e-9,6307692915526757,8.833776571990754e-9,29288879690611.38,8.787063765624824e-9,189590384311.8342,8.781263692238e-9,3969127604.9819756,1.1297174614433198e-8,127373090212491310000
1.0061326679433203e-8,1.786550014016446e+21,9.897989301058499e-9,1107496679289280600,9.800123236467569e-9,6300735285709356,9.548559897072166e-9,27379846093085.297,9.504879887303487e-9,193619333407.39288,9.499067805483152e-9,4021157035.2555833,1.2014966719244836e-8,128013925742483180000
