"arc_length","1","2","3","4","5","6","cb"
0,0,0,0,0,0,0,0
3e-11,4.0543e+19,3.41979e+16,1.87983e+14,7.81696e+11,4.60528e+09,8.00469e+08,1.53974e+17
6e-11,8.1086e+19,6.83958e+16,3.75966e+14,1.56339e+12,9.21056e+09,1.60094e+09,3.07949e+17
9e-11,1.21629e+20,1.02594e+17,5.63949e+14,2.34509e+12,1.38158e+10,2.40141e+09,4.61923e+17
1.2e-10,1.62172e+20,1.36792e+17,7.51932e+14,3.12678e+12,1.84211e+10,3.20188e+09,6.15897e+17
1.5e-10,2.02715e+20,1.7099e+17,9.39915e+14,3.90848e+12,2.30264e+10,4.00235e+09,7.69872e+17
1.8e-10,2.43258e+20,2.05187e+17,1.1279e+15,4.69018e+12,2.76317e+10,4.80282e+09,9.23846e+17
2.1e-10,2.83801e+20,2.39385e+17,1.31588e+15,5.47187e+12,3.2237e+10,5.60329e+09,1.07782e+18
2.4e-10,3.24344e+20,2.73583e+17,1.50386e+15,6.25357e+12,3.68422e+10,6.40376e+09,1.23179e+18
2.7e-10,3.64887e+20,3.07781e+17,1.69185e+15,7.03527e+12,4.14475e+10,7.20422e+09,1.38577e+18
3e-10,4.0543e+20,3.41979e+17,1.87983e+15,7.81696e+12,4.60528e+10,8.00469e+09,1.53974e+18
3.3e-10,4.45973e+20,3.76177e+17,2.06781e+15,8.59866e+12,5.06581e+10,8.80516e+09,1.69372e+18
3.6e-10,4.86516e+20,4.10375e+17,2.2558e+15,9.38035e+12,5.52634e+10,9.60563e+09,1.84769e+18
3.9e-10,5.27059e+20,4.44573e+17,2.44378e+15,1.01621e+13,5.98686e+10,1.04061e+10,2.00167e+18
4.2e-10,5.67602e+20,4.78771e+17,2.63176e+15,1.09437e+13,6.44739e+10,1.12066e+10,2.15564e+18
4.5e-10,6.08145e+20,5.12969e+17,2.81974e+15,1.17254e+13,6.90792e+10,1.2007e+10,2.30962e+18
4.8e-10,6.48688e+20,5.47167e+17,3.00773e+15,1.25071e+13,7.36845e+10,1.28075e+10,2.46359e+18
5.1e-10,6.89231e+20,5.81365e+17,3.19571e+15,1.32888e+13,7.82897e+10,1.3608e+10,2.61756e+18
5.4e-10,7.29774e+20,6.15562e+17,3.38369e+15,1.40705e+13,8.2895e+10,1.44084e+10,2.77154e+18
5.7e-10,7.70317e+20,6.4976e+17,3.57168e+15,1.48522e+13,8.75003e+10,1.52089e+10,2.92551e+18
6e-10,8.1086e+20,6.83958e+17,3.75966e+15,1.56339e+13,9.21056e+10,1.60094e+10,3.07949e+18
6.3e-10,8.43592e+20,7.17763e+17,3.94696e+15,1.64133e+13,9.66977e+10,1.68076e+10,3.60177e+18
6.6e-10,8.76323e+20,7.51567e+17,4.13426e+15,1.71927e+13,1.0129e+11,1.76058e+10,4.12405e+18
6.9e-10,9.09055e+20,7.85372e+17,4.32157e+15,1.79721e+13,1.05882e+11,1.8404e+10,4.64632e+18
7.2e-10,9.41786e+20,8.19176e+17,4.50887e+15,1.87514e+13,1.10474e+11,1.92022e+10,5.1686e+18
7.5e-10,9.74518e+20,8.52981e+17,4.69617e+15,1.95308e+13,1.15066e+11,2.00004e+10,5.69088e+18
7.8e-10,1.00725e+21,8.86785e+17,4.88347e+15,2.03102e+13,1.19658e+11,2.07986e+10,6.21316e+18
8.1e-10,1.03998e+21,9.2059e+17,5.07077e+15,2.10896e+13,1.2425e+11,2.15967e+10,6.73544e+18
8.4e-10,1.07271e+21,9.54394e+17,5.25808e+15,2.1869e+13,1.28842e+11,2.23949e+10,7.25772e+18
8.7e-10,1.10544e+21,9.88199e+17,5.44538e+15,2.26483e+13,1.33434e+11,2.31931e+10,7.78e+18
9e-10,1.13818e+21,1.022e+18,5.63268e+15,2.34277e+13,1.38027e+11,2.39913e+10,8.30228e+18
9.3e-10,1.17091e+21,1.05581e+18,5.81998e+15,2.42071e+13,1.42619e+11,2.47895e+10,8.82456e+18
9.6e-10,1.20364e+21,1.08961e+18,6.00728e+15,2.49865e+13,1.47211e+11,2.55877e+10,9.34684e+18
9.9e-10,1.23637e+21,1.12342e+18,6.19459e+15,2.57659e+13,1.51803e+11,2.63859e+10,9.86912e+18
1.02e-09,1.2691e+21,1.15722e+18,6.38189e+15,2.65452e+13,1.56395e+11,2.71841e+10,1.03914e+19
1.05e-09,1.30183e+21,1.19103e+18,6.56919e+15,2.73246e+13,1.60987e+11,2.79823e+10,1.09137e+19
1.08e-09,1.33457e+21,1.22483e+18,6.75649e+15,2.8104e+13,1.65579e+11,2.87805e+10,1.1436e+19
1.11e-09,1.3673e+21,1.25864e+18,6.9438e+15,2.88834e+13,1.70171e+11,2.95787e+10,1.19582e+19
1.14e-09,1.40003e+21,1.29244e+18,7.1311e+15,2.96628e+13,1.74763e+11,3.03769e+10,1.24805e+19
1.17e-09,1.43276e+21,1.32624e+18,7.3184e+15,3.04421e+13,1.79356e+11,3.11751e+10,1.30028e+19
1.2e-09,1.46549e+21,1.36005e+18,7.5057e+15,3.12215e+13,1.83948e+11,3.19733e+10,1.35251e+19
1.23e-09,1.48745e+21,1.39269e+18,7.6908e+15,3.19934e+13,1.88497e+11,3.27641e+10,1.41876e+19
1.26e-09,1.50941e+21,1.42532e+18,7.87591e+15,3.27652e+13,1.93046e+11,3.35549e+10,1.48502e+19
1.29e-09,1.53137e+21,1.45796e+18,8.06101e+15,3.35371e+13,1.97596e+11,3.43457e+10,1.55127e+19
1.32e-09,1.55333e+21,1.4906e+18,8.24611e+15,3.43089e+13,2.02145e+11,3.51365e+10,1.61752e+19
1.35e-09,1.57528e+21,1.52324e+18,8.43121e+15,3.50808e+13,2.06694e+11,3.59273e+10,1.68378e+19
1.38e-09,1.59724e+21,1.55587e+18,8.61632e+15,3.58527e+13,2.11243e+11,3.67181e+10,1.75003e+19
1.41e-09,1.6192e+21,1.58851e+18,8.80142e+15,3.66245e+13,2.15793e+11,3.75089e+10,1.81629e+19
1.44e-09,1.64116e+21,1.62115e+18,8.98652e+15,3.73964e+13,2.20342e+11,3.82997e+10,1.88254e+19
1.47e-09,1.66312e+21,1.65379e+18,9.17162e+15,3.81682e+13,2.24891e+11,3.90906e+10,1.9488e+19
1.5e-09,1.68508e+21,1.68642e+18,9.35673e+15,3.89401e+13,2.29441e+11,3.98814e+10,2.01505e+19
1.53e-09,1.70703e+21,1.71906e+18,9.54183e+15,3.9712e+13,2.3399e+11,4.06722e+10,2.0813e+19
1.56e-09,1.72899e+21,1.7517e+18,9.72693e+15,4.04838e+13,2.38539e+11,4.1463e+10,2.14756e+19
1.59e-09,1.75095e+21,1.78433e+18,9.91203e+15,4.12557e+13,2.43089e+11,4.22538e+10,2.21381e+19
1.62e-09,1.77291e+21,1.81697e+18,1.00971e+16,4.20275e+13,2.47638e+11,4.30446e+10,2.28007e+19
1.65e-09,1.79487e+21,1.84961e+18,1.02822e+16,4.27994e+13,2.52187e+11,4.38354e+10,2.34632e+19
1.68e-09,1.81683e+21,1.88225e+18,1.04673e+16,4.35712e+13,2.56737e+11,4.46262e+10,2.41258e+19
1.71e-09,1.83878e+21,1.91488e+18,1.06524e+16,4.43431e+13,2.61286e+11,4.5417e+10,2.47883e+19
1.74e-09,1.86074e+21,1.94752e+18,1.08375e+16,4.5115e+13,2.65835e+11,4.62078e+10,2.54508e+19
1.77e-09,1.8827e+21,1.98016e+18,1.10226e+16,4.58868e+13,2.70385e+11,4.69986e+10,2.61134e+19
1.8e-09,1.90466e+21,2.0128e+18,1.12078e+16,4.66587e+13,2.74934e+11,4.77894e+10,2.67759e+19
1.83e-09,1.91585e+21,2.04348e+18,1.13887e+16,4.74162e+13,2.79401e+11,4.85661e+10,2.74364e+19
1.86e-09,1.92704e+21,2.07416e+18,1.15696e+16,4.81737e+13,2.83869e+11,4.93428e+10,2.80968e+19
1.89e-09,1.93823e+21,2.10484e+18,1.17506e+16,4.89312e+13,2.88336e+11,5.01195e+10,2.87573e+19
1.92e-09,1.94942e+21,2.13552e+18,1.19315e+16,4.96887e+13,2.92804e+11,5.08962e+10,2.94177e+19
1.95e-09,1.96061e+21,2.1662e+18,1.21124e+16,5.04462e+13,2.97271e+11,5.16729e+10,3.00782e+19
1.98e-09,1.9718e+21,2.19688e+18,1.22934e+16,5.12037e+13,3.01739e+11,5.24496e+10,3.07386e+19
2.01e-09,1.98299e+21,2.22756e+18,1.24743e+16,5.19611e+13,3.06207e+11,5.32263e+10,3.13991e+19
2.04e-09,1.99418e+21,2.25824e+18,1.26553e+16,5.27186e+13,3.10674e+11,5.4003e+10,3.20595e+19
2.07e-09,2.00536e+21,2.28892e+18,1.28362e+16,5.34761e+13,3.15142e+11,5.47796e+10,3.272e+19
2.1e-09,2.01655e+21,2.3196e+18,1.30171e+16,5.42336e+13,3.19609e+11,5.55563e+10,3.33804e+19
2.13e-09,2.02774e+21,2.35028e+18,1.31981e+16,5.49911e+13,3.24077e+11,5.6333e+10,3.40408e+19
2.16e-09,2.03893e+21,2.38096e+18,1.3379e+16,5.57486e+13,3.28544e+11,5.71097e+10,3.47013e+19
2.19e-09,2.05012e+21,2.41164e+18,1.356e+16,5.65061e+13,3.33012e+11,5.78864e+10,3.53617e+19
2.22e-09,2.06131e+21,2.44232e+18,1.37409e+16,5.72636e+13,3.37479e+11,5.86631e+10,3.60222e+19
2.25e-09,2.0725e+21,2.47301e+18,1.39218e+16,5.80211e+13,3.41947e+11,5.94398e+10,3.66826e+19
2.28e-09,2.08369e+21,2.50369e+18,1.41028e+16,5.87786e+13,3.46414e+11,6.02165e+10,3.73431e+19
2.31e-09,2.09488e+21,2.53437e+18,1.42837e+16,5.95361e+13,3.50882e+11,6.09931e+10,3.80035e+19
2.34e-09,2.10607e+21,2.56505e+18,1.44647e+16,6.02936e+13,3.55349e+11,6.17698e+10,3.8664e+19
2.37e-09,2.11726e+21,2.59573e+18,1.46456e+16,6.10511e+13,3.59817e+11,6.25465e+10,3.93244e+19
2.4e-09,2.12845e+21,2.62641e+18,1.48265e+16,6.18086e+13,3.64284e+11,6.33232e+10,3.99849e+19
2.43e-09,2.13184e+21,2.65462e+18,1.50014e+16,6.25449e+13,3.68631e+11,6.4079e+10,4.05499e+19
2.46e-09,2.13523e+21,2.68284e+18,1.51763e+16,6.32811e+13,3.72977e+11,6.48348e+10,4.11149e+19
2.49e-09,2.13862e+21,2.71106e+18,1.53511e+16,6.40174e+13,3.77324e+11,6.55906e+10,4.168e+19
2.52e-09,2.14201e+21,2.73927e+18,1.5526e+16,6.47537e+13,3.8167e+11,6.63463e+10,4.2245e+19
2.55e-09,2.1454e+21,2.76749e+18,1.57009e+16,6.54899e+13,3.86017e+11,6.71021e+10,4.28101e+19
2.58e-09,2.14879e+21,2.7957e+18,1.58757e+16,6.62262e+13,3.90363e+11,6.78579e+10,4.33751e+19
2.61e-09,2.15218e+21,2.82392e+18,1.60506e+16,6.69625e+13,3.9471e+11,6.86137e+10,4.39401e+19
2.64e-09,2.15557e+21,2.85213e+18,1.62255e+16,6.76987e+13,3.99056e+11,6.93695e+10,4.45052e+19
2.67e-09,2.15896e+21,2.88035e+18,1.64003e+16,6.8435e+13,4.03403e+11,7.01253e+10,4.50702e+19
2.7e-09,2.16235e+21,2.90856e+18,1.65752e+16,6.91713e+13,4.07749e+11,7.08811e+10,4.56353e+19
2.73e-09,2.16574e+21,2.93678e+18,1.67501e+16,6.99075e+13,4.12096e+11,7.16368e+10,4.62003e+19
2.76e-09,2.16913e+21,2.96499e+18,1.69249e+16,7.06438e+13,4.16442e+11,7.23926e+10,4.67654e+19
2.79e-09,2.17252e+21,2.99321e+18,1.70998e+16,7.13801e+13,4.20788e+11,7.31484e+10,4.73304e+19
2.82e-09,2.17591e+21,3.02142e+18,1.72747e+16,7.21163e+13,4.25135e+11,7.39042e+10,4.78954e+19
2.85e-09,2.1793e+21,3.04964e+18,1.74495e+16,7.28526e+13,4.29481e+11,7.466e+10,4.84605e+19
2.88e-09,2.18269e+21,3.07786e+18,1.76244e+16,7.35889e+13,4.33828e+11,7.54157e+10,4.90255e+19
2.91e-09,2.18608e+21,3.10607e+18,1.77993e+16,7.43251e+13,4.38174e+11,7.61715e+10,4.95905e+19
2.94e-09,2.18947e+21,3.13429e+18,1.79742e+16,7.50614e+13,4.42521e+11,7.69273e+10,5.01556e+19
2.97e-09,2.19286e+21,3.1625e+18,1.8149e+16,7.57977e+13,4.46867e+11,7.76831e+10,5.07206e+19
3e-09,2.19625e+21,3.19072e+18,1.83239e+16,7.65339e+13,4.51214e+11,7.84389e+10,5.12857e+19
3.03e-09,2.19555e+21,3.21628e+18,1.84911e+16,7.7243e+13,4.55405e+11,7.91679e+10,5.17494e+19
3.06e-09,2.19484e+21,3.24184e+18,1.86583e+16,7.79521e+13,4.59596e+11,7.98968e+10,5.22131e+19
3.09e-09,2.19414e+21,3.2674e+18,1.88256e+16,7.86612e+13,4.63788e+11,8.06258e+10,5.26768e+19
3.12e-09,2.19344e+21,3.29296e+18,1.89928e+16,7.93703e+13,4.67979e+11,8.13548e+10,5.31406e+19
3.15e-09,2.19274e+21,3.31852e+18,1.916e+16,8.00794e+13,4.7217e+11,8.20837e+10,5.36043e+19
3.18e-09,2.19204e+21,3.34409e+18,1.93272e+16,8.07885e+13,4.76361e+11,8.28127e+10,5.4068e+19
3.21e-09,2.19134e+21,3.36965e+18,1.94945e+16,8.14976e+13,4.80553e+11,8.35417e+10,5.45317e+19
3.24e-09,2.19064e+21,3.39521e+18,1.96617e+16,8.22067e+13,4.84744e+11,8.42707e+10,5.49954e+19
3.27e-09,2.18994e+21,3.42077e+18,1.98289e+16,8.29158e+13,4.88935e+11,8.49996e+10,5.54592e+19
3.3e-09,2.18924e+21,3.44633e+18,1.99961e+16,8.36249e+13,4.93126e+11,8.57286e+10,5.59229e+19
3.33e-09,2.18854e+21,3.47189e+18,2.01634e+16,8.4334e+13,4.97318e+11,8.64576e+10,5.63866e+19
3.36e-09,2.18784e+21,3.49745e+18,2.03306e+16,8.50431e+13,5.01509e+11,8.71866e+10,5.68503e+19
3.39e-09,2.18714e+21,3.52301e+18,2.04978e+16,8.57522e+13,5.057e+11,8.79155e+10,5.73141e+19
3.42e-09,2.18643e+21,3.54858e+18,2.06651e+16,8.64613e+13,5.09891e+11,8.86445e+10,5.77778e+19
3.45e-09,2.18573e+21,3.57414e+18,2.08323e+16,8.71704e+13,5.14083e+11,8.93735e+10,5.82415e+19
3.48e-09,2.18503e+21,3.5997e+18,2.09995e+16,8.78795e+13,5.18274e+11,9.01025e+10,5.87052e+19
3.51e-09,2.18433e+21,3.62526e+18,2.11667e+16,8.85886e+13,5.22465e+11,9.08314e+10,5.91689e+19
3.54e-09,2.18363e+21,3.65082e+18,2.1334e+16,8.92977e+13,5.26656e+11,9.15604e+10,5.96327e+19
3.57e-09,2.18293e+21,3.67638e+18,2.15012e+16,9.00068e+13,5.30848e+11,9.22894e+10,6.00964e+19
3.6e-09,2.18223e+21,3.70194e+18,2.16684e+16,9.07159e+13,5.35039e+11,9.30183e+10,6.05601e+19
3.63e-09,2.17998e+21,3.72487e+18,2.18268e+16,9.1393e+13,5.39047e+11,9.37156e+10,6.0948e+19
3.66e-09,2.17773e+21,3.74779e+18,2.19852e+16,9.207e+13,5.43055e+11,9.44129e+10,6.13359e+19
3.69e-09,2.17548e+21,3.77071e+18,2.21436e+16,9.27471e+13,5.47062e+11,9.51102e+10,6.17238e+19
3.72e-09,2.17324e+21,3.79363e+18,2.23019e+16,9.34242e+13,5.5107e+11,9.58075e+10,6.21118e+19
3.75e-09,2.17099e+21,3.81655e+18,2.24603e+16,9.41013e+13,5.55078e+11,9.65048e+10,6.24997e+19
3.78e-09,2.16874e+21,3.83947e+18,2.26187e+16,9.47783e+13,5.59086e+11,9.72021e+10,6.28876e+19
3.81e-09,2.16649e+21,3.86239e+18,2.27771e+16,9.54554e+13,5.63094e+11,9.78993e+10,6.32755e+19
3.84e-09,2.16424e+21,3.88531e+18,2.29355e+16,9.61325e+13,5.67102e+11,9.85966e+10,6.36634e+19
3.87e-09,2.16199e+21,3.90823e+18,2.30939e+16,9.68095e+13,5.7111e+11,9.92939e+10,6.40513e+19
3.9e-09,2.15974e+21,3.93116e+18,2.32523e+16,9.74866e+13,5.75118e+11,9.99912e+10,6.44392e+19
3.93e-09,2.15749e+21,3.95408e+18,2.34106e+16,9.81637e+13,5.79125e+11,1.00688e+11,6.48271e+19
3.96e-09,2.15525e+21,3.977e+18,2.3569e+16,9.88408e+13,5.83133e+11,1.01386e+11,6.52151e+19
3.99e-09,2.153e+21,3.99992e+18,2.37274e+16,9.95178e+13,5.87141e+11,1.02083e+11,6.5603e+19
4.02e-09,2.15075e+21,4.02284e+18,2.38858e+16,1.00195e+14,5.91149e+11,1.0278e+11,6.59909e+19
4.05e-09,2.1485e+21,4.04576e+18,2.40442e+16,1.00872e+14,5.95157e+11,1.03478e+11,6.63788e+19
4.08e-09,2.14625e+21,4.06868e+18,2.42026e+16,1.01549e+14,5.99165e+11,1.04175e+11,6.67667e+19
4.11e-09,2.144e+21,4.0916e+18,2.4361e+16,1.02226e+14,6.03173e+11,1.04872e+11,6.71546e+19
4.14e-09,2.14175e+21,4.11453e+18,2.45193e+16,1.02903e+14,6.07181e+11,1.05569e+11,6.75425e+19
4.17e-09,2.13951e+21,4.13745e+18,2.46777e+16,1.0358e+14,6.11188e+11,1.06267e+11,6.79305e+19
4.2e-09,2.13726e+21,4.16037e+18,2.48361e+16,1.04257e+14,6.15196e+11,1.06964e+11,6.83184e+19
4.23e-09,2.1346e+21,4.18075e+18,2.49847e+16,1.04898e+14,6.18997e+11,1.07626e+11,6.86512e+19
4.26e-09,2.13193e+21,4.20113e+18,2.51334e+16,1.05539e+14,6.22799e+11,1.08287e+11,6.89839e+19
4.29e-09,2.12927e+21,4.22151e+18,2.5282e+16,1.06181e+14,6.266e+11,1.08949e+11,6.93167e+19
4.32e-09,2.12661e+21,4.24189e+18,2.54307e+16,1.06822e+14,6.30401e+11,1.0961e+11,6.96495e+19
4.35e-09,2.12395e+21,4.26227e+18,2.55793e+16,1.07463e+14,6.34202e+11,1.10272e+11,6.99823e+19
4.38e-09,2.12129e+21,4.28265e+18,2.57279e+16,1.08104e+14,6.38003e+11,1.10933e+11,7.03151e+19
4.41e-09,2.11862e+21,4.30303e+18,2.58766e+16,1.08745e+14,6.41804e+11,1.11595e+11,7.06479e+19
4.44e-09,2.11596e+21,4.32341e+18,2.60252e+16,1.09386e+14,6.45605e+11,1.12256e+11,7.09807e+19
4.47e-09,2.1133e+21,4.34379e+18,2.61738e+16,1.10027e+14,6.49407e+11,1.12918e+11,7.13135e+19
4.5e-09,2.11064e+21,4.36417e+18,2.63225e+16,1.10668e+14,6.53208e+11,1.13579e+11,7.16463e+19
