t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
0.01,17664240.595864408,-9.405889015125518e+21,492.290361285,3e-09,359.50873891309345,49134.384463834984
0.01909090909090909,98684636.18019296,-9.405891135149778e+21,1560.25048955,3e-09,1052.0090759570605,93805.87908941285
0.02909090909090909,290578918.17232186,-9.40589113513984e+21,3121.25726395,3e-09,2032.8090298243844,142944.52351848572
0.040090909090909094,651731591.1545162,-9.405891135124784e+21,5179.67192717,3e-09,3308.332025379661,196997.03238816367
0.05219090909090909,1258232525.7815633,-9.405891135105949e+21,7778.58626596,3e-09,4906.254686349587,256454.7921416059
0.0655009090909091,2209959543.6773734,-9.405891135082839e+21,10982.648124,3e-09,6866.249378505953,321858.32786607073
0.0801419090909091,3637893190.241747,-9.405891135054854e+21,14873.7446603,3e-09,9237.868736501568,393802.21715722675
0.09624700909090911,5713323820.320064,-9.405891135021276e+21,19550.4790041,3e-09,12080.42846035304,472940.49536990485
0.11396261909090911,8659558300.439335,-9.405891134981263e+21,25129.184459,3e-09,15463.701268346182,559992.6013939003
0.13344979009090913,12766843281.19186,-9.405891134933848e+21,31745.7911178,3e-09,19469.07339308156,655749.9180073268
0.15488567819090915,18411397969.80987,-9.405891134877894e+21,39558.3184879,3e-09,24191.052468506874,761082.9662652649
0.17846515510090916,26079683530.430435,-9.405891134812089e+21,48749.9319478,3e-09,29739.10003195867,876949.3193272258
0.20440257970190917,36399337435.06836,-9.405891134734919e+21,59532.5719201,3e-09,36239.79869142758,1004402.3076673027
0.23293374676300918,50178585020.418396,-9.405891134644626e+21,72151.2023485,3e-09,43839.3840158331,1144600.5948052513
0.2643180305302192,68456428529.386856,-9.405891134539192e+21,86888.7500378,3e-09,52706.684905397604,1298818.7106105841
0.29884074267415023,92566533617.74553,-9.405891134416278e+21,104071.826765,3e-09,63036.527707578956,1468458.6379369393
0.33681572603247434,124218519879.47124,-9.405891134273187e+21,124077.345367,3e-09,75053.67050028792,1655062.5579197318
0.3785882077266309,165601360122.49274,-9.405891134106805e+21,147340.161124,3e-09,89017.34572053884,1860326.869803351
0.4245379375902031,219514859697.5137,-9.405891133913546e+21,174361.891704,3e-09,105226.50226228323,2086117.6127508262
0.47508264044013254,289536794206.6051,-9.405891133689272e+21,205721.093656,3e-09,124025.85274454772,2334487.429834127
0.530681813575055,380235322809.7855,-9.405891133429208e+21,242085.00142,3e-09,145812.84824936072,2607694.228423061
0.5918409040234696,497438881088.1274,-9.405891133127848e+21,284223.066974,3e-09,171045.72184338002,2908221.706612534
0.6591159035167257,648579039150.7115,-9.405891132778847e+21,333022.575056,3e-09,200252.76404962552,3238801.9322918523
0.7331184029593074,843125973983.225,-9.405891132374877e+21,389506.651332,3e-09,234043.01857279282,3602440.1801201054
0.8145211523461473,1093141486747.4108,-9.405891131907504e+21,454855.029714,3e-09,273118.6155520679,4002442.2521979725
0.9040641766716712,1413981196165.672,-9.405891131366986e+21,530428.001354,3e-09,318288.9929993886,4442444.530805337
1.0025615034297475,1825186039300.1155,-9.4058911307421e+21,617794.032724,3e-09,370487.29557231365,4926447.0364109045
1.1109085628636315,2351613994318.6836,-9.405891130019907e+21,718761.615056,3e-09,430789.284216754,5458849.7914805515
1.230090328240904,3024876619427.1304,-9.40589112918548e+21,835415.993745,3e-09,500435.1414044726,6044492.820663645
1.3611902701559035,3885162355943.493,-9.405891128221603e+21,970161.52586,3e-09,580854.6157306591,6688700.150994468
1.505400206262403,4983550558378.9,-9.405891127108444e+21,1125770.52876,3e-09,673696.0177352953,7397328.212109171
1.6640311359795525,6384948142359.438,-9.405891125823116e+21,1305439.61532,3e-09,780859.6573606853,8176819.076478656
1.838525158668417,8171816170625.279,-9.405891124339232e+21,1512854.66392,3e-09,904536.4040621648,9034259.023657456
2.0304685836261678,10448898643259.1,-9.405891122626365e+21,1752265.74791,3e-09,1047252.1551018908,9977442.960948111
2.2416063510796937,13349222777219.215,-9.405891120649435e+21,2028573.55216,3e-09,1211919.1181131208,11014945.28612032
