"arc_length","cb","6","1","2","4","5","3"
0,0,0,0,0,0,0,0
3e-11,4.4066e+06,12099.9,2.46804e+19,6.17301e+14,2.38354e+08,387014,3.46699e+11
6e-11,8.8132e+06,24199.8,4.93608e+19,1.2346e+15,4.76708e+08,774027,6.93398e+11
9e-11,1.32198e+07,36299.7,7.40411e+19,1.8519e+15,7.15063e+08,1.16104e+06,1.0401e+12
1.2e-10,1.76264e+07,48399.5,9.87215e+19,2.4692e+15,9.53417e+08,1.54805e+06,1.3868e+12
1.5e-10,2.2033e+07,60499.4,1.23402e+20,3.0865e+15,1.19177e+09,1.93507e+06,1.7335e+12
1.8e-10,2.64396e+07,72599.3,1.48082e+20,3.7038e+15,1.43013e+09,2.32208e+06,2.08019e+12
2.1e-10,3.08462e+07,84699.2,1.72763e+20,4.3211e+15,1.66848e+09,2.7091e+06,2.42689e+12
2.4e-10,3.52528e+07,96799.1,1.97443e+20,4.9384e+15,1.90683e+09,3.09611e+06,2.77359e+12
2.7e-10,3.96594e+07,108899,2.22123e+20,5.55571e+15,2.14519e+09,3.48312e+06,3.12029e+12
3e-10,4.4066e+07,120999,2.46804e+20,6.17301e+15,2.38354e+09,3.87014e+06,3.46699e+12
3.3e-10,4.84726e+07,133099,2.71484e+20,6.79031e+15,2.6219e+09,4.25715e+06,3.81369e+12
3.6e-10,5.28792e+07,145199,2.96165e+20,7.40761e+15,2.86025e+09,4.64416e+06,4.16039e+12
3.9e-10,5.72858e+07,157298,3.20845e+20,8.02491e+15,3.0986e+09,5.03118e+06,4.50709e+12
4.2e-10,6.16924e+07,169398,3.45525e+20,8.64221e+15,3.33696e+09,5.41819e+06,4.85379e+12
4.5e-10,6.6099e+07,181498,3.70206e+20,9.25951e+15,3.57531e+09,5.8052e+06,5.20049e+12
4.8e-10,7.05056e+07,193598,3.94886e+20,9.87681e+15,3.81367e+09,6.19222e+06,5.54719e+12
5.1e-10,7.49122e+07,205698,4.19566e+20,1.04941e+16,4.05202e+09,6.57923e+06,5.89389e+12
5.4e-10,7.93188e+07,217798,4.44247e+20,1.11114e+16,4.29038e+09,6.96624e+06,6.24058e+12
5.7e-10,8.37254e+07,229898,4.68927e+20,1.17287e+16,4.52873e+09,7.35326e+06,6.58728e+12
6e-10,8.8132e+07,241998,4.93608e+20,1.2346e+16,4.76708e+09,7.74027e+06,6.93398e+12
6.3e-10,1.03098e+08,254076,5.13568e+20,1.29955e+16,5.00478e+09,8.12664e+06,7.27839e+12
6.6e-10,1.18063e+08,266153,5.33528e+20,1.36449e+16,5.24248e+09,8.513e+06,7.62279e+12
6.9e-10,1.33029e+08,278231,5.53489e+20,1.42943e+16,5.48018e+09,8.89936e+06,7.96719e+12
7.2e-10,1.47994e+08,290309,5.73449e+20,1.49438e+16,5.71788e+09,9.28573e+06,8.31159e+12
7.5e-10,1.6296e+08,302387,5.9341e+20,1.55932e+16,5.95558e+09,9.67209e+06,8.656e+12
7.8e-10,1.77926e+08,314465,6.1337e+20,1.62427e+16,6.19328e+09,1.00585e+07,9.0004e+12
8.1e-10,1.92891e+08,326542,6.3333e+20,1.68921e+16,6.43098e+09,1.04448e+07,9.3448e+12
8.4e-10,2.07857e+08,338620,6.53291e+20,1.75415e+16,6.66868e+09,1.08312e+07,9.68921e+12
8.7e-10,2.22822e+08,350698,6.73251e+20,1.8191e+16,6.90638e+09,1.12176e+07,1.00336e+13
9e-10,2.37788e+08,362776,6.93212e+20,1.88404e+16,7.14408e+09,1.16039e+07,1.0378e+13
