XHe1_500,YHe1_500,XHe1_1000,YHe1_1000,XHe1_1500,YHe1_1500,XHe2_500,YHe2_500,XHe2_1000,YHe2_1000,XHe2_1500,YHe2_1500,XHe3_500,YHe3_500,XHe3_1000,YHe3_1000,XHe3_1500,YHe3_1500,XHe4_500,YHe4_500,XHe4_1000,YHe4_1000,XHe4_1500,YHe4_1500,XHe5_500,YHe5_500,XHe5_1000,YHe5_1000,XHe5_1500,YHe5_1500,XHe6_500,YHe6_500,XHe6_1000,YHe6_1000,XHe6_1500,YHe6_1500,Xcb_500,Ycb_500,Xcb_1000,Ycb_1000,Xcb_1500,Ycb_1500
1.136116715815614e-9,3.929892406680443e+21,9.685764236086488e-10,1.2204578445868222e+21,1.1975924289243993e-9,838357716447324000000,1.035102695431735e-9,4764627493483074000,9.227732225454974e-10,350790305272456900,1.091590735035393e-9,8238196625755926,9.524548605721965e-10,34785341997149828,8.16280780073673e-10,1098722031762543.9,9.811723039010145e-10,1248903598001.9016,1.0534688809560773e-9,172854604481693.38,9.502551431833879e-10,4974934041671.41,1.0235402648844282e-9,934740387.2709298,1.4667080552537644e-9,1059501604573.363,8.678093812697163e-10,32035396645.492718,,,9.70821046096539e-10,470961374614.7759,8.678093812697163e-10,762911048.6666772,,,4.74934036939315e-10,1.4005395321460752e+21,9.831560340879142e-11,5556919799337865000,6.845965770171155e-10,706256436622474.6
2.0452428992705267e-9,4.893946261843947e+21,2.0220500480611053e-9,1.9341368866966114e+21,2.0632729290179402e-9,1.1998308301317265e+21,2.014249961198201e-9,8942046522989423000,2.0220500480611053e-9,656700814694521200,2.0907548496558308e-9,16831720203093914,1.8799472295514516e-9,65378829198567740,1.7747127623200938e-9,2066241780738079.2,1.9579255665726962e-9,2622221228559.507,1.9488204252677328e-9,322520533882628.06,1.6098212384927523e-9,8012500086160.1,1.9086871254298087e-9,1718852209.2755144,3.2849604221635897e-9,1218593749045.5662,1.7747127623200938e-9,58649296422.78425,,,1.8799472295514516e-9,900903663762.2488,1.7747127623200938e-9,1382933036.0757267,,,1.1479235493669763e-9,7.375451864588564e+21,9.973670071340557e-10,20143415935471116000,1.5273754765790824e-9,1924819150091600.5
2.9543690827254394e-9,4.5778481311524853e+21,2.9289534291114828e-9,2.1569853869323998e+21,3.3411822386798358e-9,1.4132978782479875e+21,2.9027141859382285e-9,10466197318521788000,2.9289534291114828e-9,947435735221780100,3.058511054975824e-9,21500760713316520,2.8363007472118145e-9,95278232949998140,2.669838177382804e-9,3078014387294551.5,2.9878432590498196e-9,3604291588397.8457,2.913045165295671e-9,465634717955665.8,2.7365799846462507e-9,13655443251954.752,3.0113991910251527e-9,2700437141.5068913,4.111438770758964e-9,1513675575483.7283,2.6816161433704713e-9,87192869632.87753,,,2.7890734130063642e-9,1357712416769.8557,2.6816161433704713e-9,2097153522.106642,,,2.210538568989602e-9,2.019488521986187e+22,2.51672461954313e-9,48196231582868865000,2.4342788576294582e-9,3086355228055328.5
3.863495266180352e-9,3.4386266901490874e+21,3.83585681016186e-9,2.1569853869323998e+21,4.165639857816542e-9,1.420807107177795e+21,3.721813263564001e-9,11537243448709958000,3.91830257207553e-9,1043872688247655300,4.106750027878205e-9,22829304478011230,3.842833307465467e-9,111936858834530770,3.7180771502851883e-9,4095516955896920,3.741633082260521e-9,4083828841065.9165,4.047157121423768e-9,561119192726732.56,3.7121881672913538e-9,17426413439382.357,4.055712175264981e-9,3409543884.6654215,5.37870557193854e-9,1897829307342.086,3.588519524420847e-9,116235594290.22253,,,3.698199596461277e-9,1756533778868.4956,3.588519524420847e-9,2768107419.2294965,,,3.078340835014746e-9,2.8851777453712764e+22,3.473095457741708e-9,63006210026829330000,3.3411822386798358e-9,4012045954847790.5
4.772621449635263e-9,2.5829064607324376e+21,4.742760191212236e-9,2.0937790042672435e+21,5.649663572262614e-9,1.201739790676127e+21,4.6734440478038206e-9,11995747406315518000,4.834366593338537e-9,1251932345868515000,5.01757939759114e-9,21500760713316520,4.710635573490611e-9,125961293120618770,4.62939726858094e-9,4660234496155424,4.707426293249236e-9,4513003006106.665,4.89659320192457e-9,594799612266440.9,4.605350588022787e-9,19171143114327.008,5.0084187573785085e-9,3921512574.417366,6.260282477106938e-9,1842337665427.6653,4.402671423318345e-9,134204854352.23547,,,4.6073257799161895e-9,2026724331911.2341,4.495422905471225e-9,3511671137.1184626,,,4.194086605618501e-9,3.732684554687527e+22,4.825205953125908e-9,81855401899114970000,4.429466295940288e-9,5160943301758042
5.681747633090176e-9,1.78053051899781e+21,5.608440691305779e-9,2.1335911602399528e+21,6.5565669533129896e-9,1.1790313452035507e+21,5.575486131127915e-9,12250136031903685000,5.85577797704679e-9,1251932345868515000,5.885222892015958e-9,20249531110181536,5.706541983548038e-9,133094560990251970,5.598134971066569e-9,5414118584035896,5.649663572262614e-9,4496123110975.392,5.960684075741115e-9,681128946924175.6,5.742415054415494e-9,23520578561606.418,5.9073065782428335e-9,4193401999.097191,7.136349526618036e-9,1886798810010.424,5.402326286521602e-9,161220077723.4474,,,5.5164519633711005e-9,2316276025318.4463,5.402326286521602e-9,3726889898.1848326,,,5.103212789073413e-9,4.2659613880226125e+22,5.979446619917297e-9,101804584486330530000,5.484772048435272e-9,6104328272398278
6.599138600031042e-9,1.265453844733817e+21,6.968795762881344e-9,1.8224452199558241e+21,7.463470334363367e-9,1.1678385475441159e+21,6.6499079843019024e-9,11365599365062812000,6.858868080329782e-9,1251932345868515000,7.0017740676468135e-9,18957114418210016,6.611535775259973e-9,134498396788361580,6.415231361460983e-9,5651106294009766,6.546261233073781e-9,4210737782838.5435,6.869810259196026e-9,708463264233681.8,6.606034410461192e-9,26016926855272.023,6.89812796695534e-9,4369866912.23849,8.078534844016762e-9,2046148862302.212,6.309229667571978e-9,183396072005.56,,,6.425578146826013e-9,2572517320207.461,6.309229667571978e-9,4034504420.9164658,,,5.723071550519946e-9,4.8754257954227945e+22,6.515344072356155e-9,101804584486330530000,6.268006786615143e-9,6104328272398278
7.417352165140464e-9,981455240912304600000,7.87569914393172e-9,1.7515908444429356e+21,8.164259310629566e-9,1.1790313452035507e+21,7.610197113146052e-9,11290135056370735000,7.803559102257258e-9,1196320456377777000,7.916922024888557e-9,17128651333978100,7.561985876144653e-9,134498396788361580,7.642102818509651e-9,6056243307276654,7.484081774841784e-9,4066013960477.999,7.851253298153036e-9,736894532283794,7.582558657127559e-9,30381725368083.22,7.87569914393172e-9,4657302996.428115,8.987661027471676e-9,2085558213086.1492,7.216133048622354e-9,204526706489.95435,,,7.3347043302809275e-9,2750148358370.445,7.216133048622354e-9,4499354280.086228,,,7.417352165140464e-9,4.8754257954227945e+22,1.3646902477888665e-8,101804584486330530000,9.029939810723109e-9,6104328272398278
8.409126183454912e-9,705866471034323900000,8.700156763068426e-9,1.755453920672179e+21,9.359722858377792e-9,1.0615913123468202e+21,8.574421853173989e-9,10650833218379246000,8.865048286895769e-9,1072722855244127400,9.380334298856209e-9,14506874133214828,8.455041647265767e-9,134498396788361580,8.686415802749482e-9,6204799577820332,8.382151681401412e-9,3428631989628.8613,8.739717522893062e-9,719162526444254.1,8.397855636051635e-9,30381725368083.22,8.841492354920434e-9,4639883378.921125,9.896787210926587e-9,2105546619133.4963,8.123036429672733e-9,204526706489.95435,,,8.243830513735838e-9,2968222706474.84,8.123036429672733e-9,4775104888.82729,,,8.326478348595375e-9,4.8754257954227945e+22,1.4430137216068534e-8,101804584486330530000,9.936843191773485e-9,6588373943813459
9.318252366909826e-9,530207909358696200000,1.0019288953687158e-8,1.5981120122932292e+21,1.0266626239428168e-8,974259053865143900000,9.493879015986344e-9,10604371104189030000,9.75546251556341e-9,1032551056467093400,1.0266626239428168e-8,13550478951620216,9.428449480055878e-9,129875662462819230,9.751340227467728e-9,6522805404139880,9.347944892390126e-9,3213010270359.3486,9.755105208310238e-9,741048234112008.4,9.350562218165162e-9,31126972146385.836,9.916231751295068e-9,4361686993.248873,1.0805913394381501e-8,2007484202757.044,9.029939810723109e-9,214920229424.75833,,,9.15295669719075e-9,3054387390671.7993,9.029939810723109e-9,4681359648.9416895,,,9.23560453205029e-9,4.8754257954227945e+22,1.5872938049557773e-8,81855401899114970000,1.0596409287082851e-8,6638841145819144
