t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1.0,469692088239.2222,-9.408102709551812e+21,42765.2092285,3e-09,29739.267767868725,15793666.875238027
1.9090909090909092,8595323946002.106,-9.408102732594782e+21,446977.533185,3e-09,285070.45964881714,30151577.110412713
2.909090909090909,39671811698152.984,-9.408102705366367e+21,1391863.72527,3e-09,863457.8807629026,45945277.21850337
4.00909090909091,111258038750742.75,-9.408102666402421e+21,2865935.08293,3e-09,1757121.6970932954,63318345.527683415
5.21909090909091,245143098710047.62,-9.408102615749762e+21,4880793.21061,3e-09,2974001.105673781,82428718.08028758
6.55009090909091,469794272164546.2,-9.408102552109284e+21,7480660.04574,3e-09,4541263.486027929,103450124.31231058
8.01419090909091,822736496370769.8,-9.408102473679847e+21,10733507.1821,3e-09,6500060.559905401,126573666.32023247
9.624700909090912,1353395032439143.0,-9.408102378269116e+21,14727227.7639,3e-09,8903354.94473518,152009556.0426293
11.396261909090914,2126673074317690.5,-9.408102263284411e+21,19568945.0411,3e-09,11815570.75973161,179989026.1387591
13.344979009090915,3227509761682802.5,-9.408102125691687e+21,25385977.4575,3e-09,15313205.865748119,210766431.9267038
15.488567819090918,4766704676517985.0,-9.408101961958183e+21,32327817.1099,3e-09,19486036.34417315,244621563.4788836
17.84651551009092,6888364336124705.0,-9.408101767981949e+21,40568864.6315,3e-09,24438766.914716933,281862188.8805919
20.440257970190924,9779419742278664.0,-9.40810153900829e+21,50311835.9614,3e-09,30293080.29710366,322826851.75510794
23.293374676300928,1.3681784813599794e+16,-9.408101269532077e+21,61791840.4366,3e-09,37190087.01060562,367887948.465894
26.43180305302193,1.8907879756615224e+16,-9.408100953184168e+21,75281176.6159,3e-09,45293204.3958296,417455112.94308376
29.884074267415034,2.5860439738361612e+16,-9.408100582599848e+21,91094923.5506,3e-09,54791511.98027771,471978939.8706522
33.681572603247446,3.5057778792623944e+16,-9.408100149266665e+21,109597430.21,3e-09,65903645.07876806,531955080.03727067
37.8588207726631,4.7165996014061464e+16,-9.408099643348573e+21,131209828.945,3e-09,78882302.29184231,597928745.025222
42.45379375902032,6.304001395135253e+16,-9.408099053482861e+21,156418722.543,3e-09,94019456.70223463,670499662.1178541
