"arc_length","6","cb","2","3","1","4","5"
0,0,0,0,0,0,0,0
3e-11,31.2404,2.38943e+06,2.13894e+14,4.02335e+10,2.46319e+19,2.1221e+07,1099.25
6e-11,62.4809,4.77886e+06,4.27788e+14,8.0467e+10,4.92638e+19,4.24419e+07,2198.51
9e-11,93.7213,7.1683e+06,6.41682e+14,1.20701e+11,7.38956e+19,6.36629e+07,3297.76
1.2e-10,124.962,9.55773e+06,8.55577e+14,1.60934e+11,9.85275e+19,8.48838e+07,4397.01
1.5e-10,156.202,1.19472e+07,1.06947e+15,2.01168e+11,1.23159e+20,1.06105e+08,5496.26
1.8e-10,187.443,1.43366e+07,1.28336e+15,2.41401e+11,1.47791e+20,1.27326e+08,6595.51
2.1e-10,218.683,1.6726e+07,1.49726e+15,2.81635e+11,1.72423e+20,1.48547e+08,7694.77
2.4e-10,249.924,1.91155e+07,1.71115e+15,3.21868e+11,1.97055e+20,1.69768e+08,8794.02
2.7e-10,281.164,2.15049e+07,1.92505e+15,3.62102e+11,2.21687e+20,1.90989e+08,9893.27
3e-10,312.404,2.38943e+07,2.13894e+15,4.02335e+11,2.46319e+20,2.1221e+08,10992.5
3.3e-10,343.645,2.62838e+07,2.35284e+15,4.42569e+11,2.70951e+20,2.33431e+08,12091.8
3.6e-10,374.885,2.86732e+07,2.56673e+15,4.82802e+11,2.95583e+20,2.54652e+08,13191
3.9e-10,406.126,3.10626e+07,2.78062e+15,5.23036e+11,3.20214e+20,2.75872e+08,14290.3
4.2e-10,437.366,3.34521e+07,2.99452e+15,5.63269e+11,3.44846e+20,2.97093e+08,15389.5
4.5e-10,468.607,3.58415e+07,3.20841e+15,6.03503e+11,3.69478e+20,3.18314e+08,16488.8
4.8e-10,499.847,3.82309e+07,3.42231e+15,6.43736e+11,3.9411e+20,3.39535e+08,17588
5.1e-10,531.088,4.06204e+07,3.6362e+15,6.8397e+11,4.18742e+20,3.60756e+08,18687.3
5.4e-10,562.328,4.30098e+07,3.85009e+15,7.24203e+11,4.43374e+20,3.81977e+08,19786.5
5.7e-10,593.568,4.53992e+07,4.06399e+15,7.64437e+11,4.68006e+20,4.03198e+08,20885.8
6e-10,624.809,4.77887e+07,4.27788e+15,8.0467e+11,4.92638e+20,4.24419e+08,21985.1
6.3e-10,655.962,5.58988e+07,4.53346e+15,8.45678e+11,5.12559e+20,4.45525e+08,23279.9
6.6e-10,687.115,6.4009e+07,4.78904e+15,8.86685e+11,5.3248e+20,4.66631e+08,24574.7
6.9e-10,718.268,7.21192e+07,5.04462e+15,9.27693e+11,5.52401e+20,4.87737e+08,25869.5
7.2e-10,749.421,8.02294e+07,5.3002e+15,9.687e+11,5.72323e+20,5.08843e+08,27164.3
7.5e-10,780.574,8.83396e+07,5.55577e+15,1.00971e+12,5.92244e+20,5.29949e+08,28459.1
7.8e-10,811.727,9.64497e+07,5.81135e+15,1.05072e+12,6.12165e+20,5.51055e+08,29754
8.1e-10,842.88,1.0456e+08,6.06693e+15,1.09172e+12,6.32086e+20,5.72161e+08,31048.8
8.4e-10,874.033,1.1267e+08,6.32251e+15,1.13273e+12,6.52008e+20,5.93267e+08,32343.6
8.7e-10,905.186,1.2078e+08,6.57809e+15,1.17374e+12,6.71929e+20,6.14373e+08,33638.4
9e-10,936.339,1.2889e+08,6.83367e+15,1.21475e+12,6.9185e+20,6.35479e+08,34933.2
9.3e-10,967.492,1.37001e+08,7.08925e+15,1.25575e+12,7.11772e+20,6.56585e+08,36228.1
9.6e-10,998.645,1.45111e+08,7.34482e+15,1.29676e+12,7.31693e+20,6.77691e+08,37522.9
9.9e-10,1029.8,1.53221e+08,7.6004e+15,1.33777e+12,7.51614e+20,6.98797e+08,38817.7
1.02e-09,1060.95,1.61331e+08,7.85598e+15,1.37878e+12,7.71535e+20,7.19903e+08,40112.5
1.05e-09,1092.1,1.69441e+08,8.11156e+15,1.41978e+12,7.91457e+20,7.41009e+08,41407.3
1.08e-09,1123.26,1.77552e+08,8.36714e+15,1.46079e+12,8.11378e+20,7.62115e+08,42702.1
1.11e-09,1154.41,1.85662e+08,8.62272e+15,1.5018e+12,8.31299e+20,7.83221e+08,43997
1.14e-09,1185.56,1.93772e+08,8.87829e+15,1.54281e+12,8.5122e+20,8.04327e+08,45291.8
1.17e-09,1216.72,2.01882e+08,9.13387e+15,1.58381e+12,8.71142e+20,8.25433e+08,46586.6
1.2e-09,1247.87,2.09992e+08,9.38945e+15,1.62482e+12,8.91063e+20,8.46539e+08,47881.4
1.23e-09,1278.55,2.20251e+08,9.63934e+15,1.66471e+12,9.04486e+20,8.67093e+08,49327.5
1.26e-09,1309.23,2.30509e+08,9.88923e+15,1.7046e+12,9.17909e+20,8.87647e+08,50773.5
1.29e-09,1339.91,2.40767e+08,1.01391e+16,1.74449e+12,9.31332e+20,9.08201e+08,52219.5
1.32e-09,1370.59,2.51026e+08,1.0389e+16,1.78438e+12,9.44755e+20,9.28755e+08,53665.6
1.35e-09,1401.27,2.61284e+08,1.06389e+16,1.82426e+12,9.58179e+20,9.49309e+08,55111.6
1.38e-09,1431.96,2.71542e+08,1.08888e+16,1.86415e+12,9.71602e+20,9.69863e+08,56557.6
1.41e-09,1462.64,2.81801e+08,1.11387e+16,1.90404e+12,9.85025e+20,9.90416e+08,58003.7
1.44e-09,1493.32,2.92059e+08,1.13886e+16,1.94393e+12,9.98448e+20,1.01097e+09,59449.7
1.47e-09,1524,3.02317e+08,1.16385e+16,1.98382e+12,1.01187e+21,1.03152e+09,60895.7
1.5e-09,1554.68,3.12576e+08,1.18884e+16,2.02371e+12,1.02529e+21,1.05208e+09,62341.8
1.53e-09,1585.36,3.22834e+08,1.21382e+16,2.0636e+12,1.03872e+21,1.07263e+09,63787.8
1.56e-09,1616.04,3.33092e+08,1.23881e+16,2.10349e+12,1.05214e+21,1.09319e+09,65233.9
1.59e-09,1646.72,3.43351e+08,1.2638e+16,2.14337e+12,1.06556e+21,1.11374e+09,66679.9
1.62e-09,1677.4,3.53609e+08,1.28879e+16,2.18326e+12,1.07899e+21,1.13429e+09,68125.9
1.65e-09,1708.08,3.63868e+08,1.31378e+16,2.22315e+12,1.09241e+21,1.15485e+09,69572
1.68e-09,1738.77,3.74126e+08,1.33877e+16,2.26304e+12,1.10583e+21,1.1754e+09,71018
1.71e-09,1769.45,3.84384e+08,1.36376e+16,2.30293e+12,1.11926e+21,1.19596e+09,72464
1.74e-09,1800.13,3.94643e+08,1.38875e+16,2.34282e+12,1.13268e+21,1.21651e+09,73910.1
1.77e-09,1830.81,4.04901e+08,1.41374e+16,2.38271e+12,1.1461e+21,1.23706e+09,75356.1
1.8e-09,1861.49,4.15159e+08,1.43873e+16,2.4226e+12,1.15953e+21,1.25762e+09,76802.1
1.83e-09,1891.09,4.25258e+08,1.45733e+16,2.45795e+12,1.16645e+21,1.27701e+09,78242.1
1.86e-09,1920.69,4.35356e+08,1.47593e+16,2.4933e+12,1.17338e+21,1.2964e+09,79682.1
1.89e-09,1950.29,4.45454e+08,1.49453e+16,2.52866e+12,1.1803e+21,1.31579e+09,81122
1.92e-09,1979.89,4.55552e+08,1.51313e+16,2.56401e+12,1.18723e+21,1.33517e+09,82562
1.95e-09,2009.5,4.6565e+08,1.53173e+16,2.59937e+12,1.19415e+21,1.35456e+09,84001.9
1.98e-09,2039.1,4.75749e+08,1.55034e+16,2.63472e+12,1.20108e+21,1.37395e+09,85441.9
2.01e-09,2068.7,4.85847e+08,1.56894e+16,2.67007e+12,1.208e+21,1.39334e+09,86881.8
2.04e-09,2098.3,4.95945e+08,1.58754e+16,2.70543e+12,1.21493e+21,1.41273e+09,88321.8
2.07e-09,2127.9,5.06043e+08,1.60614e+16,2.74078e+12,1.22185e+21,1.43212e+09,89761.8
2.1e-09,2157.5,5.16141e+08,1.62474e+16,2.77613e+12,1.22878e+21,1.45151e+09,91201.7
2.13e-09,2187.1,5.2624e+08,1.64334e+16,2.81149e+12,1.2357e+21,1.4709e+09,92641.7
2.16e-09,2216.7,5.36338e+08,1.66194e+16,2.84684e+12,1.24263e+21,1.49029e+09,94081.6
2.19e-09,2246.3,5.46436e+08,1.68055e+16,2.8822e+12,1.24955e+21,1.50968e+09,95521.6
2.22e-09,2275.9,5.56534e+08,1.69915e+16,2.91755e+12,1.25648e+21,1.52907e+09,96961.5
2.25e-09,2305.5,5.66632e+08,1.71775e+16,2.9529e+12,1.2634e+21,1.54846e+09,98401.5
2.28e-09,2335.11,5.76731e+08,1.73635e+16,2.98826e+12,1.27033e+21,1.56785e+09,99841.4
2.31e-09,2364.71,5.86829e+08,1.75495e+16,3.02361e+12,1.27725e+21,1.58724e+09,101281
2.34e-09,2394.31,5.96927e+08,1.77355e+16,3.05896e+12,1.28418e+21,1.60663e+09,102721
2.37e-09,2423.91,6.07025e+08,1.79216e+16,3.09432e+12,1.2911e+21,1.62601e+09,104161
2.4e-09,2453.51,6.17124e+08,1.81076e+16,3.12967e+12,1.29803e+21,1.6454e+09,105601
2.43e-09,2481.38,6.25511e+08,1.82097e+16,3.15772e+12,1.30024e+21,1.66306e+09,106891
2.46e-09,2509.26,6.33898e+08,1.83118e+16,3.18576e+12,1.30246e+21,1.68071e+09,108182
2.49e-09,2537.13,6.42285e+08,1.84138e+16,3.21381e+12,1.30467e+21,1.69836e+09,109472
2.52e-09,2565.01,6.50672e+08,1.85159e+16,3.24185e+12,1.30689e+21,1.71601e+09,110762
2.55e-09,2592.88,6.59059e+08,1.8618e+16,3.2699e+12,1.3091e+21,1.73367e+09,112052
2.58e-09,2620.75,6.67446e+08,1.87201e+16,3.29794e+12,1.31132e+21,1.75132e+09,113342
2.61e-09,2648.63,6.75833e+08,1.88222e+16,3.32599e+12,1.31353e+21,1.76897e+09,114633
2.64e-09,2676.5,6.8422e+08,1.89243e+16,3.35403e+12,1.31574e+21,1.78662e+09,115923
2.67e-09,2704.38,6.92607e+08,1.90264e+16,3.38208e+12,1.31796e+21,1.80427e+09,117213
2.7e-09,2732.25,7.00994e+08,1.91285e+16,3.41013e+12,1.32017e+21,1.82193e+09,118503
2.73e-09,2760.12,7.09381e+08,1.92306e+16,3.43817e+12,1.32239e+21,1.83958e+09,119793
2.76e-09,2788,7.17768e+08,1.93327e+16,3.46622e+12,1.3246e+21,1.85723e+09,121083
2.79e-09,2815.87,7.26155e+08,1.94348e+16,3.49426e+12,1.32682e+21,1.87488e+09,122374
2.82e-09,2843.75,7.34542e+08,1.95369e+16,3.52231e+12,1.32903e+21,1.89254e+09,123664
2.85e-09,2871.62,7.42929e+08,1.96389e+16,3.55035e+12,1.33125e+21,1.91019e+09,124954
2.88e-09,2899.5,7.51316e+08,1.9741e+16,3.5784e+12,1.33346e+21,1.92784e+09,126244
2.91e-09,2927.37,7.59703e+08,1.98431e+16,3.60644e+12,1.33568e+21,1.94549e+09,127534
2.94e-09,2955.24,7.6809e+08,1.99452e+16,3.63449e+12,1.33789e+21,1.96314e+09,128824
2.97e-09,2983.12,7.76478e+08,2.00473e+16,3.66253e+12,1.34011e+21,1.9808e+09,130115
