"arc_length","cb","6","5","4","2","3","1"
0,0,0,0,0,0,0,0
3e-11,5.91499e+19,6.92231e+09,1.45761e+10,5.93984e+12,1.5456e+17,1.39258e+15,1.22627e+20
6e-11,1.183e+20,1.38446e+10,2.91522e+10,1.18797e+13,3.09119e+17,2.78515e+15,2.45254e+20
9e-11,1.7745e+20,2.07669e+10,4.37283e+10,1.78195e+13,4.63679e+17,4.17773e+15,3.67882e+20
1.2e-10,2.36599e+20,2.76892e+10,5.83044e+10,2.37593e+13,6.18239e+17,5.5703e+15,4.90509e+20
1.5e-10,2.95749e+20,3.46115e+10,7.28805e+10,2.96992e+13,7.72799e+17,6.96288e+15,6.13136e+20
1.8e-10,3.54899e+20,4.15338e+10,8.74566e+10,3.5639e+13,9.27358e+17,8.35545e+15,7.35763e+20
2.1e-10,4.14049e+20,4.84561e+10,1.02033e+11,4.15789e+13,1.08192e+18,9.74803e+15,8.5839e+20
2.4e-10,4.73199e+20,5.53785e+10,1.16609e+11,4.75187e+13,1.23648e+18,1.11406e+16,9.81018e+20
2.7e-10,5.32349e+20,6.23008e+10,1.31185e+11,5.34585e+13,1.39104e+18,1.25332e+16,1.10364e+21
3e-10,5.91499e+20,6.92231e+10,1.45761e+11,5.93984e+13,1.5456e+18,1.39258e+16,1.22627e+21
3.3e-10,6.50648e+20,7.61454e+10,1.60337e+11,6.53382e+13,1.70016e+18,1.53183e+16,1.3489e+21
3.6e-10,7.09798e+20,8.30677e+10,1.74913e+11,7.1278e+13,1.85472e+18,1.67109e+16,1.47153e+21
3.9e-10,7.68948e+20,8.999e+10,1.89489e+11,7.72179e+13,2.00928e+18,1.81035e+16,1.59415e+21
4.2e-10,8.28098e+20,9.69123e+10,2.04065e+11,8.31577e+13,2.16384e+18,1.94961e+16,1.71678e+21
4.5e-10,8.87248e+20,1.03835e+11,2.18641e+11,8.90976e+13,2.3184e+18,2.08886e+16,1.83941e+21
4.8e-10,9.46398e+20,1.10757e+11,2.33218e+11,9.50374e+13,2.47296e+18,2.22812e+16,1.96204e+21
5.1e-10,1.00555e+21,1.17679e+11,2.47794e+11,1.00977e+14,2.62752e+18,2.36738e+16,2.08466e+21
5.4e-10,1.0647e+21,1.24602e+11,2.6237e+11,1.06917e+14,2.78208e+18,2.50664e+16,2.20729e+21
5.7e-10,1.12385e+21,1.31524e+11,2.76946e+11,1.12857e+14,2.93664e+18,2.64589e+16,2.32992e+21
6e-10,1.183e+21,1.38446e+11,2.91522e+11,1.18797e+14,3.09119e+18,2.78515e+16,2.45254e+21
6.3e-10,1.38085e+21,1.45258e+11,3.05863e+11,1.24636e+14,3.23798e+18,2.92145e+16,2.54041e+21
6.6e-10,1.5787e+21,1.5207e+11,3.20205e+11,1.30476e+14,3.38476e+18,3.05775e+16,2.62828e+21
6.9e-10,1.77655e+21,1.58882e+11,3.34546e+11,1.36315e+14,3.53154e+18,3.19404e+16,2.71616e+21
7.2e-10,1.9744e+21,1.65693e+11,3.48887e+11,1.42155e+14,3.67832e+18,3.33034e+16,2.80403e+21
7.5e-10,2.17225e+21,1.72505e+11,3.63229e+11,1.47994e+14,3.8251e+18,3.46664e+16,2.8919e+21
7.8e-10,2.37011e+21,1.79317e+11,3.7757e+11,1.53834e+14,3.97188e+18,3.60293e+16,2.97977e+21
8.1e-10,2.56796e+21,1.86129e+11,3.91912e+11,1.59673e+14,4.11866e+18,3.73923e+16,3.06764e+21
8.4e-10,2.76581e+21,1.92941e+11,4.06253e+11,1.65513e+14,4.26544e+18,3.87553e+16,3.15551e+21
8.7e-10,2.96366e+21,1.99752e+11,4.20594e+11,1.71352e+14,4.41222e+18,4.01183e+16,3.24338e+21
9e-10,3.16151e+21,2.06564e+11,4.34936e+11,1.77192e+14,4.55901e+18,4.14812e+16,3.33125e+21
9.3e-10,3.35936e+21,2.13376e+11,4.49277e+11,1.83031e+14,4.70579e+18,4.28442e+16,3.41912e+21
9.6e-10,3.55721e+21,2.20188e+11,4.63618e+11,1.88871e+14,4.85257e+18,4.42072e+16,3.50699e+21
9.9e-10,3.75507e+21,2.27e+11,4.7796e+11,1.9471e+14,4.99935e+18,4.55701e+16,3.59486e+21
1.02e-09,3.95292e+21,2.33811e+11,4.92301e+11,2.0055e+14,5.14613e+18,4.69331e+16,3.68273e+21
1.05e-09,4.15077e+21,2.40623e+11,5.06642e+11,2.06389e+14,5.29291e+18,4.82961e+16,3.7706e+21
1.08e-09,4.34862e+21,2.47435e+11,5.20984e+11,2.12229e+14,5.43969e+18,4.96591e+16,3.85847e+21
1.11e-09,4.54647e+21,2.54247e+11,5.35325e+11,2.18068e+14,5.58647e+18,5.1022e+16,3.94634e+21
1.14e-09,4.74432e+21,2.61059e+11,5.49667e+11,2.23908e+14,5.73325e+18,5.2385e+16,4.03421e+21
1.17e-09,4.94217e+21,2.67871e+11,5.64008e+11,2.29747e+14,5.88003e+18,5.3748e+16,4.12208e+21
