"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-111.61,1,0,0,0,0
6388.5,1,5e-10,5e-10,0,0
15132,1,1e-09,1e-09,0,0
23240,1,1.5e-09,1.5e-09,0,0
29227,1,2e-09,2e-09,0,0
32775,1,2.5e-09,2.5e-09,0,0
34436,1,3e-09,3e-09,0,0
35013,1,3.5e-09,3.5e-09,0,0
35113,1,4e-09,4e-09,0,0
35050,1,4.5e-09,4.5e-09,0,0
34943,1,5e-09,5e-09,0,0
34828,1,5.5e-09,5.5e-09,0,0
34712,1,6e-09,6e-09,0,0
34597,1,6.5e-09,6.5e-09,0,0
34482,1,7e-09,7e-09,0,0
34368,1,7.5e-09,7.5e-09,0,0
34254,1,8e-09,8e-09,0,0
34141,1,8.5e-09,8.5e-09,0,0
34029,1,9e-09,9e-09,0,0
33917,1,9.5e-09,9.5e-09,0,0
33805,1,1e-08,1e-08,0,0
33694,1,1.05e-08,1.05e-08,0,0
33584,1,1.1e-08,1.1e-08,0,0
33473,1,1.15e-08,1.15e-08,0,0
33364,1,1.2e-08,1.2e-08,0,0
33255,1,1.25e-08,1.25e-08,0,0
33146,1,1.3e-08,1.3e-08,0,0
33037,1,1.35e-08,1.35e-08,0,0
32930,1,1.4e-08,1.4e-08,0,0
32822,1,1.45e-08,1.45e-08,0,0
32715,1,1.5e-08,1.5e-08,0,0
32608,1,1.55e-08,1.55e-08,0,0
32502,1,1.6e-08,1.6e-08,0,0
32395,1,1.65e-08,1.65e-08,0,0
32290,1,1.7e-08,1.7e-08,0,0
32184,1,1.75e-08,1.75e-08,0,0
32080,1,1.8e-08,1.8e-08,0,0
31975,1,1.85e-08,1.85e-08,0,0
31871,1,1.9e-08,1.9e-08,0,0
31767,1,1.95e-08,1.95e-08,0,0
31663,1,2e-08,2e-08,0,0
31560,1,2.05e-08,2.05e-08,0,0
31457,1,2.1e-08,2.1e-08,0,0
31354,1,2.15e-08,2.15e-08,0,0
31252,1,2.2e-08,2.2e-08,0,0
31150,1,2.25e-08,2.25e-08,0,0
31049,1,2.3e-08,2.3e-08,0,0
30947,1,2.35e-08,2.35e-08,0,0
30847,1,2.4e-08,2.4e-08,0,0
30746,1,2.45e-08,2.45e-08,0,0
30646,1,2.5e-08,2.5e-08,0,0
30545,1,2.55e-08,2.55e-08,0,0
30446,1,2.6e-08,2.6e-08,0,0
30346,1,2.65e-08,2.65e-08,0,0
30247,1,2.7e-08,2.7e-08,0,0
30148,1,2.75e-08,2.75e-08,0,0
30050,1,2.8e-08,2.8e-08,0,0
29952,1,2.85e-08,2.85e-08,0,0
29854,1,2.9e-08,2.9e-08,0,0
29756,1,2.95e-08,2.95e-08,0,0
29659,1,3e-08,3e-08,0,0
29562,1,3.05e-08,3.05e-08,0,0
29466,1,3.1e-08,3.1e-08,0,0
29369,1,3.15e-08,3.15e-08,0,0
29273,1,3.2e-08,3.2e-08,0,0
29177,1,3.25e-08,3.25e-08,0,0
29082,1,3.3e-08,3.3e-08,0,0
28987,1,3.35e-08,3.35e-08,0,0
28892,1,3.4e-08,3.4e-08,0,0
28798,1,3.45e-08,3.45e-08,0,0
28703,1,3.5e-08,3.5e-08,0,0
28609,1,3.55e-08,3.55e-08,0,0
28516,1,3.6e-08,3.6e-08,0,0
28422,1,3.65e-08,3.65e-08,0,0
28329,1,3.7e-08,3.7e-08,0,0
28237,1,3.75e-08,3.75e-08,0,0
28144,1,3.8e-08,3.8e-08,0,0
28052,1,3.85e-08,3.85e-08,0,0
27960,1,3.9e-08,3.9e-08,0,0
27869,1,3.95e-08,3.95e-08,0,0
27777,1,4e-08,4e-08,0,0
27686,1,4.05e-08,4.05e-08,0,0
27596,1,4.1e-08,4.1e-08,0,0
27505,1,4.15e-08,4.15e-08,0,0
27415,1,4.2e-08,4.2e-08,0,0
27326,1,4.25e-08,4.25e-08,0,0
27236,1,4.3e-08,4.3e-08,0,0
27147,1,4.35e-08,4.35e-08,0,0
27058,1,4.4e-08,4.4e-08,0,0
26969,1,4.45e-08,4.45e-08,0,0
26881,1,4.5e-08,4.5e-08,0,0
26793,1,4.55e-08,4.55e-08,0,0
26705,1,4.6e-08,4.6e-08,0,0
26618,1,4.65e-08,4.65e-08,0,0
26531,1,4.7e-08,4.7e-08,0,0
26444,1,4.75e-08,4.75e-08,0,0
26358,1,4.8e-08,4.8e-08,0,0
26272,1,4.85e-08,4.85e-08,0,0
26186,1,4.9e-08,4.9e-08,0,0
26100,1,4.95e-08,4.95e-08,0,0
26015,1,5e-08,5e-08,0,0
25930,1,5.05e-08,5.05e-08,0,0
25845,1,5.1e-08,5.1e-08,0,0
25760,1,5.15e-08,5.15e-08,0,0
25676,1,5.2e-08,5.2e-08,0,0
25592,1,5.25e-08,5.25e-08,0,0
25509,1,5.3e-08,5.3e-08,0,0
25425,1,5.35e-08,5.35e-08,0,0
25343,1,5.4e-08,5.4e-08,0,0
25260,1,5.45e-08,5.45e-08,0,0
25177,1,5.5e-08,5.5e-08,0,0
25095,1,5.55e-08,5.55e-08,0,0
25013,1,5.6e-08,5.6e-08,0,0
24932,1,5.65e-08,5.65e-08,0,0
24851,1,5.7e-08,5.7e-08,0,0
24770,1,5.75e-08,5.75e-08,0,0
24689,1,5.8e-08,5.8e-08,0,0
24609,1,5.85e-08,5.85e-08,0,0
24529,1,5.9e-08,5.9e-08,0,0
24449,1,5.95e-08,5.95e-08,0,0
24369,1,6e-08,6e-08,0,0
24290,1,6.05e-08,6.05e-08,0,0
24211,1,6.1e-08,6.1e-08,0,0
24132,1,6.15e-08,6.15e-08,0,0
24054,1,6.2e-08,6.2e-08,0,0
23976,1,6.25e-08,6.25e-08,0,0
23898,1,6.3e-08,6.3e-08,0,0
23821,1,6.35e-08,6.35e-08,0,0
23743,1,6.4e-08,6.4e-08,0,0
23666,1,6.45e-08,6.45e-08,0,0
23590,1,6.5e-08,6.5e-08,0,0
23513,1,6.55e-08,6.55e-08,0,0
23437,1,6.6e-08,6.6e-08,0,0
23361,1,6.65e-08,6.65e-08,0,0
23286,1,6.7e-08,6.7e-08,0,0
23210,1,6.75e-08,6.75e-08,0,0
23136,1,6.8e-08,6.8e-08,0,0
23061,1,6.85e-08,6.85e-08,0,0
22986,1,6.9e-08,6.9e-08,0,0
22912,1,6.95e-08,6.95e-08,0,0
22838,1,7e-08,7e-08,0,0
22765,1,7.05e-08,7.05e-08,0,0
22691,1,7.1e-08,7.1e-08,0,0
22618,1,7.15e-08,7.15e-08,0,0
22545,1,7.2e-08,7.2e-08,0,0
22473,1,7.25e-08,7.25e-08,0,0
22401,1,7.3e-08,7.3e-08,0,0
22329,1,7.35e-08,7.35e-08,0,0
22257,1,7.4e-08,7.4e-08,0,0
22186,1,7.45e-08,7.45e-08,0,0
22114,1,7.5e-08,7.5e-08,0,0
22044,1,7.55e-08,7.55e-08,0,0
21973,1,7.6e-08,7.6e-08,0,0
21903,1,7.65e-08,7.65e-08,0,0
21832,1,7.7e-08,7.7e-08,0,0
21763,1,7.75e-08,7.75e-08,0,0
21693,1,7.8e-08,7.8e-08,0,0
21624,1,7.85e-08,7.85e-08,0,0
21555,1,7.9e-08,7.9e-08,0,0
21486,1,7.95e-08,7.95e-08,0,0
21417,1,8e-08,8e-08,0,0
21349,1,8.05e-08,8.05e-08,0,0
21281,1,8.1e-08,8.1e-08,0,0
21214,1,8.15e-08,8.15e-08,0,0
21146,1,8.2e-08,8.2e-08,0,0
21079,1,8.25e-08,8.25e-08,0,0
21012,1,8.3e-08,8.3e-08,0,0
20945,1,8.35e-08,8.35e-08,0,0
20879,1,8.4e-08,8.4e-08,0,0
20813,1,8.45e-08,8.45e-08,0,0
20747,1,8.5e-08,8.5e-08,0,0
20681,1,8.55e-08,8.55e-08,0,0
20616,1,8.6e-08,8.6e-08,0,0
20551,1,8.65e-08,8.65e-08,0,0
20486,1,8.7e-08,8.7e-08,0,0
20421,1,8.75e-08,8.75e-08,0,0
20357,1,8.8e-08,8.8e-08,0,0
20293,1,8.85e-08,8.85e-08,0,0
20229,1,8.9e-08,8.9e-08,0,0
20165,1,8.95e-08,8.95e-08,0,0
20102,1,9e-08,9e-08,0,0
20038,1,9.05e-08,9.05e-08,0,0
19976,1,9.1e-08,9.1e-08,0,0
19913,1,9.15e-08,9.15e-08,0,0
19850,1,9.2e-08,9.2e-08,0,0
19788,1,9.25e-08,9.25e-08,0,0
19726,1,9.3e-08,9.3e-08,0,0
19665,1,9.35e-08,9.35e-08,0,0
19603,1,9.4e-08,9.4e-08,0,0
19542,1,9.45e-08,9.45e-08,0,0
19481,1,9.5e-08,9.5e-08,0,0
19420,1,9.55e-08,9.55e-08,0,0
19360,1,9.6e-08,9.6e-08,0,0
19300,1,9.65e-08,9.65e-08,0,0
19240,1,9.7e-08,9.7e-08,0,0
19180,1,9.75e-08,9.75e-08,0,0
19120,1,9.8e-08,9.8e-08,0,0
19061,1,9.85e-08,9.85e-08,0,0
19002,1,9.9e-08,9.9e-08,0,0
18943,1,9.95e-08,9.95e-08,0,0
18885,1,1e-07,1e-07,0,0
18826,1,1.005e-07,1.005e-07,0,0
18768,1,1.01e-07,1.01e-07,0,0
18710,1,1.015e-07,1.015e-07,0,0
