"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3520.5,1,0,0,0,0
1.7939e+05,1,5e-10,5e-10,0,0
4.4281e+05,1,1e-09,1e-09,0,0
6.9156e+05,1,1.5e-09,1.5e-09,0,0
8.7593e+05,1,2e-09,2e-09,0,0
9.8421e+05,1,2.5e-09,2.5e-09,0,0
1.0331e+06,1,3e-09,3e-09,0,0
1.0479e+06,1,3.5e-09,3.5e-09,0,0
1.0476e+06,1,4e-09,4e-09,0,0
1.0422e+06,1,4.5e-09,4.5e-09,0,0
1.0354e+06,1,5e-09,5e-09,0,0
1.0284e+06,1,5.5e-09,5.5e-09,0,0
1.0214e+06,1,6e-09,6e-09,0,0
1.0144e+06,1,6.5e-09,6.5e-09,0,0
1.0075e+06,1,7e-09,7e-09,0,0
1.0006e+06,1,7.5e-09,7.5e-09,0,0
9.9371e+05,1,8e-09,8e-09,0,0
9.8689e+05,1,8.5e-09,8.5e-09,0,0
9.801e+05,1,9e-09,9e-09,0,0
9.7335e+05,1,9.5e-09,9.5e-09,0,0
9.6664e+05,1,1e-08,1e-08,0,0
9.5997e+05,1,1.05e-08,1.05e-08,0,0
9.5334e+05,1,1.1e-08,1.1e-08,0,0
9.4674e+05,1,1.15e-08,1.15e-08,0,0
9.4018e+05,1,1.2e-08,1.2e-08,0,0
9.3366e+05,1,1.25e-08,1.25e-08,0,0
9.2718e+05,1,1.3e-08,1.3e-08,0,0
9.2073e+05,1,1.35e-08,1.35e-08,0,0
9.1432e+05,1,1.4e-08,1.4e-08,0,0
9.0794e+05,1,1.45e-08,1.45e-08,0,0
9.0162e+05,1,1.5e-08,1.5e-08,0,0
8.9531e+05,1,1.55e-08,1.55e-08,0,0
8.8906e+05,1,1.6e-08,1.6e-08,0,0
8.8282e+05,1,1.65e-08,1.65e-08,0,0
8.7664e+05,1,1.7e-08,1.7e-08,0,0
8.7048e+05,1,1.75e-08,1.75e-08,0,0
8.6438e+05,1,1.8e-08,1.8e-08,0,0
8.5829e+05,1,1.85e-08,1.85e-08,0,0
8.5226e+05,1,1.9e-08,1.9e-08,0,0
8.4624e+05,1,1.95e-08,1.95e-08,0,0
8.4029e+05,1,2e-08,2e-08,0,0
8.3434e+05,1,2.05e-08,2.05e-08,0,0
8.2846e+05,1,2.1e-08,2.1e-08,0,0
8.2258e+05,1,2.15e-08,2.15e-08,0,0
8.1678e+05,1,2.2e-08,2.2e-08,0,0
8.1098e+05,1,2.25e-08,2.25e-08,0,0
8.0524e+05,1,2.3e-08,2.3e-08,0,0
7.9952e+05,1,2.35e-08,2.35e-08,0,0
7.9385e+05,1,2.4e-08,2.4e-08,0,0
7.882e+05,1,2.45e-08,2.45e-08,0,0
7.8261e+05,1,2.5e-08,2.5e-08,0,0
7.7703e+05,1,2.55e-08,2.55e-08,0,0
7.7151e+05,1,2.6e-08,2.6e-08,0,0
7.66e+05,1,2.65e-08,2.65e-08,0,0
7.6055e+05,1,2.7e-08,2.7e-08,0,0
7.5512e+05,1,2.75e-08,2.75e-08,0,0
