"arc_length","2","3","4","1","6","cb","5"
0,0,0,0,0,0,0,0
5e-10,5.2554e+17,3.91653e+16,1.01846e+16,6.83759e+20,5.88164e+15,1.32898e+16,5.312e+15
1e-09,1.04927e+18,7.83254e+16,2.03691e+16,1.27442e+21,1.17634e+16,4.97563e+16,1.0624e+16
1.5e-09,1.56481e+18,1.17467e+17,3.05532e+16,1.73206e+21,1.76451e+16,1.01468e+17,1.59359e+16
2e-09,2.06408e+18,1.56572e+17,4.07363e+16,2.03996e+21,2.35267e+16,1.59331e+17,2.12476e+16
2.5e-09,2.5404e+18,1.9562e+17,5.09178e+16,2.21504e+21,2.9408e+16,2.16231e+17,2.65589e+16
3e-09,2.99005e+18,2.34591e+17,6.1097e+16,2.29725e+21,3.52887e+16,2.69073e+17,3.18697e+16
3.5e-09,3.41203e+18,2.73469e+17,7.12734e+16,2.32829e+21,4.11687e+16,3.18117e+17,3.71798e+16
4e-09,3.80698e+18,3.12238e+17,8.14463e+16,2.33713e+21,4.70478e+16,3.64888e+17,4.24891e+16
4.5e-09,4.17624e+18,3.50887e+17,9.16154e+16,2.3384e+21,5.29259e+16,4.10655e+17,4.77976e+16
5e-09,4.52138e+18,3.89403e+17,1.0178e+17,2.33765e+21,5.88029e+16,4.56058e+17,5.3105e+16
5.5e-09,4.84383e+18,4.27777e+17,1.1194e+17,2.3365e+21,6.46787e+16,5.0132e+17,5.84113e+16
6e-09,5.14509e+18,4.65997e+17,1.22095e+17,2.33529e+21,7.0553e+16,5.46503e+17,6.37163e+16
6.5e-09,5.42656e+18,5.04057e+17,1.32243e+17,2.3341e+21,7.64259e+16,5.91615e+17,6.902e+16
7e-09,5.68951e+18,5.41947e+17,1.42386e+17,2.33292e+21,8.22971e+16,6.36659e+17,7.43223e+16
7.5e-09,5.93513e+18,5.79661e+17,1.52522e+17,2.33176e+21,8.81666e+16,6.81635e+17,7.96229e+16
8e-09,6.16026e+18,6.17136e+17,1.62648e+17,2.33062e+21,9.40336e+16,7.26536e+17,8.49214e+16
8.5e-09,6.37307e+18,6.54457e+17,1.72768e+17,2.32949e+21,9.9899e+16,7.71366e+17,9.02184e+16
9e-09,6.5746e+18,6.91614e+17,1.82882e+17,2.32838e+21,1.05763e+17,8.16137e+17,9.55137e+16
9.5e-09,6.76064e+18,7.28547e+17,1.92986e+17,2.32727e+21,1.11624e+17,8.60827e+17,1.00807e+17
1e-08,6.93566e+18,7.6529e+17,2.03082e+17,2.32618e+21,1.17483e+17,9.05451e+17,1.06098e+17
1.05e-08,7.09818e+18,8.01818e+17,2.13168e+17,2.32511e+21,1.23339e+17,9.49999e+17,1.11387e+17
1.1e-08,7.25005e+18,8.38129e+17,2.23244e+17,2.32404e+21,1.29193e+17,9.94473e+17,1.16673e+17
1.15e-08,7.39192e+18,8.74236e+17,2.33311e+17,2.32298e+21,1.35044e+17,1.03888e+18,1.21958e+17
1.2e-08,7.52358e+18,9.101e+17,2.43366e+17,2.32193e+21,1.40892e+17,1.0832e+18,1.27239e+17
1.25e-08,7.6473e+18,9.45775e+17,2.53411e+17,2.32089e+21,1.46738e+17,1.12745e+18,1.32518e+17
1.3e-08,7.76131e+18,9.81181e+17,2.63443e+17,2.31986e+21,1.5258e+17,1.17161e+18,1.37794e+17
1.35e-08,7.8691e+18,1.01641e+18,2.73466e+17,2.31884e+21,1.58419e+17,1.21572e+18,1.43068e+17
1.4e-08,7.9677e+18,1.05135e+18,2.83473e+17,2.31782e+21,1.64255e+17,1.25972e+18,1.48337e+17
1.45e-08,8.06148e+18,1.08613e+18,2.93472e+17,2.31681e+21,1.70088e+17,1.30366e+18,1.53605e+17
1.5e-08,8.14662e+18,1.1206e+18,3.03453e+17,2.31581e+21,1.75916e+17,1.3475e+18,1.58868e+17
1.55e-08,8.22811e+18,1.15492e+18,3.13426e+17,2.31481e+21,1.81742e+17,1.39129e+18,1.6413e+17
1.6e-08,8.3015e+18,1.18891e+18,3.23379e+17,2.31382e+21,1.87562e+17,1.43495e+18,1.69386e+17
1.65e-08,8.37219e+18,1.22277e+18,3.33326e+17,2.31283e+21,1.93381e+17,1.47858e+18,1.74641e+17
1.7e-08,8.43532e+18,1.25627e+18,3.43249e+17,2.31185e+21,1.99193e+17,1.52207e+18,1.7989e+17
1.75e-08,8.49653e+18,1.28968e+18,3.53167e+17,2.31088e+21,2.05004e+17,1.56553e+18,1.85138e+17
1.8e-08,8.5507e+18,1.32269e+18,3.6306e+17,2.3099e+21,2.10808e+17,1.60884e+18,1.90379e+17
1.85e-08,8.60358e+18,1.35563e+18,3.72948e+17,2.30894e+21,2.1661e+17,1.65213e+18,1.95619e+17
1.9e-08,8.64993e+18,1.38815e+18,3.82808e+17,2.30797e+21,2.22405e+17,1.69526e+18,2.00852e+17
1.95e-08,8.69549e+18,1.42063e+18,3.92665e+17,2.30701e+21,2.28199e+17,1.73837e+18,2.06085e+17
2e-08,8.73502e+18,1.45267e+18,4.02491e+17,2.30605e+21,2.33984e+17,1.78132e+18,2.11309e+17
2.05e-08,8.77414e+18,1.48468e+18,4.12316e+17,2.3051e+21,2.39768e+17,1.82425e+18,2.16533e+17
2.1e-08,8.80771e+18,1.51623e+18,4.22107e+17,2.30415e+21,2.45543e+17,1.86701e+18,2.21749e+17
2.15e-08,8.84104e+18,1.54776e+18,4.31897e+17,2.3032e+21,2.51318e+17,1.90975e+18,2.26964e+17
2.2e-08,8.86957e+18,1.57885e+18,4.41653e+17,2.30226e+21,2.57083e+17,1.95232e+18,2.3217e+17
2.25e-08,8.89775e+18,1.60989e+18,4.51406e+17,2.30131e+21,2.62847e+17,1.99487e+18,2.37376e+17
2.3e-08,8.92192e+18,1.64052e+18,4.61125e+17,2.30037e+21,2.68602e+17,2.03725e+18,2.42573e+17
2.35e-08,8.94562e+18,1.67109e+18,4.7084e+17,2.29943e+21,2.74355e+17,2.0796e+18,2.47768e+17
2.4e-08,8.96597e+18,1.70125e+18,4.80523e+17,2.2985e+21,2.80099e+17,2.12178e+18,2.52955e+17
2.45e-08,8.98574e+18,1.73134e+18,4.90199e+17,2.29756e+21,2.85841e+17,2.16393e+18,2.58141e+17
2.5e-08,9.00273e+18,1.76106e+18,4.99843e+17,2.29663e+21,2.91574e+17,2.20592e+18,2.63318e+17
2.55e-08,9.01907e+18,1.79067e+18,5.09479e+17,2.2957e+21,2.97304e+17,2.24786e+18,2.68492e+17
2.6e-08,9.03311e+18,1.81993e+18,5.19083e+17,2.29477e+21,3.03024e+17,2.28965e+18,2.73659e+17
2.65e-08,9.04647e+18,1.84908e+18,5.28677e+17,2.29384e+21,3.08742e+17,2.33138e+18,2.78822e+17
2.7e-08,9.05792e+18,1.8779e+18,5.38242e+17,2.29292e+21,3.14451e+17,2.37297e+18,2.83978e+17
2.75e-08,9.06866e+18,1.90657e+18,5.47793e+17,2.29199e+21,3.20156e+17,2.41448e+18,2.8913e+17
2.8e-08,9.07784e+18,1.93495e+18,5.57316e+17,2.29107e+21,3.25852e+17,2.45586e+18,2.94274e+17
2.85e-08,9.0863e+18,1.96317e+18,5.66824e+17,2.29015e+21,3.31544e+17,2.49716e+18,2.99414e+17
2.9e-08,9.09348e+18,1.9911e+18,5.76304e+17,2.28923e+21,3.37228e+17,2.53832e+18,3.04547e+17
2.95e-08,9.09995e+18,2.01886e+18,5.85767e+17,2.28831e+21,3.42906e+17,2.5794e+18,3.09675e+17
3e-08,9.10538e+18,2.04637e+18,5.95204e+17,2.28739e+21,3.48576e+17,2.62035e+18,3.14795e+17
3.05e-08,9.11011e+18,2.07368e+18,6.04621e+17,2.28647e+21,3.54241e+17,2.66121e+18,3.1991e+17
3.1e-08,9.11401e+18,2.10075e+18,6.14014e+17,2.28555e+21,3.59897e+17,2.70194e+18,3.25019e+17
3.15e-08,9.11722e+18,2.12761e+18,6.23384e+17,2.28464e+21,3.65547e+17,2.74256e+18,3.30121e+17
3.2e-08,9.11976e+18,2.15426e+18,6.32732e+17,2.28372e+21,3.7119e+17,2.78308e+18,3.35217e+17
3.25e-08,9.12165e+18,2.18069e+18,6.42054e+17,2.28281e+21,3.76825e+17,2.82347e+18,3.40305e+17
3.3e-08,9.12301e+18,2.20692e+18,6.51356e+17,2.28189e+21,3.82453e+17,2.86376e+18,3.45388e+17
3.35e-08,9.12375e+18,2.2329e+18,6.60629e+17,2.28098e+21,3.88073e+17,2.90392e+18,3.50463e+17
3.4e-08,9.12406e+18,2.25872e+18,6.69884e+17,2.28007e+21,3.93687e+17,2.94398e+18,3.55533e+17
3.45e-08,9.12379e+18,2.28428e+18,6.79108e+17,2.27915e+21,3.9929e+17,2.9839e+18,3.60593e+17
3.5e-08,9.12319e+18,2.30969e+18,6.88316e+17,2.27824e+21,4.04889e+17,3.02374e+18,3.65649e+17
3.55e-08,9.12204e+18,2.33482e+18,6.97489e+17,2.27733e+21,4.10477e+17,3.06341e+18,3.70695e+17
3.6e-08,9.12064e+18,2.35982e+18,7.06648e+17,2.27642e+21,4.1606e+17,3.10302e+18,3.75737e+17
3.65e-08,9.11873e+18,2.38453e+18,7.15771e+17,2.27551e+21,4.21631e+17,3.14245e+18,3.80769e+17
3.7e-08,9.11663e+18,2.40914e+18,7.24881e+17,2.2746e+21,4.27199e+17,3.18182e+18,3.85796e+17
3.75e-08,9.11404e+18,2.43343e+18,7.33951e+17,2.2737e+21,4.32753e+17,3.221e+18,3.90812e+17
3.8e-08,9.11132e+18,2.45765e+18,7.43011e+17,2.27279e+21,4.38304e+17,3.26013e+18,3.95825e+17
3.85e-08,9.10816e+18,2.48153e+18,7.52029e+17,2.27188e+21,4.43842e+17,3.29906e+18,4.00826e+17
3.9e-08,9.1049e+18,2.50536e+18,7.61039e+17,2.27097e+21,4.49376e+17,3.33795e+18,4.05824e+17
3.95e-08,9.10122e+18,2.52884e+18,7.70003e+17,2.27007e+21,4.54896e+17,3.37663e+18,4.10809e+17
4e-08,9.09749e+18,2.55228e+18,7.78961e+17,2.26916e+21,4.60413e+17,3.41528e+18,4.15791e+17
4.05e-08,9.09338e+18,2.57537e+18,7.87872e+17,2.26825e+21,4.65915e+17,3.4537e+18,4.2076e+17
4.1e-08,9.08923e+18,2.59843e+18,7.96778e+17,2.26735e+21,4.71415e+17,3.49211e+18,4.25727e+17
4.15e-08,9.08473e+18,2.62113e+18,8.05634e+17,2.26644e+21,4.76899e+17,3.53027e+18,4.30679e+17
4.2e-08,9.08021e+18,2.64381e+18,8.14487e+17,2.26554e+21,4.82381e+17,3.56842e+18,4.3563e+17
4.25e-08,9.07538e+18,2.66612e+18,8.23288e+17,2.26464e+21,4.87846e+17,3.60633e+18,4.40566e+17
4.3e-08,9.07053e+18,2.68842e+18,8.32086e+17,2.26373e+21,4.9331e+17,3.64421e+18,4.455e+17
4.35e-08,9.06542e+18,2.71037e+18,8.40833e+17,2.26283e+21,4.98757e+17,3.68187e+18,4.50419e+17
4.4e-08,9.06028e+18,2.73229e+18,8.49575e+17,2.26192e+21,5.04201e+17,3.71949e+18,4.55336e+17
4.45e-08,9.05493e+18,2.75388e+18,8.58269e+17,2.26102e+21,5.09629e+17,3.75689e+18,4.60238e+17
4.5e-08,9.04954e+18,2.77542e+18,8.66954e+17,2.26012e+21,5.15054e+17,3.79425e+18,4.65138e+17
4.55e-08,9.04397e+18,2.79666e+18,8.75593e+17,2.25922e+21,5.20464e+17,3.83139e+18,4.70023e+17
