"arc_length","2","3","4","1","6","cb","5"
0,0,0,0,0,0,0,0
5e-10,4.33973e+17,9.49018e+15,5.19006e+14,6.71181e+20,7.02374e+13,9.16207e+18,7.10227e+13
1e-09,8.65885e+17,1.89755e+16,1.03795e+15,1.24927e+21,1.40471e+14,3.4277e+19,1.42041e+14
1.5e-09,1.28932e+18,2.84446e+16,1.5567e+15,1.69432e+21,2.10692e+14,6.98227e+19,2.13046e+14
2e-09,1.69629e+18,3.78813e+16,2.07504e+15,1.98966e+21,2.80888e+14,1.09467e+20,2.84022e+14
2.5e-09,2.08027e+18,4.72681e+16,2.59273e+15,2.15217e+21,3.51046e+14,1.48259e+20,3.54954e+14
3e-09,2.43771e+18,5.6589e+16,3.10956e+15,2.22183e+21,4.21151e+14,1.84043e+20,4.25825e+14
3.5e-09,2.76769e+18,6.583e+16,3.62532e+15,2.24032e+21,4.9119e+14,2.17e+20,4.96622e+14
4e-09,3.07094e+18,7.49794e+16,4.13982e+15,2.23663e+21,5.61153e+14,2.48191e+20,5.6733e+14
4.5e-09,3.34886e+18,8.40276e+16,4.65288e+15,2.22539e+21,6.31029e+14,2.78499e+20,6.37939e+14
5e-09,3.60303e+18,9.2966e+16,5.16436e+15,2.21214e+21,7.00807e+14,3.08365e+20,7.08435e+14
5.5e-09,3.83495e+18,1.01787e+17,5.67406e+15,2.19852e+21,7.70476e+14,3.37946e+20,7.78807e+14
6e-09,4.0461e+18,1.10483e+17,6.18186e+15,2.18486e+21,8.40028e+14,3.67282e+20,8.49044e+14
6.5e-09,4.23795e+18,1.1905e+17,6.6876e+15,2.17124e+21,9.09452e+14,3.96381e+20,9.19134e+14
7e-09,4.41176e+18,1.27481e+17,7.19114e+15,2.15766e+21,9.78738e+14,4.25241e+20,9.89067e+14
7.5e-09,4.56877e+18,1.35774e+17,7.69233e+15,2.14413e+21,1.04788e+15,4.53865e+20,1.05883e+15
8e-09,4.70599e+18,1.4388e+17,8.19029e+15,2.13065e+21,1.11681e+15,4.82236e+20,1.12836e+15
8.5e-09,4.83136e+18,1.51867e+17,8.68611e+15,2.11721e+21,1.18561e+15,5.10359e+20,1.19774e+15
9e-09,4.94592e+18,1.59731e+17,9.17964e+15,2.10381e+21,1.25427e+15,5.3828e+20,1.26695e+15
9.5e-09,5.04568e+18,1.67424e+17,9.67e+15,2.09046e+21,1.32272e+15,5.65924e+20,1.33593e+15
1e-08,5.13498e+18,1.74976e+17,1.01576e+16,2.07716e+21,1.39099e+15,5.93347e+20,1.4047e+15
1.05e-08,5.21244e+18,1.82368e+17,1.0642e+16,2.0639e+21,1.45906e+15,6.20518e+20,1.47325e+15
1.1e-08,5.27991e+18,1.89603e+17,1.11232e+16,2.0507e+21,1.52691e+15,6.47444e+20,1.54155e+15
1.15e-08,5.33799e+18,1.9669e+17,1.16014e+16,2.03754e+21,1.59457e+15,6.74137e+20,1.60962e+15
1.2e-08,5.38661e+18,2.03605e+17,1.20757e+16,2.02443e+21,1.66197e+15,7.00562e+20,1.6774e+15
1.25e-08,5.42788e+18,2.10385e+17,1.25472e+16,2.01137e+21,1.72918e+15,7.26777e+20,1.74497e+15
1.3e-08,5.46027e+18,2.16979e+17,1.30143e+16,1.99837e+21,1.79611e+15,7.52698e+20,1.81221e+15
1.35e-08,5.48697e+18,2.23452e+17,1.34787e+16,1.98541e+21,1.86285e+15,7.78433e+20,1.87924e+15
1.4e-08,5.50542e+18,2.29727e+17,1.39383e+16,1.97251e+21,1.92926e+15,8.0385e+20,1.9459e+15
