t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1.0,1845884922.9100564,-8.750468251552943e+21,105792.0,6e-09,72299.93377113857,25530.93518388416
2.1,23152669888.192875,-8.750468284237405e+21,650028.23008,4.2e-09,431831.8386555774,53615.01356702672
3.3100000000000005,97151534717.34421,-8.750468284186474e+21,1792007.52233,3.6e-09,1149620.2699794276,84507.49978432682
4.641000000000001,264073812299.799,-8.750468284112997e+21,3531101.61011,3.6e-09,2228673.458430179,118489.2346166342
6.105100000000002,574964457437.8347,-8.750468284016342e+21,5894703.4697,3.6e-09,3688763.835212175,155869.14292244552
7.7156100000000025,1096762202145.8766,-8.750468283894e+21,8950942.23224,3e-09,5567687.045596042,196987.04204529585
9.487171000000004,1917808784286.62,-8.750468283742514e+21,12788497.5277,3e-09,7917738.695746132,242216.73106198592
11.435888100000005,3154558168939.956,-8.750468283557629e+21,17506585.4877,3e-09,10804414.052528817,291969.3889555833
13.579476910000007,4960046395897.667,-8.750468283334298e+21,23233963.7131,3e-09,14306561.416989213,346697.3126056379
15.937424601000009,7534689454950.174,-8.750468283066591e+21,30123101.4913,3e-09,18517389.925172657,406898.02857731417
18.53116706110001,11140084845815.44,-8.750468282747586e+21,38352720.4865,3e-09,23546061.722713117,473118.8160892926
21.384283767210015,16116659728687.201,-8.750468282369246e+21,48131153.2863,3e-09,29519763.477599423,545961.682278283
24.522712143931017,22906231186420.992,-8.750468281922256e+21,59700462.3926,3e-09,36586231.70751096,626088.834989761
27.97498335832412,32080830926566.094,-8.750468281395815e+21,73341339.1407,3e-09,44916748.37298799,714228.702847485
31.772481694156536,44379512899405.83,-8.750468280777427e+21,89378847.8803,3e-09,54709648.892726175,811182.5573295944
35.949729863572195,60755328345732.125,-8.750468280052644e+21,108189113.341,3e-09,66194403.5289291,917831.7970518471
40.544702849929415,82435245295599.3,-8.750468279204767e+21,130207076.612,3e-09,79636349.31008857,1035145.9604785795
45.59917313492236,110996542463678.39,-8.750468278214481e+21,155935471.598,3e-09,95342165.49351583,1164191.5399040019
51.1590904484146,148464164013272.94,-8.750468277059496e+21,185955201.476,3e-09,113666202.25573091,1306141.6768306566
57.27499949325607,197434736653602.34,-8.750468275714048e+21,220937324.862,3e-09,135017790.64388627,1462286.8268844862
64.00249944258168,261234493659908.78,-8.750468274148389e+21,261656895.383,3e-09,159869682.4500333,1634046.4912198514
71.40274938683986,344120310106926.7,-8.750468272328172e+21,309008936.84,3e-09,188767792.14173186,1822982.121063068
79.54302432552385,451535542154380.9,-8.750468270213728e+21,364026880.304,3e-09,222342439.855887,2030811.3127077639
88.49732675807624,590435523128564.5,-8.750468267759275e+21,427903840.105,3e-09,261321325.33361167,2259423.4220065833
98.34705943388387,769701581294377.4,-8.750468264911954e+21,502017163.991,3e-09,306544498.20185214,2510896.7403079844
109.18176537727226,1000667538201778.1,-8.750468261610747e+21,587956759.841,3e-09,358981630.93660986,2787517.3879815573
121.09994191499949,1297789113729694.8,-8.750468257785244e+21,687557778.73,3e-09,419751948.02131975,3091800.097289312
134.20993610649944,1679494874302558.5,-8.750468253354155e+21,802938323.354,3e-09,490147219.2148803,3426511.0735357837
148.6309297171494,2169267783650570.0,-8.750468248223673e+21,936542953.749,3e-09,571658287.5849792,3794693.1423225454
164.49402268886433,2797019646719165.5,-8.750468242285549e+21,1091192880.92,3e-09,666005675.3310269,4199693.4115147805
181.94342495775078,3600837533070320.5,-8.750468235414842e+21,1270143875.92,3e-09,775174893.9005803,4645193.699387463
201.13776745352587,4629202586050220.0,-8.75046822746738e+21,1477153079.88,3e-09,901457181.2038615,5135244.005564521
222.25154419887846,5943808686113081.0,-8.750468218276799e+21,1716556082.74,3e-09,1047496499.8251085,5674299.329024457
245.47669861876633,7623142786782488.0,-8.750468207651126e+21,1993355848.49,3e-09,1216343758.2919514,6267260.167871682
271.024368480643,9767032341604636.0,-8.750468195368839e+21,2313325307.46,3e-09,1411519365.3187532,6919517.069040719
299.1268053287073,1.2502420579866146e+16,-8.750468181174331e+21,2683125715.84,3e-09,1637085397.514225,7636999.632914696
330.03948586157804,1.599070062759425e+16,-8.75046816477267e+21,3110443205.36,3e-09,1897728857.8295484,8426230.418334354
364.0434344477359,2.0437028618519516e+16,-8.750468145823553e+21,3604146318.43,3e-09,2198857729.049378,9294384.23801751
401.44777789250946,2.610214908645816e+16,-8.750468123934334e+21,4174467753.77,3e-09,2546711788.5426145,10249353.383405596
442.5925556817604,3.3317409534612264e+16,-8.750468098651969e+21,4833214042.99,3e-09,2948490452.654046,11299819.371849084
487.8518112499365,4.25038233351904e+16,-8.750468069453752e+21,5594007450.41,3e-09,3412500267.7187834,12455331.868326478
537.6369923749302,5.41962714266492e+16,-8.750468035736587e+21,6472565048.08,3e-09,3948325066.853976,13726395.499100273
592.4006916124232,6.907422684690892e+16,-8.750467996804644e+21,7487020679.0,3e-09,4567022275.662587,15124565.346440658
652.6407607736655,8.8000758722287e+16,-8.750467951855113e+21,8658296399.43,3e-09,5281349385.268077,16662551.992443152
718.9048368510321,1.1207204518465531e+17,-8.750467899961735e+21,10010531004.2,3e-09,6106025228.647039,18354337.066748086
791.7953205361354,1.4268022479513709e+17,-8.750467840055872e+21,11571574407.3,3e-09,7058031408.683449,20215300.34842273
871.9748525897489,1.8159317765290413e+17,-8.750467770904572e+21,13373557998.6,3e-09,8156960048.31431,22262359.57725839
960.1723378487239,2.310557939170318e+17,-8.750467691085367e+21,15453552652.5,3e-09,9425414981.411152,24514124.245215848
1057.1895716335964,2.939185141138366e+17,-8.750467598957115e+21,17854327858.6,3e-09,10889474597.037125,26991064.765770037
1163.9085287969563,3.7380048232629e+17,-8.750467492626407e+21,20625227515.8,3e-09,12579225811.873167,29715698.558608472
1281.299381676652,4.75296628978147e+17,-8.750467369908787e+21,23823180317.7,3e-09,14529380101.70798,32712794.74079381
1410.4293198443174,6.042405071429248e+17,-8.750467228284038e+21,27513865414.3,3e-09,16779984202.797523,36009599.28449677
1552.4722518287492,7.680378881587784e+17,-8.750467064844567e+21,31773057213.5,3e-09,19377240031.982647,39636082.68727185
1708.7194770116243,9.760901603301935e+17,-8.750466876235891e+21,36688176852.1,3e-09,22374450610.41109,43625212.405260466
1880.5914247127869,1.2403316989961316e+18,-8.750466658587939e+21,42360082099.8,3e-09,25833111355.306087,48013252.5245113
2069.6505671840655,1.575911879566666e+18,-8.750466407435834e+21,48905132338.1,3e-09,29824169080.30152,52840093.39282936
2277.615623902472,2.002060658245471e+18,-8.750466117628475e+21,56457570891.0,3e-09,34429474478.33786,58149614.2064299
2506.3771862927197,2.5431871188381553e+18,-8.750465783223081e+21,65172273478.6,3e-09,39743457822.31332,63990081.844623104
2758.0149049219917,3.2302736757217265e+18,-8.750465397363553e+21,75227919064.3,3e-09,45875062188.71531,70414589.5744711
3034.816395414191,4.102645490866292e+18,-8.750464952140079e+21,86830648010.8,3e-09,52949973781.89958,77481539.60878335
3339.2980349556105,5.210216068865725e+18,-8.750464438427247e+21,100218282442.0,3e-09,61113195019.55986,85255173.8981761
3674.227838451172,6.616337159171162e+18,-8.750463845697228e+21,115665195216.0,3e-09,70532013057.7329,93806157.97475483
4042.6506222962894,8.401415568505242e+18,-8.750463161804259e+21,133487927197.0,3e-09,81399424530.26405,103212223.14516021
4447.915684525919,1.066750323491054e+19,-8.750462372736051e+21,154051667834.0,3e-09,93938086618.76218,113558872.8584975
4893.707252978511,1.3544122433089016e+19,-8.750461462326938e+21,177777731747.0,3e-09,108404875346.10747,124940159.65468614
5384.077978276362,1.7195658434777678e+19,-8.750460411927008e+21,205152184379.0,3e-09,125096144420.31332,137459539.7361057
