"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
1.0851e+17,1,3e-11,3e-11,0,0
2.1701e+17,1,6e-11,6e-11,0,0
3.2552e+17,1,9e-11,9e-11,0,0
4.3402e+17,1,1.2e-10,1.2e-10,0,0
5.4253e+17,1,1.5e-10,1.5e-10,0,0
6.5104e+17,1,1.8e-10,1.8e-10,0,0
7.5954e+17,1,2.1e-10,2.1e-10,0,0
8.6805e+17,1,2.4e-10,2.4e-10,0,0
9.7655e+17,1,2.7e-10,2.7e-10,0,0
1.0851e+18,1,3e-10,3e-10,0,0
1.1936e+18,1,3.3e-10,3.3e-10,0,0
1.3021e+18,1,3.6e-10,3.6e-10,0,0
1.4106e+18,1,3.9e-10,3.9e-10,0,0
1.5191e+18,1,4.2e-10,4.2e-10,0,0
1.6276e+18,1,4.5e-10,4.5e-10,0,0
1.7361e+18,1,4.8e-10,4.8e-10,0,0
1.8446e+18,1,5.1e-10,5.1e-10,0,0
1.9531e+18,1,5.4e-10,5.4e-10,0,0
2.0616e+18,1,5.7e-10,5.7e-10,0,0
2.1701e+18,1,6e-10,6e-10,0,0
2.5382e+18,1,6.3e-10,6.3e-10,0,0
2.9063e+18,1,6.6e-10,6.6e-10,0,0
3.2744e+18,1,6.9e-10,6.9e-10,0,0
3.6425e+18,1,7.2e-10,7.2e-10,0,0
4.0106e+18,1,7.5e-10,7.5e-10,0,0
4.3787e+18,1,7.8e-10,7.8e-10,0,0
4.7468e+18,1,8.1e-10,8.1e-10,0,0
5.1149e+18,1,8.4e-10,8.4e-10,0,0
5.483e+18,1,8.7e-10,8.7e-10,0,0
5.8511e+18,1,9e-10,9e-10,0,0
6.2192e+18,1,9.3e-10,9.3e-10,0,0
6.5873e+18,1,9.6e-10,9.6e-10,0,0
6.9554e+18,1,9.9e-10,9.9e-10,0,0
7.3234e+18,1,1.02e-09,1.02e-09,0,0
7.6915e+18,1,1.05e-09,1.05e-09,0,0
8.0596e+18,1,1.08e-09,1.08e-09,0,0
8.4277e+18,1,1.11e-09,1.11e-09,0,0
8.7958e+18,1,1.14e-09,1.14e-09,0,0
9.1639e+18,1,1.17e-09,1.17e-09,0,0
9.532e+18,1,1.2e-09,1.2e-09,0,0
9.9991e+18,1,1.23e-09,1.23e-09,0,0
1.0466e+19,1,1.26e-09,1.26e-09,0,0
1.0933e+19,1,1.29e-09,1.29e-09,0,0
1.14e+19,1,1.32e-09,1.32e-09,0,0
1.1867e+19,1,1.35e-09,1.35e-09,0,0
1.2334e+19,1,1.38e-09,1.38e-09,0,0
1.2802e+19,1,1.41e-09,1.41e-09,0,0
1.3269e+19,1,1.44e-09,1.44e-09,0,0
1.3736e+19,1,1.47e-09,1.47e-09,0,0
1.4203e+19,1,1.5e-09,1.5e-09,0,0
1.467e+19,1,1.53e-09,1.53e-09,0,0
1.5137e+19,1,1.56e-09,1.56e-09,0,0
1.5604e+19,1,1.59e-09,1.59e-09,0,0
1.6071e+19,1,1.62e-09,1.62e-09,0,0
1.6538e+19,1,1.65e-09,1.65e-09,0,0
1.7005e+19,1,1.68e-09,1.68e-09,0,0
1.7472e+19,1,1.71e-09,1.71e-09,0,0
1.7939e+19,1,1.74e-09,1.74e-09,0,0
1.8407e+19,1,1.77e-09,1.77e-09,0,0
1.8874e+19,1,1.8e-09,1.8e-09,0,0
1.9339e+19,1,1.83e-09,1.83e-09,0,0
1.9805e+19,1,1.86e-09,1.86e-09,0,0
