t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1.0,2448662851449.0176,-8.748296524718252e+21,39757.0,3e-09,27435.6595307864,89251102.15416172
1.9090909090909092,43812605203135.81,-8.748296496396643e+21,406896.17178,3e-09,257133.36736748292,170388641.70639083
2.909090909090909,200698038842229.28,-8.748296359655868e+21,1258233.52747,3e-09,772986.1232232056,259639898.84495792
4.00909090909091,561014296340016.56,-8.748296164338612e+21,2583066.93116,3e-09,1567883.896135879,357816224.6086345
5.21909090909091,1233983725837341.2,-8.748295910511636e+21,4392177.56201,3e-09,2649113.280825692,465810101.35313106
6.55009090909091,2362338852006674.5,-8.748295591643609e+21,6725456.7981,3e-09,4040926.628067829,584603253.025712
8.01419090909091,4134229825515004.0,-8.748295198711043e+21,9643981.41227,3e-09,5779911.989159618,715275567.0447689
9.624700909090912,6797467828715119.0,-8.748294720735257e+21,13226630.7073,3e-09,7913096.461435088,859014907.9874046
11.396261909090914,1.0677455575133986e+16,-8.748294144733897e+21,17569492.6743,3e-09,10497652.70365611,1017127911.9774321
13.344979009090915,1.620003258590941e+16,-8.74829345551491e+21,22786742.3458,3e-09,13601450.22658763,1191051859.6202457
15.488567819090918,2.3920668205373284e+16,-8.748292635389384e+21,29012422.3536,3e-09,17304127.981498998,1382367735.0831242
17.84651551009092,3.4561783686186056e+16,-8.748291663818795e+21,36402898.4883,3e-09,21698560.467407342,1592814589.6175978
20.440257970190924,4.906045354576309e+16,-8.748290516996786e+21,45139915.9732,3e-09,26892676.61597369,1824305339.5667653
23.293374676300928,6.862934154475371e+16,-8.748289167360114e+21,55434256.6872,3e-09,33011633.244470198,2078944141.7973423
26.43180305302193,9.483449937838746e+16,-8.74828758302032e+21,67530039.3411,3e-09,40200368.84898094,2359045503.65317
29.884074267415034,1.2969463967764958e+17,-8.748285727105293e+21,81709732.4979,3e-09,48626579.66508925,2667155300.0624056
33.681572603247446,1.7580774519157258e+17,-8.748283556997741e+21,98299972.6641,3e-09,58484172.968678646,3006073887.4725456
37.8588207726631,2.3651246461612106e+17,-8.748281023455298e+21,117678300.407,3e-09,69997264.77771167,3378881522.9738903
42.45379375902032,3.1609376346543315e+17,-8.748278069594469e+21,140280948.679,3e-09,83424801.64301267,3788966317.451327
47.508264044013266,4.200448612539287e+17,-8.748274629717794e+21,166611840.516,3e-09,99065899.8117034,4240054974.0356336
53.06818135750551,5.5540074083220224e+17,-8.748270627960299e+21,197252978.916,3e-09,117266010.23628749,4736246587.677763
59.184090402346975,7.31162648256289e+17,-8.748265976727745e+21,232876440.798,3e-09,138424035.13055483,5282049808.522717
65.91159035167259,9.588382484299907e+17,-8.748260574894803e+21,274258220.16,3e-09,163000541.46906033,5882423701.101575
73.31184029593076,1.2531287628506985e+18,-8.748254305726484e+21,322294203.716,3e-09,191527239.43794504,6542822663.387853
81.45211523461475,1.6328028716139146e+18,-8.748247034480482e+21,378018606.172,3e-09,224617919.8621932,7269245804.678746
90.40641766716715,2.1218078951055908e+18,-8.748238605641692e+21,442625242.916,3e-09,262981074.60952368,8068291219.267651
100.25615034297478,2.750682393859318e+18,-8.748228839732632e+21,517492076.186,3e-09,307434458.53181213,8947215634.172926
111.09085628636316,3.558351614531395e+18,-8.748217529635102e+21,604209538.101,3e-09,358921891.3709423,9913999953.97292
123.0090328240904,4.5944091508206874e+18,-8.748204436348342e+21,704613211.585,3e-09,418532644.0554825,10977421274.245056
136.11902701559035,5.922016029430619e+18,-8.748189284097967e+21,820821539.874,3e-09,487523806.9027564,12147131987.365389
150.5400206262403,7.621583756406883e+18,-8.748171754696646e+21,955279338.809,3e-09,567346098.5207095,13433746660.599758
166.40311359795527,9.79545267581443e+18,-8.748151481042875e+21,1110808005.67,3e-09,659673644.9505011,14848937426.550423
183.8525158668417,1.2573833844992586e+19,-8.748128039626889e+21,1290663456.35,3e-09,766438340.2786872,16405538690.066797
203.0468583626168,1.6122354742482391e+19,-8.748100941893294e+21,1498602982.33,3e-09,889869494.2843308,18117662023.518
224.1606351079694,2.065164058032764e+19,-8.74806962428755e+21,1738962403.04,3e-09,1032539581.648345,20000822193.52733
247.38578952785727,2.642947896427669e+19,-8.748033436787727e+21,2016745102.68,3e-09,1197417033.131035,22072075336.333115
272.9334593897339,3.3796262682075587e+19,-8.747991629693763e+21,2337724786.47,3e-09,1387927154.5767782,24350170375.030315
301.0358962377982,4.3184591789278e+19,-8.747943338413039e+21,2708564076.95,3e-09,1608022427.7156112,26855714848.845047
331.948576770669,5.514415238800221e+19,-8.747887565943036e+21,3136951400.14,3e-09,1862263641.083536,29611356400.599243
365.9525253568268,7.037328881289105e+19,-8.747823162708915e+21,3631758993.55,3e-09,2155913524.1416483,32641981241.2974
403.3568688016004,8.975906510127936e+19,-8.747748803364927e+21,4203225310.08,3e-09,2495044817.687897,35974930977.17463
444.50164659085135,1.1442809178467087e+20,-8.747662960113532e+21,4863165604.22,3e-09,2886665014.5747447,39640239240.41221
489.7609021590274,1.4581100188815232e+20,-8.747563872034385e+21,5625215081.23,3e-09,3338860353.164198,43670889604.582886
539.546083284021,1.8572422921416386e+20,-8.74744950984605e+21,6505109679.46,3e-09,3860962049.5737095,48103096282.614265
594.3097825215141,2.3647371489680995e+20,-8.747317535446391e+21,7521010356.78,3e-09,4463738222.606714,52976609089.48085
654.5498516827564,3.009863981516823e+20,-8.747165255492774e+21,8693877682.95,3e-09,5159615507.891909,58335044092.20173
720.8139277601231,3.8297690107752055e+20,-8.746989568189952e+21,10047904623.1,3e-09,5962934987.588311,64226241251.10817
793.7044114452264,4.87158779269616e+20,-8.746786902352981e+21,11611016659.4,3e-09,6890247793.651662,70702650159.90576
873.8839434988399,6.195121850026344e+20,-8.746553147704778e+21,13415449869.4,3e-09,7960656593.311125,77821744694.17188
962.0814287578149,7.876229091348713e+20,-8.746283575255098e+21,15498419301.2,3e-09,9196210155.427933,85646466949.21255
1059.0986625426874,1.001111695257435e+21,-8.745972746492187e+21,17902891992.8,3e-09,10622359349.834112,94245700252.37088
1165.8176197060473,1.2721776581582775e+21,-8.745614410004246e+21,20678481345.8,3e-09,12268484277.140755,103694770227.53835
1283.208472585743,1.6162858399184053e+21,-8.745201384041227e+21,23882482325.7,3e-09,14168503797.726778,114075971816.99068
1412.3384107534084,2.053036720322671e+21,-8.744725423436089e+21,27581070321.5,3e-09,16361580640.315031,125479118763.37769
1554.3813427378402,2.607265176829674e+21,-8.744177069234909e+21,31850689768.9,3e-09,18892937015.033955,138002110246.54117
1710.6285679207153,3.3104286427527365e+21,-8.743545479397967e+21,36779664470.6,3e-09,21814799119.203606,151751507069.27942
1882.5005156218779,4.2023592061548175e+21,-8.742818238897719e+21,42470065292.4,3e-09,25187490718.08836,166843106889.44092
2071.5596580931565,5.333473262310236e+21,-8.74198114777031e+21,49039878405.0,3e-09,29080700286.9145,183402504399.46072
2279.524714811563,6.767555541989134e+21,-8.741017985865868e+21,56625524363.6,3e-09,33574949990.116436,201565617937.81735
2508.2862772018107,8.585262994191232e+21,-8.739910253494115e+21,65384787373.7,3e-09,38763299652.00291,221479158669.80716
2759.9239958310827,1.0888529161728846e+22,-8.738636887803053e+21,75500224805.6,3e-09,44753324566.34829,243301012097.68762
3036.725486323282,1.380609260929703e+22,-8.737173955656537e+21,87183139806.9,3e-09,51669412705.568375,267200494187.33102
3341.2071258647015,1.7500425042348833e+22,-8.73549432505864e+21,100678215139.0,3e-09,59655434803.10061,293358435825.85443
3676.136929360263,2.2176397500903894e+22,-8.733567318887602e+21,116268924613.0,3e-09,68877850100.01521,321967039747.9348
4044.5597132053804,2.8092097992928816e+22,-8.7313583569299e+21,134283860272.0,3e-09,79529321496.85019,353229443734.6787
4449.8247754350095,3.557230268100098e+22,-8.728828595018656e+21,155104139477.0,3e-09,91832926681.6304,387358913261.29987
4895.616343887602,4.502520661672339e+22,-8.725934573532596e+21,179172086896.0,3e-09,106047066773.32396,424577576605.3478
5385.987069185453,5.696314003112296e+22,-8.722627891612421e+21,207001423064.0,3e-09,122471191381.51395,465114606860.2799
