"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
3.858e+05,1,3e-11,3e-11,0,0
7.7159e+05,1,6e-11,6e-11,0,0
1.1574e+06,1,9e-11,9e-11,0,0
1.5432e+06,1,1.2e-10,1.2e-10,0,0
1.929e+06,1,1.5e-10,1.5e-10,0,0
2.3148e+06,1,1.8e-10,1.8e-10,0,0
2.7006e+06,1,2.1e-10,2.1e-10,0,0
3.0864e+06,1,2.4e-10,2.4e-10,0,0
3.4722e+06,1,2.7e-10,2.7e-10,0,0
3.858e+06,1,3e-10,3e-10,0,0
4.2437e+06,1,3.3e-10,3.3e-10,0,0
4.6295e+06,1,3.6e-10,3.6e-10,0,0
5.0153e+06,1,3.9e-10,3.9e-10,0,0
5.4011e+06,1,4.2e-10,4.2e-10,0,0
5.7869e+06,1,4.5e-10,4.5e-10,0,0
6.1727e+06,1,4.8e-10,4.8e-10,0,0
6.5585e+06,1,5.1e-10,5.1e-10,0,0
6.9443e+06,1,5.4e-10,5.4e-10,0,0
7.3301e+06,1,5.7e-10,5.7e-10,0,0
7.7159e+06,1,6e-10,6e-10,0,0
9.1108e+06,1,6.3e-10,6.3e-10,0,0
1.0506e+07,1,6.6e-10,6.6e-10,0,0
1.1901e+07,1,6.9e-10,6.9e-10,0,0
1.3295e+07,1,7.2e-10,7.2e-10,0,0
1.469e+07,1,7.5e-10,7.5e-10,0,0
1.6085e+07,1,7.8e-10,7.8e-10,0,0
1.748e+07,1,8.1e-10,8.1e-10,0,0
1.8875e+07,1,8.4e-10,8.4e-10,0,0
2.027e+07,1,8.7e-10,8.7e-10,0,0
2.1665e+07,1,9e-10,9e-10,0,0
2.3059e+07,1,9.3e-10,9.3e-10,0,0
2.4454e+07,1,9.6e-10,9.6e-10,0,0
2.5849e+07,1,9.9e-10,9.9e-10,0,0
2.7244e+07,1,1.02e-09,1.02e-09,0,0
2.8639e+07,1,1.05e-09,1.05e-09,0,0
3.0034e+07,1,1.08e-09,1.08e-09,0,0
3.1429e+07,1,1.11e-09,1.11e-09,0,0
3.2824e+07,1,1.14e-09,1.14e-09,0,0
3.4218e+07,1,1.17e-09,1.17e-09,0,0
3.5613e+07,1,1.2e-09,1.2e-09,0,0
3.7498e+07,1,1.23e-09,1.23e-09,0,0
3.9383e+07,1,1.26e-09,1.26e-09,0,0
4.1268e+07,1,1.29e-09,1.29e-09,0,0
4.3153e+07,1,1.32e-09,1.32e-09,0,0
4.5038e+07,1,1.35e-09,1.35e-09,0,0
4.6923e+07,1,1.38e-09,1.38e-09,0,0
4.8808e+07,1,1.41e-09,1.41e-09,0,0
5.0694e+07,1,1.44e-09,1.44e-09,0,0
5.2579e+07,1,1.47e-09,1.47e-09,0,0
5.4464e+07,1,1.5e-09,1.5e-09,0,0
5.6349e+07,1,1.53e-09,1.53e-09,0,0
5.8234e+07,1,1.56e-09,1.56e-09,0,0
6.0119e+07,1,1.59e-09,1.59e-09,0,0
6.2004e+07,1,1.62e-09,1.62e-09,0,0
6.3889e+07,1,1.65e-09,1.65e-09,0,0
6.5774e+07,1,1.68e-09,1.68e-09,0,0
6.7659e+07,1,1.71e-09,1.71e-09,0,0
6.9544e+07,1,1.74e-09,1.74e-09,0,0
7.1429e+07,1,1.77e-09,1.77e-09,0,0
7.3314e+07,1,1.8e-09,1.8e-09,0,0
7.5177e+07,1,1.83e-09,1.83e-09,0,0
7.7039e+07,1,1.86e-09,1.86e-09,0,0
7.8902e+07,1,1.89e-09,1.89e-09,0,0
8.0765e+07,1,1.92e-09,1.92e-09,0,0
8.2628e+07,1,1.95e-09,1.95e-09,0,0
8.449e+07,1,1.98e-09,1.98e-09,0,0
8.6353e+07,1,2.01e-09,2.01e-09,0,0
8.8216e+07,1,2.04e-09,2.04e-09,0,0
9.0079e+07,1,2.07e-09,2.07e-09,0,0
9.1941e+07,1,2.1e-09,2.1e-09,0,0
9.3804e+07,1,2.13e-09,2.13e-09,0,0
9.5667e+07,1,2.16e-09,2.16e-09,0,0
9.7529e+07,1,2.19e-09,2.19e-09,0,0
9.9392e+07,1,2.22e-09,2.22e-09,0,0
1.0125e+08,1,2.25e-09,2.25e-09,0,0
1.0312e+08,1,2.28e-09,2.28e-09,0,0
1.0498e+08,1,2.31e-09,2.31e-09,0,0
1.0684e+08,1,2.34e-09,2.34e-09,0,0
1.0871e+08,1,2.37e-09,2.37e-09,0,0
1.1057e+08,1,2.4e-09,2.4e-09,0,0
1.1196e+08,1,2.43e-09,2.43e-09,0,0
1.1336e+08,1,2.46e-09,2.46e-09,0,0
1.1476e+08,1,2.49e-09,2.49e-09,0,0
1.1615e+08,1,2.52e-09,2.52e-09,0,0
1.1755e+08,1,2.55e-09,2.55e-09,0,0
1.1894e+08,1,2.58e-09,2.58e-09,0,0
1.2034e+08,1,2.61e-09,2.61e-09,0,0
1.2174e+08,1,2.64e-09,2.64e-09,0,0
1.2313e+08,1,2.67e-09,2.67e-09,0,0
1.2453e+08,1,2.7e-09,2.7e-09,0,0
1.2592e+08,1,2.73e-09,2.73e-09,0,0
1.2732e+08,1,2.76e-09,2.76e-09,0,0
1.2871e+08,1,2.79e-09,2.79e-09,0,0
1.3011e+08,1,2.82e-09,2.82e-09,0,0
1.3151e+08,1,2.85e-09,2.85e-09,0,0
1.329e+08,1,2.88e-09,2.88e-09,0,0
1.343e+08,1,2.91e-09,2.91e-09,0,0
1.3569e+08,1,2.94e-09,2.94e-09,0,0
1.3709e+08,1,2.97e-09,2.97e-09,0,0
1.3848e+08,1,3e-09,3e-09,0,0
1.393e+08,1,3.03e-09,3.03e-09,0,0
1.4012e+08,1,3.06e-09,3.06e-09,0,0
1.4093e+08,1,3.09e-09,3.09e-09,0,0
1.4175e+08,1,3.12e-09,3.12e-09,0,0
1.4256e+08,1,3.15e-09,3.15e-09,0,0
1.4338e+08,1,3.18e-09,3.18e-09,0,0
1.442e+08,1,3.21e-09,3.21e-09,0,0
1.4501e+08,1,3.24e-09,3.24e-09,0,0
1.4583e+08,1,3.27e-09,3.27e-09,0,0
1.4664e+08,1,3.3e-09,3.3e-09,0,0
1.4746e+08,1,3.33e-09,3.33e-09,0,0
1.4828e+08,1,3.36e-09,3.36e-09,0,0
1.4909e+08,1,3.39e-09,3.39e-09,0,0
1.4991e+08,1,3.42e-09,3.42e-09,0,0
1.5072e+08,1,3.45e-09,3.45e-09,0,0
1.5154e+08,1,3.48e-09,3.48e-09,0,0
1.5235e+08,1,3.51e-09,3.51e-09,0,0
1.5317e+08,1,3.54e-09,3.54e-09,0,0
1.5399e+08,1,3.57e-09,3.57e-09,0,0
1.548e+08,1,3.6e-09,3.6e-09,0,0
1.5512e+08,1,3.63e-09,3.63e-09,0,0
1.5543e+08,1,3.66e-09,3.66e-09,0,0
1.5575e+08,1,3.69e-09,3.69e-09,0,0
1.5607e+08,1,3.72e-09,3.72e-09,0,0
1.5638e+08,1,3.75e-09,3.75e-09,0,0
1.567e+08,1,3.78e-09,3.78e-09,0,0
1.5701e+08,1,3.81e-09,3.81e-09,0,0
1.5733e+08,1,3.84e-09,3.84e-09,0,0
1.5765e+08,1,3.87e-09,3.87e-09,0,0
1.5796e+08,1,3.9e-09,3.9e-09,0,0
1.5828e+08,1,3.93e-09,3.93e-09,0,0
1.5859e+08,1,3.96e-09,3.96e-09,0,0
1.5891e+08,1,3.99e-09,3.99e-09,0,0
1.5922e+08,1,4.02e-09,4.02e-09,0,0
1.5954e+08,1,4.05e-09,4.05e-09,0,0
1.5986e+08,1,4.08e-09,4.08e-09,0,0
1.6017e+08,1,4.11e-09,4.11e-09,0,0
1.6049e+08,1,4.14e-09,4.14e-09,0,0
1.608e+08,1,4.17e-09,4.17e-09,0,0
1.6112e+08,1,4.2e-09,4.2e-09,0,0
1.6105e+08,1,4.23e-09,4.23e-09,0,0
1.6099e+08,1,4.26e-09,4.26e-09,0,0
1.6093e+08,1,4.29e-09,4.29e-09,0,0
1.6086e+08,1,4.32e-09,4.32e-09,0,0
1.608e+08,1,4.35e-09,4.35e-09,0,0
1.6073e+08,1,4.38e-09,4.38e-09,0,0
1.6067e+08,1,4.41e-09,4.41e-09,0,0
1.606e+08,1,4.44e-09,4.44e-09,0,0
1.6054e+08,1,4.47e-09,4.47e-09,0,0
1.6047e+08,1,4.5e-09,4.5e-09,0,0
1.6041e+08,1,4.53e-09,4.53e-09,0,0
1.6034e+08,1,4.56e-09,4.56e-09,0,0
1.6028e+08,1,4.59e-09,4.59e-09,0,0
1.6021e+08,1,4.62e-09,4.62e-09,0,0
1.6015e+08,1,4.65e-09,4.65e-09,0,0
1.6008e+08,1,4.68e-09,4.68e-09,0,0
1.6002e+08,1,4.71e-09,4.71e-09,0,0
1.5995e+08,1,4.74e-09,4.74e-09,0,0
1.5989e+08,1,4.77e-09,4.77e-09,0,0
1.5982e+08,1,4.8e-09,4.8e-09,0,0
1.5948e+08,1,4.83e-09,4.83e-09,0,0
1.5914e+08,1,4.86e-09,4.86e-09,0,0
1.588e+08,1,4.89e-09,4.89e-09,0,0
1.5846e+08,1,4.92e-09,4.92e-09,0,0
1.5812e+08,1,4.95e-09,4.95e-09,0,0
1.5777e+08,1,4.98e-09,4.98e-09,0,0
1.5743e+08,1,5.01e-09,5.01e-09,0,0
1.5709e+08,1,5.04e-09,5.04e-09,0,0
1.5675e+08,1,5.07e-09,5.07e-09,0,0
1.5641e+08,1,5.1e-09,5.1e-09,0,0
1.5607e+08,1,5.13e-09,5.13e-09,0,0
1.5572e+08,1,5.16e-09,5.16e-09,0,0
1.5538e+08,1,5.19e-09,5.19e-09,0,0
1.5504e+08,1,5.22e-09,5.22e-09,0,0
1.547e+08,1,5.25e-09,5.25e-09,0,0
1.5436e+08,1,5.28e-09,5.28e-09,0,0
1.5402e+08,1,5.31e-09,5.31e-09,0,0
1.5368e+08,1,5.34e-09,5.34e-09,0,0
1.5333e+08,1,5.37e-09,5.37e-09,0,0
1.5299e+08,1,5.4e-09,5.4e-09,0,0
1.5246e+08,1,5.43e-09,5.43e-09,0,0
1.5193e+08,1,5.46e-09,5.46e-09,0,0
1.514e+08,1,5.49e-09,5.49e-09,0,0
1.5087e+08,1,5.52e-09,5.52e-09,0,0
1.5034e+08,1,5.55e-09,5.55e-09,0,0
1.4981e+08,1,5.58e-09,5.58e-09,0,0
1.4928e+08,1,5.61e-09,5.61e-09,0,0
1.4875e+08,1,5.64e-09,5.64e-09,0,0
1.4822e+08,1,5.67e-09,5.67e-09,0,0
1.4769e+08,1,5.7e-09,5.7e-09,0,0
1.4716e+08,1,5.73e-09,5.73e-09,0,0
1.4663e+08,1,5.76e-09,5.76e-09,0,0
1.461e+08,1,5.79e-09,5.79e-09,0,0
1.4557e+08,1,5.82e-09,5.82e-09,0,0
1.4504e+08,1,5.85e-09,5.85e-09,0,0
1.4451e+08,1,5.88e-09,5.88e-09,0,0
1.4398e+08,1,5.91e-09,5.91e-09,0,0
