t(s),inventory(He/m2),flux_surface_left(He/m2/s),max_ib(He),x_max_ib(m),mean_ib(He),total_bubbles
1.0,35225906293.45386,-8.74899982067501e+21,39813.6702271,3e-09,27510.92917993842,1280433.1712336845
1.9090909090909092,629808947492.4016,-8.748999839548533e+21,407225.932663,3e-09,257647.02132128162,2444464.30726261
2.909090909090909,2884321020669.0957,-8.748999837583022e+21,1258989.1735,3e-09,774335.4570661443,3724898.549263662
4.00909090909091,8061721816538.387,-8.748999834775693e+21,2584388.21289,3e-09,1570452.1735740553,5133376.203486296
5.21909090909091,17731243575553.18,-8.748999831127405e+21,4394221.85794,3e-09,2653304.6993456925,6682701.606010693
6.55009090909091,33943595953479.36,-8.748999826544275e+21,6728404.68561,3e-09,4047187.2854244597,8386959.525130904
8.01419090909091,59402038319497.89,-8.748999820896593e+21,9648040.65851,3e-09,5788745.246548403,10261643.204097977
9.624700909090912,97667023261047.34,-8.748999814026566e+21,13232040.7152,3e-09,7925076.781314116,12323795.208057586
11.396261909090914,153413818968057.62,-8.748999805747577e+21,17576529.5602,3e-09,10513439.696605362,14592162.355541235
13.344979009090915,232760749263177.62,-8.748999795841267e+21,22795724.7157,3e-09,13621803.812030386,17087366.14291934
15.488567819090918,343688641034654.2,-8.748999784053376e+21,29023717.8595,3e-09,17329925.25634074,19832090.211058706
17.84651551009092,496577075299452.4,-8.748999770088679e+21,36416931.2591,3e-09,21730814.76317389,22851286.55833818
20.440257970190924,704889776258274.6,-8.748999753604975e+21,45157175.0233,3e-09,26932559.196134996,26172402.37457386
23.293374676300928,986050169506937.6,-8.748999734206063e+21,55455305.4108,3e-09,33060498.10599219,29825629.557838295
26.43180305302193,1362559246328143.0,-8.748999711433554e+21,67555526.1988,3e-09,40259781.12772916,33844179.182327256
29.884074267415034,1863422006563380.0,-8.748999684757404e+21,81740402.9969,3e-09,48698348.19549933,38264583.41220691
33.681572603247446,2525966723352391.0,-8.748999653564987e+21,98336682.7193,3e-09,58570387.61028516,43127027.60582077
37.8588207726631,3398164108199766.5,-8.7489996171484e+21,117722031.145,3e-09,70100339.19263756,48475715.62901462
42.45379375902032,4541582463755794.0,-8.748999574689878e+21,140332822.703,3e-09,83547522.2879279,54359271.698138975
47.508264044013266,6035151757850563.0,-8.748999525244908e+21,166673139.588,3e-09,99211481.99364696,60831182.40524847
53.06818135750551,7979956347925207.0,-8.748999467722764e+21,197325162.906,3e-09,117438162.17220962,67950282.94315024
59.184090402346975,1.0505335511550296e+16,-8.748999400864017e+21,232961167.621,3e-09,138627031.0427301,75781291.94956325
65.91159035167259,1.377664640004389e+16,-8.748999323214607e+21,274357366.192,3e-09,163239304.8385178,84395399.83138402
73.31184029593076,1.8005139848843748e+16,-8.748999233095921e+21,322409883.913,3e-09,191807437.61969647,93870915.91590515
