"arc_length","4","5","cb","2","3","6","1"
0,0,0,0,0,0,0,0
3e-11,1.81511e+10,6.66843e+07,1.28823e+11,5.32897e+15,9.64744e+12,3.8042e+06,2.29467e+19
6e-11,3.63022e+10,1.33369e+08,2.57647e+11,1.06579e+16,1.92949e+13,7.60841e+06,4.58934e+19
9e-11,5.44533e+10,2.00053e+08,3.8647e+11,1.59869e+16,2.89423e+13,1.14126e+07,6.884e+19
1.2e-10,7.26045e+10,2.66737e+08,5.15294e+11,2.13159e+16,3.85898e+13,1.52168e+07,9.17867e+19
1.5e-10,9.07556e+10,3.33421e+08,6.44117e+11,2.66448e+16,4.82372e+13,1.9021e+07,1.14733e+20
1.8e-10,1.08907e+11,4.00106e+08,7.72941e+11,3.19738e+16,5.78846e+13,2.28252e+07,1.3768e+20
2.1e-10,1.27058e+11,4.6679e+08,9.01764e+11,3.73028e+16,6.75321e+13,2.66294e+07,1.60627e+20
2.4e-10,1.45209e+11,5.33474e+08,1.03059e+12,4.26317e+16,7.71795e+13,3.04336e+07,1.83573e+20
2.7e-10,1.6336e+11,6.00158e+08,1.15941e+12,4.79607e+16,8.6827e+13,3.42378e+07,2.0652e+20
3e-10,1.81511e+11,6.66843e+08,1.28823e+12,5.32897e+16,9.64744e+13,3.8042e+07,2.29467e+20
3.3e-10,1.99662e+11,7.33527e+08,1.41706e+12,5.86186e+16,1.06122e+14,4.18462e+07,2.52413e+20
3.6e-10,2.17813e+11,8.00211e+08,1.54588e+12,6.39476e+16,1.15769e+14,4.56504e+07,2.7536e+20
3.9e-10,2.35964e+11,8.66895e+08,1.67471e+12,6.92766e+16,1.25417e+14,4.94546e+07,2.98307e+20
4.2e-10,2.54116e+11,9.3358e+08,1.80353e+12,7.46055e+16,1.35064e+14,5.32588e+07,3.21254e+20
4.5e-10,2.72267e+11,1.00026e+09,1.93235e+12,7.99345e+16,1.44712e+14,5.70631e+07,3.442e+20
