"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,1,0,0,0,0
1.4286e+12,1,3e-11,3e-11,0,0
2.8572e+12,1,6e-11,6e-11,0,0
4.2858e+12,1,9e-11,9e-11,0,0
5.7145e+12,1,1.2e-10,1.2e-10,0,0
7.1431e+12,1,1.5e-10,1.5e-10,0,0
8.5717e+12,1,1.8e-10,1.8e-10,0,0
1e+13,1,2.1e-10,2.1e-10,0,0
1.1429e+13,1,2.4e-10,2.4e-10,0,0
1.2858e+13,1,2.7e-10,2.7e-10,0,0
1.4286e+13,1,3e-10,3e-10,0,0
1.5715e+13,1,3.3e-10,3.3e-10,0,0
1.7143e+13,1,3.6e-10,3.6e-10,0,0
1.8572e+13,1,3.9e-10,3.9e-10,0,0
2.0001e+13,1,4.2e-10,4.2e-10,0,0
2.1429e+13,1,4.5e-10,4.5e-10,0,0
2.2858e+13,1,4.8e-10,4.8e-10,0,0
2.4286e+13,1,5.1e-10,5.1e-10,0,0
2.5715e+13,1,5.4e-10,5.4e-10,0,0
2.7144e+13,1,5.7e-10,5.7e-10,0,0
2.8572e+13,1,6e-10,6e-10,0,0
3.3424e+13,1,6.3e-10,6.3e-10,0,0
3.8276e+13,1,6.6e-10,6.6e-10,0,0
4.3128e+13,1,6.9e-10,6.9e-10,0,0
4.798e+13,1,7.2e-10,7.2e-10,0,0
5.2831e+13,1,7.5e-10,7.5e-10,0,0
5.7683e+13,1,7.8e-10,7.8e-10,0,0
6.2535e+13,1,8.1e-10,8.1e-10,0,0
6.7387e+13,1,8.4e-10,8.4e-10,0,0
7.2239e+13,1,8.7e-10,8.7e-10,0,0
7.7091e+13,1,9e-10,9e-10,0,0
8.1942e+13,1,9.3e-10,9.3e-10,0,0
8.6794e+13,1,9.6e-10,9.6e-10,0,0
9.1646e+13,1,9.9e-10,9.9e-10,0,0
9.6498e+13,1,1.02e-09,1.02e-09,0,0
1.0135e+14,1,1.05e-09,1.05e-09,0,0
1.062e+14,1,1.08e-09,1.08e-09,0,0
1.1105e+14,1,1.11e-09,1.11e-09,0,0
1.1591e+14,1,1.14e-09,1.14e-09,0,0
1.2076e+14,1,1.17e-09,1.17e-09,0,0
1.2561e+14,1,1.2e-09,1.2e-09,0,0
1.3177e+14,1,1.23e-09,1.23e-09,0,0
1.3792e+14,1,1.26e-09,1.26e-09,0,0
1.4408e+14,1,1.29e-09,1.29e-09,0,0
1.5023e+14,1,1.32e-09,1.32e-09,0,0
1.5639e+14,1,1.35e-09,1.35e-09,0,0
1.6255e+14,1,1.38e-09,1.38e-09,0,0
1.687e+14,1,1.41e-09,1.41e-09,0,0
1.7486e+14,1,1.44e-09,1.44e-09,0,0
1.8102e+14,1,1.47e-09,1.47e-09,0,0
1.8717e+14,1,1.5e-09,1.5e-09,0,0
1.9333e+14,1,1.53e-09,1.53e-09,0,0
1.9948e+14,1,1.56e-09,1.56e-09,0,0
2.0564e+14,1,1.59e-09,1.59e-09,0,0
2.118e+14,1,1.62e-09,1.62e-09,0,0
